Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64985cb856-grsqz,consul,10,35
default,consul-64985cb856-grsqz,istio-proxy,8,92
default,frontend-us-central-1-69f7bf5675-2g492,hotel-reserv-frontend,0,4
default,frontend-us-central-1-69f7bf5675-2g492,istio-proxy,8,91
default,frontend-us-central-1-69f7bf5675-4lsl6,hotel-reserv-frontend,0,4
default,frontend-us-central-1-69f7bf5675-4lsl6,istio-proxy,4,94
default,frontend-us-east-1-549d4b89bf-7q5w2,hotel-reserv-frontend,0,4
default,frontend-us-east-1-549d4b89bf-7q5w2,istio-proxy,6,91
default,frontend-us-east-1-549d4b89bf-gr9zv,hotel-reserv-frontend,0,4
default,frontend-us-east-1-549d4b89bf-gr9zv,istio-proxy,61,95
default,frontend-us-south-1-6859b65675-gl88h,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6859b65675-gl88h,istio-proxy,5,92
default,frontend-us-south-1-6859b65675-qs4qp,hotel-reserv-frontend,7,6
default,frontend-us-south-1-6859b65675-qs4qp,istio-proxy,39,94
default,frontend-us-west-1-6ff999cbcb-fjdgl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6ff999cbcb-fjdgl,istio-proxy,94,95
default,frontend-us-west-1-6ff999cbcb-scgzh,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6ff999cbcb-scgzh,istio-proxy,217,97
default,geo-us-central-1-646c77fdb7-f6zp9,hotel-reserv-geo,0,6
default,geo-us-central-1-646c77fdb7-f6zp9,istio-proxy,6,92
default,geo-us-central-1-646c77fdb7-q8brh,hotel-reserv-geo,0,6
default,geo-us-central-1-646c77fdb7-q8brh,istio-proxy,30,93
default,geo-us-east-1-94b97858c-hk9wp,hotel-reserv-geo,0,6
default,geo-us-east-1-94b97858c-hk9wp,istio-proxy,17,94
default,geo-us-east-1-94b97858c-vst7g,hotel-reserv-geo,0,6
default,geo-us-east-1-94b97858c-vst7g,istio-proxy,4,92
default,geo-us-south-1-68447df967-6zsnm,hotel-reserv-geo,4,7
default,geo-us-south-1-68447df967-6zsnm,istio-proxy,6,91
default,geo-us-south-1-68447df967-d8k8h,hotel-reserv-geo,0,6
default,geo-us-south-1-68447df967-d8k8h,istio-proxy,12,94
default,geo-us-west-1-bd46ccf48-f68ql,hotel-reserv-geo,0,5
default,geo-us-west-1-bd46ccf48-f68ql,istio-proxy,5,93
default,geo-us-west-1-bd46ccf48-t7m6f,hotel-reserv-geo,19,9
