Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64985cb856-grsqz,consul,10,36
default,consul-64985cb856-grsqz,istio-proxy,3,92
default,frontend-us-central-1-69f7bf5675-2g492,hotel-reserv-frontend,386,11
default,frontend-us-central-1-69f7bf5675-2g492,istio-proxy,884,100
default,frontend-us-central-1-69f7bf5675-4lsl6,hotel-reserv-frontend,404,11
default,frontend-us-central-1-69f7bf5675-4lsl6,istio-proxy,1014,103
default,frontend-us-east-1-549d4b89bf-7q5w2,hotel-reserv-frontend,396,8
default,frontend-us-east-1-549d4b89bf-7q5w2,istio-proxy,992,98
default,frontend-us-east-1-549d4b89bf-gr9zv,hotel-reserv-frontend,387,8
default,frontend-us-east-1-549d4b89bf-gr9zv,istio-proxy,900,98
default,frontend-us-south-1-6859b65675-gl88h,hotel-reserv-frontend,398,9
default,frontend-us-south-1-6859b65675-gl88h,istio-proxy,709,96
default,frontend-us-south-1-6859b65675-qs4qp,hotel-reserv-frontend,393,8
default,frontend-us-south-1-6859b65675-qs4qp,istio-proxy,974,97
default,frontend-us-west-1-6ff999cbcb-fjdgl,hotel-reserv-frontend,360,10
default,frontend-us-west-1-6ff999cbcb-fjdgl,istio-proxy,1061,99
default,frontend-us-west-1-6ff999cbcb-scgzh,hotel-reserv-frontend,414,10
default,frontend-us-west-1-6ff999cbcb-scgzh,istio-proxy,1124,100
default,geo-us-central-1-646c77fdb7-f6zp9,hotel-reserv-geo,111,9
default,geo-us-central-1-646c77fdb7-f6zp9,istio-proxy,190,93
default,geo-us-central-1-646c77fdb7-q8brh,hotel-reserv-geo,110,9
default,geo-us-central-1-646c77fdb7-q8brh,istio-proxy,219,93
default,geo-us-east-1-94b97858c-hk9wp,hotel-reserv-geo,104,8
default,geo-us-east-1-94b97858c-hk9wp,istio-proxy,174,94
default,geo-us-east-1-94b97858c-vst7g,hotel-reserv-geo,87,8
default,geo-us-east-1-94b97858c-vst7g,istio-proxy,202,93
default,geo-us-south-1-68447df967-6zsnm,hotel-reserv-geo,97,8
default,geo-us-south-1-68447df967-6zsnm,istio-proxy,157,92
default,geo-us-south-1-68447df967-d8k8h,hotel-reserv-geo,103,8
default,geo-us-south-1-68447df967-d8k8h,istio-proxy,156,94
