Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64985cb856-grsqz,consul,11,35
default,consul-64985cb856-grsqz,istio-proxy,10,92
default,frontend-us-central-1-69f7bf5675-2g492,hotel-reserv-frontend,0,4
default,frontend-us-central-1-69f7bf5675-2g492,istio-proxy,8,91
default,frontend-us-central-1-69f7bf5675-4lsl6,hotel-reserv-frontend,0,4
default,frontend-us-central-1-69f7bf5675-4lsl6,istio-proxy,8,94
default,frontend-us-east-1-549d4b89bf-7q5w2,hotel-reserv-frontend,0,4
default,frontend-us-east-1-549d4b89bf-7q5w2,istio-proxy,9,91
default,frontend-us-east-1-549d4b89bf-gr9zv,hotel-reserv-frontend,0,4
default,frontend-us-east-1-549d4b89bf-gr9zv,istio-proxy,9,93
default,frontend-us-south-1-6859b65675-gl88h,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6859b65675-gl88h,istio-proxy,8,92
default,frontend-us-south-1-6859b65675-qs4qp,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6859b65675-qs4qp,istio-proxy,8,93
default,frontend-us-west-1-6ff999cbcb-fjdgl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6ff999cbcb-fjdgl,istio-proxy,7,92
default,frontend-us-west-1-6ff999cbcb-scgzh,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6ff999cbcb-scgzh,istio-proxy,8,92
default,geo-us-central-1-646c77fdb7-f6zp9,hotel-reserv-geo,0,9
default,geo-us-central-1-646c77fdb7-f6zp9,istio-proxy,8,92
default,geo-us-central-1-646c77fdb7-q8brh,hotel-reserv-geo,0,6
default,geo-us-central-1-646c77fdb7-q8brh,istio-proxy,8,92
default,geo-us-east-1-94b97858c-hk9wp,hotel-reserv-geo,0,6
default,geo-us-east-1-94b97858c-hk9wp,istio-proxy,9,93
default,geo-us-east-1-94b97858c-vst7g,hotel-reserv-geo,0,6
default,geo-us-east-1-94b97858c-vst7g,istio-proxy,8,92
default,geo-us-south-1-68447df967-6zsnm,hotel-reserv-geo,0,6
default,geo-us-south-1-68447df967-6zsnm,istio-proxy,9,91
default,geo-us-south-1-68447df967-d8k8h,hotel-reserv-geo,0,6
default,geo-us-south-1-68447df967-d8k8h,istio-proxy,8,94
default,geo-us-west-1-bd46ccf48-f68ql,hotel-reserv-geo,0,5
default,geo-us-west-1-bd46ccf48-f68ql,istio-proxy,8,93
default,geo-us-west-1-bd46ccf48-t7m6f,hotel-reserv-geo,0,6
default,geo-us-west-1-bd46ccf48-t7m6f,istio-proxy,9,92
default,jaeger-5fdbfc944-dd6bn,hotel-reserv-jaeger,0,10
default,jaeger-5fdbfc944-dd6bn,istio-proxy,6,93
default,memcached-profile-us-central-1-75c5d4767c-jmxp2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75c5d4767c-jmxp2,istio-proxy,8,92
default,memcached-profile-us-central-1-75c5d4767c-kp87c,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75c5d4767c-kp87c,istio-proxy,8,93
default,memcached-profile-us-east-1-59559c464f-6jtpl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59559c464f-6jtpl,istio-proxy,8,91
default,memcached-profile-us-east-1-59559c464f-glbzr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59559c464f-glbzr,istio-proxy,9,94
default,memcached-profile-us-south-1-7568b5c4b9-pmgjv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7568b5c4b9-pmgjv,istio-proxy,9,93
default,memcached-profile-us-south-1-7568b5c4b9-sdcnk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7568b5c4b9-sdcnk,istio-proxy,9,91
default,memcached-profile-us-west-1-69566596b8-6smkv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69566596b8-6smkv,istio-proxy,8,94
default,memcached-profile-us-west-1-69566596b8-9hpsv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69566596b8-9hpsv,istio-proxy,8,93
default,memcached-rate-us-central-1-7885dc6cdd-2lwsm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7885dc6cdd-2lwsm,istio-proxy,8,91
default,memcached-rate-us-central-1-7885dc6cdd-jt5tm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7885dc6cdd-jt5tm,istio-proxy,8,94
default,memcached-rate-us-east-1-688984ff84-gdbr9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-688984ff84-gdbr9,istio-proxy,9,92
default,memcached-rate-us-east-1-688984ff84-wv9w6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-688984ff84-wv9w6,istio-proxy,8,91
default,memcached-rate-us-south-1-6b849f8bfb-gwr8x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b849f8bfb-gwr8x,istio-proxy,8,93
default,memcached-rate-us-south-1-6b849f8bfb-rtqjc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b849f8bfb-rtqjc,istio-proxy,8,92
default,memcached-rate-us-west-1-6648c7fbbd-khn8f,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6648c7fbbd-khn8f,istio-proxy,8,91
default,memcached-rate-us-west-1-6648c7fbbd-wmkj4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6648c7fbbd-wmkj4,istio-proxy,9,93
default,memcached-reserve-us-central-1-d6db69c9-66gcn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d6db69c9-66gcn,istio-proxy,8,92
default,memcached-reserve-us-central-1-d6db69c9-kbh7z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d6db69c9-kbh7z,istio-proxy,8,91
default,memcached-reserve-us-east-1-67764798df-5wnjw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67764798df-5wnjw,istio-proxy,10,91
default,memcached-reserve-us-east-1-67764798df-tbrhv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67764798df-tbrhv,istio-proxy,8,91
default,memcached-reserve-us-south-1-cffc78487-hghqw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cffc78487-hghqw,istio-proxy,9,92
default,memcached-reserve-us-south-1-cffc78487-wwnb5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cffc78487-wwnb5,istio-proxy,10,92
default,memcached-reserve-us-west-1-68d564fd49-6s5b9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68d564fd49-6s5b9,istio-proxy,7,94
default,memcached-reserve-us-west-1-68d564fd49-zkgrt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68d564fd49-zkgrt,istio-proxy,8,94
default,mongodb-geo-us-central-1-774d6f779f-bbczk,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-774d6f779f-bbczk,istio-proxy,8,93
default,mongodb-geo-us-east-1-b6b49cc97-69vqh,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-east-1-b6b49cc97-69vqh,istio-proxy,10,91
default,mongodb-geo-us-south-1-59bcb55b47-m6svs,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-59bcb55b47-m6svs,istio-proxy,8,92
default,mongodb-geo-us-west-1-56576f9969-hm7dc,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-west-1-56576f9969-hm7dc,istio-proxy,9,91
default,mongodb-profile-us-central-1-7c6d977c85-22rq2,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-central-1-7c6d977c85-22rq2,istio-proxy,9,94
default,mongodb-profile-us-east-1-6bb8747978-946kk,hotel-reserv-profile-mongo,21,158
default,mongodb-profile-us-east-1-6bb8747978-946kk,istio-proxy,8,91
default,mongodb-profile-us-south-1-5f98f57d-fpg8v,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-south-1-5f98f57d-fpg8v,istio-proxy,9,93
default,mongodb-profile-us-west-1-fcdf577cc-pqqdh,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-fcdf577cc-pqqdh,istio-proxy,9,91
default,mongodb-rate-us-central-1-7bccc759bd-hb5hg,hotel-reserv-rate-mongo,4,161
default,mongodb-rate-us-central-1-7bccc759bd-hb5hg,istio-proxy,9,91
default,mongodb-rate-us-east-1-645c44d994-7vd6z,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-east-1-645c44d994-7vd6z,istio-proxy,9,95
default,mongodb-rate-us-south-1-bb88bb4d8-l4p8z,hotel-reserv-rate-mongo,31,155
default,mongodb-rate-us-south-1-bb88bb4d8-l4p8z,istio-proxy,9,91
default,mongodb-rate-us-west-1-7f879c898b-pnr5v,hotel-reserv-rate-mongo,29,157
default,mongodb-rate-us-west-1-7f879c898b-pnr5v,istio-proxy,8,92
default,mongodb-recommendation-us-central-1-6f56f755c4-7pq72,hotel-reserv-recommendation-mongo,32,157
default,mongodb-recommendation-us-central-1-6f56f755c4-7pq72,istio-proxy,9,92
default,mongodb-recommendation-us-east-1-7d6b674594-x8v4w,hotel-reserv-recommendation-mongo,3,166
default,mongodb-recommendation-us-east-1-7d6b674594-x8v4w,istio-proxy,9,93
default,mongodb-recommendation-us-south-1-5db75d8d58-ttkp4,hotel-reserv-recommendation-mongo,22,157
default,mongodb-recommendation-us-south-1-5db75d8d58-ttkp4,istio-proxy,10,92
default,mongodb-recommendation-us-west-1-6685fbdd6-v887g,hotel-reserv-recommendation-mongo,4,144
default,mongodb-recommendation-us-west-1-6685fbdd6-v887g,istio-proxy,15,91
