counter,region,service,endpoint,rps
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,118
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,778
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-west-1,user,user@POST@/user.User/CheckUser,215
1,us-west-1,slateingress,slateingress@GET@/recommendations,111
1,us-west-1,slateingress,slateingress@POST@/user,109
1,us-west-1,slateingress,slateingress@GET@/hotels,693
1,us-west-1,slateingress,slateingress@POST@/reservation,101
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,781
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,631
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,664
1,us-west-1,search,search@POST@/search.Search/Nearby,412
1,us-west-1,frontend,frontend@POST@/user,111
1,us-west-1,frontend,frontend@GET@/recommendations,112
1,us-west-1,frontend,frontend@POST@/reservation,98
1,us-west-1,frontend,frontend@GET@/hotels,675
1,us-central-1,frontend,frontend@POST@/user,113
1,us-central-1,frontend,frontend@GET@/recommendations,102
1,us-central-1,frontend,frontend@POST@/reservation,89
1,us-central-1,frontend,frontend@GET@/hotels,324
1,us-central-1,search,search@POST@/search.Search/Nearby,285
1,us-central-1,slateingress,slateingress@POST@/reservation,94
1,us-central-1,slateingress,slateingress@POST@/user,95
1,us-central-1,slateingress,slateingress@GET@/recommendations,95
1,us-central-1,slateingress,slateingress@GET@/hotels,382
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,256
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,327
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,257
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,69
1,us-central-1,user,user@POST@/user.User/CheckUser,179
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,48
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,210
1,us-east-1,slateingress,slateingress@POST@/user,111
1,us-east-1,slateingress,slateingress@GET@/hotels,99
1,us-east-1,slateingress,slateingress@GET@/recommendations,108
1,us-east-1,slateingress,slateingress@POST@/reservation,110
1,us-east-1,user,user@POST@/user.User/CheckUser,216
1,us-east-1,search,search@POST@/search.Search/Nearby,90
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
1,us-east-1,frontend,frontend@POST@/user,108
1,us-east-1,frontend,frontend@GET@/recommendations,108
1,us-east-1,frontend,frontend@POST@/reservation,116
1,us-east-1,frontend,frontend@GET@/hotels,111
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,110
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,95
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,28
1,us-south-1,search,search@POST@/search.Search/Nearby,28
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,36
1,us-south-1,user,user@POST@/user.User/CheckUser,112
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,30
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,19
1,us-south-1,slateingress,slateingress@POST@/user,32
1,us-south-1,slateingress,slateingress@POST@/reservation,5
1,us-south-1,slateingress,slateingress@GET@/recommendations,14
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,44
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,13
1,us-south-1,frontend,frontend@GET@/recommendations,11
1,us-south-1,frontend,frontend@POST@/user,21
1,us-south-1,frontend,frontend@POST@/reservation,7
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,722
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
2,us-west-1,user,user@POST@/user.User/CheckUser,211
2,us-west-1,slateingress,slateingress@GET@/recommendations,97
2,us-west-1,slateingress,slateingress@POST@/user,101
2,us-west-1,slateingress,slateingress@GET@/hotels,723
2,us-west-1,slateingress,slateingress@POST@/reservation,106
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,811
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,719
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,697
2,us-west-1,search,search@POST@/search.Search/Nearby,706
2,us-west-1,frontend,frontend@POST@/user,97
2,us-west-1,frontend,frontend@GET@/recommendations,98
2,us-west-1,frontend,frontend@POST@/reservation,110
2,us-west-1,frontend,frontend@GET@/hotels,720
2,us-central-1,frontend,frontend@POST@/user,110
2,us-central-1,frontend,frontend@GET@/recommendations,112
2,us-central-1,frontend,frontend@POST@/reservation,108
2,us-central-1,frontend,frontend@GET@/hotels,720
2,us-central-1,search,search@POST@/search.Search/Nearby,764
2,us-central-1,slateingress,slateingress@POST@/reservation,100
2,us-central-1,slateingress,slateingress@POST@/user,109
2,us-central-1,slateingress,slateingress@GET@/recommendations,115
2,us-central-1,slateingress,slateingress@GET@/hotels,687
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,862
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,743
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,762
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,115
2,us-central-1,user,user@POST@/user.User/CheckUser,196
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,746
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,200
2,us-east-1,slateingress,slateingress@POST@/user,113
2,us-east-1,slateingress,slateingress@GET@/hotels,104
2,us-east-1,slateingress,slateingress@GET@/recommendations,108
2,us-east-1,slateingress,slateingress@POST@/reservation,96
2,us-east-1,user,user@POST@/user.User/CheckUser,213
2,us-east-1,search,search@POST@/search.Search/Nearby,111
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
