Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-55ddb8dff8-xpdsr,consul,12,34
default,consul-55ddb8dff8-xpdsr,istio-proxy,4,94
default,frontend-us-central-1-57d64bfcf7-47f5b,hotel-reserv-frontend,278,10
default,frontend-us-central-1-57d64bfcf7-47f5b,istio-proxy,920,100
default,frontend-us-central-1-57d64bfcf7-99cq2,hotel-reserv-frontend,228,10
default,frontend-us-central-1-57d64bfcf7-99cq2,istio-proxy,4,92
default,frontend-us-east-1-5f6c8b9b5f-jsq6v,hotel-reserv-frontend,110,8
default,frontend-us-east-1-5f6c8b9b5f-jsq6v,istio-proxy,368,93
default,frontend-us-east-1-5f6c8b9b5f-pwnl7,hotel-reserv-frontend,125,8
default,frontend-us-east-1-5f6c8b9b5f-pwnl7,istio-proxy,348,94
default,frontend-us-south-1-58d48d6cfc-fljbs,hotel-reserv-frontend,31,7
default,frontend-us-south-1-58d48d6cfc-fljbs,istio-proxy,288,93
default,frontend-us-south-1-58d48d6cfc-zvsqp,hotel-reserv-frontend,86,8
default,frontend-us-south-1-58d48d6cfc-zvsqp,istio-proxy,157,95
default,frontend-us-west-1-5fc4d44554-h86pp,hotel-reserv-frontend,220,10
default,frontend-us-west-1-5fc4d44554-h86pp,istio-proxy,1061,99
default,frontend-us-west-1-5fc4d44554-x9jll,hotel-reserv-frontend,94,10
default,frontend-us-west-1-5fc4d44554-x9jll,istio-proxy,914,99
default,geo-us-central-1-67f86f89c-bpbb9,hotel-reserv-geo,90,9
default,geo-us-central-1-67f86f89c-bpbb9,istio-proxy,352,95
default,geo-us-central-1-67f86f89c-l68pb,hotel-reserv-geo,96,9
default,geo-us-central-1-67f86f89c-l68pb,istio-proxy,126,92
default,geo-us-east-1-79f9786c97-d2942,hotel-reserv-geo,15,8
default,geo-us-east-1-79f9786c97-d2942,istio-proxy,43,93
default,geo-us-east-1-79f9786c97-x2wf7,hotel-reserv-geo,19,7
default,geo-us-east-1-79f9786c97-x2wf7,istio-proxy,48,95
default,geo-us-south-1-6959d4957c-p85tn,hotel-reserv-geo,18,7
default,geo-us-south-1-6959d4957c-p85tn,istio-proxy,13,94
default,geo-us-south-1-6959d4957c-pzdzz,hotel-reserv-geo,17,7
default,geo-us-south-1-6959d4957c-pzdzz,istio-proxy,13,94
default,geo-us-west-1-b855977c-cjd5z,hotel-reserv-geo,109,8
default,geo-us-west-1-b855977c-cjd5z,istio-proxy,374,93
default,geo-us-west-1-b855977c-zf5v5,hotel-reserv-geo,181,9
default,geo-us-west-1-b855977c-zf5v5,istio-proxy,220,93
