Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-55ddb8dff8-xpdsr,consul,11,34
default,consul-55ddb8dff8-xpdsr,istio-proxy,4,94
default,frontend-us-central-1-57d64bfcf7-47f5b,hotel-reserv-frontend,0,3
default,frontend-us-central-1-57d64bfcf7-47f5b,istio-proxy,5,92
default,frontend-us-central-1-57d64bfcf7-99cq2,hotel-reserv-frontend,0,4
default,frontend-us-central-1-57d64bfcf7-99cq2,istio-proxy,5,92
default,frontend-us-east-1-5f6c8b9b5f-jsq6v,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5f6c8b9b5f-jsq6v,istio-proxy,6,91
default,frontend-us-east-1-5f6c8b9b5f-pwnl7,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5f6c8b9b5f-pwnl7,istio-proxy,6,92
default,frontend-us-south-1-58d48d6cfc-fljbs,hotel-reserv-frontend,0,4
default,frontend-us-south-1-58d48d6cfc-fljbs,istio-proxy,5,92
default,frontend-us-south-1-58d48d6cfc-zvsqp,hotel-reserv-frontend,0,4
default,frontend-us-south-1-58d48d6cfc-zvsqp,istio-proxy,5,93
default,frontend-us-west-1-5fc4d44554-h86pp,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5fc4d44554-h86pp,istio-proxy,6,92
default,frontend-us-west-1-5fc4d44554-x9jll,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5fc4d44554-x9jll,istio-proxy,6,91
default,geo-us-central-1-67f86f89c-bpbb9,hotel-reserv-geo,0,7
default,geo-us-central-1-67f86f89c-bpbb9,istio-proxy,8,94
default,geo-us-central-1-67f86f89c-l68pb,hotel-reserv-geo,0,6
default,geo-us-central-1-67f86f89c-l68pb,istio-proxy,6,92
default,geo-us-east-1-79f9786c97-d2942,hotel-reserv-geo,0,6
default,geo-us-east-1-79f9786c97-d2942,istio-proxy,5,93
default,geo-us-east-1-79f9786c97-x2wf7,hotel-reserv-geo,0,6
default,geo-us-east-1-79f9786c97-x2wf7,istio-proxy,6,94
default,geo-us-south-1-6959d4957c-p85tn,hotel-reserv-geo,0,6
default,geo-us-south-1-6959d4957c-p85tn,istio-proxy,5,93
default,geo-us-south-1-6959d4957c-pzdzz,hotel-reserv-geo,0,6
default,geo-us-south-1-6959d4957c-pzdzz,istio-proxy,6,93
default,geo-us-west-1-b855977c-cjd5z,hotel-reserv-geo,0,5
