counter,region,service,endpoint,rps
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,71
1,us-south-1,slateingress,slateingress@POST@/reservation,51
1,us-south-1,slateingress,slateingress@POST@/user,74
1,us-south-1,slateingress,slateingress@GET@/recommendations,61
1,us-south-1,slateingress,slateingress@GET@/hotels,20
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,195
1,us-south-1,frontend,frontend@POST@/user,99
1,us-south-1,frontend,frontend@GET@/recommendations,91
1,us-south-1,frontend,frontend@POST@/reservation,88
1,us-south-1,frontend,frontend@GET@/hotels,50
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,25
1,us-south-1,search,search@POST@/search.Search/Nearby,66
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,8
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,61
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,34
1,us-south-1,user,user@POST@/user.User/CheckUser,151
1,us-east-1,frontend,frontend@GET@/hotels,107
1,us-east-1,frontend,frontend@POST@/user,108
1,us-east-1,frontend,frontend@GET@/recommendations,110
1,us-east-1,frontend,frontend@POST@/reservation,113
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,111
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,210
1,us-east-1,search,search@POST@/search.Search/Nearby,114
1,us-east-1,slateingress,slateingress@POST@/user,108
1,us-east-1,slateingress,slateingress@GET@/recommendations,102
1,us-east-1,slateingress,slateingress@POST@/reservation,110
1,us-east-1,slateingress,slateingress@GET@/hotels,95
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,108
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,101
1,us-east-1,user,user@POST@/user.User/CheckUser,208
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,515
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,78
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,188
1,us-central-1,search,search@POST@/search.Search/Nearby,618
1,us-central-1,frontend,frontend@POST@/user,97
1,us-central-1,frontend,frontend@POST@/reservation,89
1,us-central-1,frontend,frontend@GET@/recommendations,97
1,us-central-1,frontend,frontend@GET@/hotels,426
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,263
1,us-central-1,user,user@POST@/user.User/CheckUser,203
1,us-central-1,slateingress,slateingress@POST@/user,115
1,us-central-1,slateingress,slateingress@GET@/recommendations,102
1,us-central-1,slateingress,slateingress@GET@/hotels,548
1,us-central-1,slateingress,slateingress@POST@/reservation,117
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,601
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,90
1,us-west-1,frontend,frontend@GET@/hotels,726
1,us-west-1,frontend,frontend@POST@/user,107
1,us-west-1,frontend,frontend@GET@/recommendations,105
1,us-west-1,frontend,frontend@POST@/reservation,103
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,747
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,754
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,114
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,759
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-west-1,search,search@POST@/search.Search/Nearby,752
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,865
1,us-west-1,slateingress,slateingress@GET@/recommendations,107
1,us-west-1,slateingress,slateingress@POST@/reservation,99
1,us-west-1,slateingress,slateingress@POST@/user,105
1,us-west-1,slateingress,slateingress@GET@/hotels,736
1,us-west-1,user,user@POST@/user.User/CheckUser,214
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
2,us-south-1,slateingress,slateingress@POST@/reservation,101
2,us-south-1,slateingress,slateingress@POST@/user,107
2,us-south-1,slateingress,slateingress@GET@/recommendations,104
2,us-south-1,slateingress,slateingress@GET@/hotels,106
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,206
2,us-south-1,frontend,frontend@POST@/user,102
2,us-south-1,frontend,frontend@GET@/recommendations,105
2,us-south-1,frontend,frontend@POST@/reservation,103
2,us-south-1,frontend,frontend@GET@/hotels,108
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,182
2,us-south-1,search,search@POST@/search.Search/Nearby,116
