Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-9bdd4b9d7-7fmj6,consul,12,35
default,consul-9bdd4b9d7-7fmj6,istio-proxy,3,95
default,frontend-us-central-1-59f4bdcddd-95dm9,hotel-reserv-frontend,412,10
default,frontend-us-central-1-59f4bdcddd-95dm9,istio-proxy,221,97
default,frontend-us-central-1-59f4bdcddd-dg64d,hotel-reserv-frontend,295,10
default,frontend-us-central-1-59f4bdcddd-dg64d,istio-proxy,1042,98
default,frontend-us-east-1-645dcfc98d-bzb8d,hotel-reserv-frontend,315,9
default,frontend-us-east-1-645dcfc98d-bzb8d,istio-proxy,690,97
default,frontend-us-east-1-645dcfc98d-pcxgt,hotel-reserv-frontend,378,9
default,frontend-us-east-1-645dcfc98d-pcxgt,istio-proxy,738,97
default,frontend-us-south-1-55cb875d9f-tcb2q,hotel-reserv-frontend,426,9
default,frontend-us-south-1-55cb875d9f-tcb2q,istio-proxy,827,97
default,frontend-us-south-1-55cb875d9f-w9t22,hotel-reserv-frontend,230,9
default,frontend-us-south-1-55cb875d9f-w9t22,istio-proxy,561,95
default,frontend-us-west-1-5ff4485b4f-6nwwt,hotel-reserv-frontend,121,10
default,frontend-us-west-1-5ff4485b4f-6nwwt,istio-proxy,919,97
default,frontend-us-west-1-5ff4485b4f-wz6f9,hotel-reserv-frontend,385,19
default,frontend-us-west-1-5ff4485b4f-wz6f9,istio-proxy,982,118
default,geo-us-central-1-59ddd4cf6d-gfg67,hotel-reserv-geo,67,8
default,geo-us-central-1-59ddd4cf6d-gfg67,istio-proxy,235,91
default,geo-us-central-1-59ddd4cf6d-lxqnc,hotel-reserv-geo,125,9
default,geo-us-central-1-59ddd4cf6d-lxqnc,istio-proxy,226,90
default,geo-us-east-1-8648d69b78-8lrxh,hotel-reserv-geo,54,8
default,geo-us-east-1-8648d69b78-8lrxh,istio-proxy,123,96
default,geo-us-east-1-8648d69b78-jp9tw,hotel-reserv-geo,11,8
default,geo-us-east-1-8648d69b78-jp9tw,istio-proxy,148,92
default,geo-us-south-1-7fc94885bd-457tg,hotel-reserv-geo,62,8
default,geo-us-south-1-7fc94885bd-457tg,istio-proxy,53,91
default,geo-us-south-1-7fc94885bd-82vc4,hotel-reserv-geo,69,8
default,geo-us-south-1-7fc94885bd-82vc4,istio-proxy,218,93
default,geo-us-west-1-59bb7488c9-gvrwg,hotel-reserv-geo,68,8
default,geo-us-west-1-59bb7488c9-gvrwg,istio-proxy,221,93
default,geo-us-west-1-59bb7488c9-z546g,hotel-reserv-geo,62,8
default,geo-us-west-1-59bb7488c9-z546g,istio-proxy,193,92
default,jaeger-5b4756c6bc-4sqlb,hotel-reserv-jaeger,258,244
default,jaeger-5b4756c6bc-4sqlb,istio-proxy,3,93
default,memcached-profile-us-central-1-57db99c884-bpk8z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-57db99c884-bpk8z,istio-proxy,4,90
default,memcached-profile-us-central-1-57db99c884-l8cfg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-57db99c884-l8cfg,istio-proxy,4,92
default,memcached-profile-us-east-1-7b759558c9-fd2b6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7b759558c9-fd2b6,istio-proxy,4,92
default,memcached-profile-us-east-1-7b759558c9-gtb88,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7b759558c9-gtb88,istio-proxy,4,94
default,memcached-profile-us-south-1-84669b87c5-hcl52,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-84669b87c5-hcl52,istio-proxy,4,92
default,memcached-profile-us-south-1-84669b87c5-mx8qt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-84669b87c5-mx8qt,istio-proxy,4,92
