Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-9bdd4b9d7-7fmj6,consul,10,34
default,consul-9bdd4b9d7-7fmj6,istio-proxy,3,95
default,frontend-us-central-1-59f4bdcddd-95dm9,hotel-reserv-frontend,300,10
default,frontend-us-central-1-59f4bdcddd-95dm9,istio-proxy,1089,100
default,frontend-us-central-1-59f4bdcddd-dg64d,hotel-reserv-frontend,372,10
default,frontend-us-central-1-59f4bdcddd-dg64d,istio-proxy,1047,100
default,frontend-us-east-1-645dcfc98d-bzb8d,hotel-reserv-frontend,387,9
default,frontend-us-east-1-645dcfc98d-bzb8d,istio-proxy,989,100
default,frontend-us-east-1-645dcfc98d-pcxgt,hotel-reserv-frontend,379,9
default,frontend-us-east-1-645dcfc98d-pcxgt,istio-proxy,951,99
default,frontend-us-south-1-55cb875d9f-tcb2q,hotel-reserv-frontend,407,9
default,frontend-us-south-1-55cb875d9f-tcb2q,istio-proxy,1002,99
default,frontend-us-south-1-55cb875d9f-w9t22,hotel-reserv-frontend,390,9
default,frontend-us-south-1-55cb875d9f-w9t22,istio-proxy,987,98
default,frontend-us-west-1-5ff4485b4f-6nwwt,hotel-reserv-frontend,414,11
default,frontend-us-west-1-5ff4485b4f-6nwwt,istio-proxy,1053,100
default,frontend-us-west-1-5ff4485b4f-wz6f9,hotel-reserv-frontend,385,19
default,frontend-us-west-1-5ff4485b4f-wz6f9,istio-proxy,1065,119
default,geo-us-central-1-59ddd4cf6d-gfg67,hotel-reserv-geo,112,8
default,geo-us-central-1-59ddd4cf6d-gfg67,istio-proxy,189,91
default,geo-us-central-1-59ddd4cf6d-lxqnc,hotel-reserv-geo,79,9
default,geo-us-central-1-59ddd4cf6d-lxqnc,istio-proxy,207,91
default,geo-us-east-1-8648d69b78-8lrxh,hotel-reserv-geo,100,8
default,geo-us-east-1-8648d69b78-8lrxh,istio-proxy,195,96
default,geo-us-east-1-8648d69b78-jp9tw,hotel-reserv-geo,97,8
default,geo-us-east-1-8648d69b78-jp9tw,istio-proxy,184,92
default,geo-us-south-1-7fc94885bd-457tg,hotel-reserv-geo,106,8
default,geo-us-south-1-7fc94885bd-457tg,istio-proxy,206,92
default,geo-us-south-1-7fc94885bd-82vc4,hotel-reserv-geo,105,9
default,geo-us-south-1-7fc94885bd-82vc4,istio-proxy,218,93
default,geo-us-west-1-59bb7488c9-gvrwg,hotel-reserv-geo,100,8
default,geo-us-west-1-59bb7488c9-gvrwg,istio-proxy,221,93
default,geo-us-west-1-59bb7488c9-z546g,hotel-reserv-geo,110,8
default,geo-us-west-1-59bb7488c9-z546g,istio-proxy,190,93
default,jaeger-5b4756c6bc-4sqlb,hotel-reserv-jaeger,258,244
default,jaeger-5b4756c6bc-4sqlb,istio-proxy,3,93
default,memcached-profile-us-central-1-57db99c884-bpk8z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-57db99c884-bpk8z,istio-proxy,4,90
default,memcached-profile-us-central-1-57db99c884-l8cfg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-57db99c884-l8cfg,istio-proxy,4,92
default,memcached-profile-us-east-1-7b759558c9-fd2b6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7b759558c9-fd2b6,istio-proxy,4,92
default,memcached-profile-us-east-1-7b759558c9-gtb88,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7b759558c9-gtb88,istio-proxy,4,94
default,memcached-profile-us-south-1-84669b87c5-hcl52,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-84669b87c5-hcl52,istio-proxy,4,92
default,memcached-profile-us-south-1-84669b87c5-mx8qt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-84669b87c5-mx8qt,istio-proxy,4,92
default,memcached-profile-us-west-1-db9bdcf79-fslwt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-db9bdcf79-fslwt,istio-proxy,4,91
default,memcached-profile-us-west-1-db9bdcf79-zv9f6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-db9bdcf79-zv9f6,istio-proxy,5,92
default,memcached-rate-us-central-1-7fb66fd6c5-ckmgw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7fb66fd6c5-ckmgw,istio-proxy,4,92
default,memcached-rate-us-central-1-7fb66fd6c5-g5hwl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7fb66fd6c5-g5hwl,istio-proxy,4,92
default,memcached-rate-us-east-1-77df7b9fb5-5dpcd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77df7b9fb5-5dpcd,istio-proxy,4,90
default,memcached-rate-us-east-1-77df7b9fb5-f2fnw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-77df7b9fb5-f2fnw,istio-proxy,4,92
default,memcached-rate-us-south-1-589db76587-mv9jp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-589db76587-mv9jp,istio-proxy,4,92
default,memcached-rate-us-south-1-589db76587-w2nh6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-589db76587-w2nh6,istio-proxy,4,93
default,memcached-rate-us-west-1-7445978d84-qpgfg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7445978d84-qpgfg,istio-proxy,4,92
default,memcached-rate-us-west-1-7445978d84-wfkbx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7445978d84-wfkbx,istio-proxy,4,91
default,memcached-reserve-us-central-1-796f4c8f98-mksmr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-796f4c8f98-mksmr,istio-proxy,5,90
default,memcached-reserve-us-central-1-796f4c8f98-qcg2b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-796f4c8f98-qcg2b,istio-proxy,4,91
default,memcached-reserve-us-east-1-85c85988f8-5mt98,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-85c85988f8-5mt98,istio-proxy,4,91
default,memcached-reserve-us-east-1-85c85988f8-xsqmx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-85c85988f8-xsqmx,istio-proxy,4,92
default,memcached-reserve-us-south-1-5d79445cb5-8jxws,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5d79445cb5-8jxws,istio-proxy,4,90
default,memcached-reserve-us-south-1-5d79445cb5-g7gx6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5d79445cb5-g7gx6,istio-proxy,4,92
default,memcached-reserve-us-west-1-6784bc6955-b6qbb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6784bc6955-b6qbb,istio-proxy,4,92
default,memcached-reserve-us-west-1-6784bc6955-gfptd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6784bc6955-gfptd,istio-proxy,4,91
default,mongodb-geo-us-central-1-649bd6744d-cvtqt,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-649bd6744d-cvtqt,istio-proxy,4,94
default,mongodb-geo-us-east-1-7cc8564cf6-8mbjf,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-7cc8564cf6-8mbjf,istio-proxy,4,94
default,mongodb-geo-us-south-1-6c994dbb87-tz6zk,hotel-reserv-geo-mongo,5,163
default,mongodb-geo-us-south-1-6c994dbb87-tz6zk,istio-proxy,4,93
default,mongodb-geo-us-west-1-68b784cbbf-6k59r,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-68b784cbbf-6k59r,istio-proxy,5,92
default,mongodb-profile-us-central-1-7847fc8cd5-9ckr6,hotel-reserv-profile-mongo,93,163
default,mongodb-profile-us-central-1-7847fc8cd5-9ckr6,istio-proxy,46,91
default,mongodb-profile-us-east-1-549b4c8cc5-b9v8v,hotel-reserv-profile-mongo,86,164
default,mongodb-profile-us-east-1-549b4c8cc5-b9v8v,istio-proxy,45,91
default,mongodb-profile-us-south-1-689ff4cd9c-kr57x,hotel-reserv-profile-mongo,83,164
default,mongodb-profile-us-south-1-689ff4cd9c-kr57x,istio-proxy,48,93
default,mongodb-profile-us-west-1-6bf76666bd-qhjmw,hotel-reserv-profile-mongo,90,164
default,mongodb-profile-us-west-1-6bf76666bd-qhjmw,istio-proxy,46,93
default,mongodb-rate-us-central-1-88c5d9cff-4m48h,hotel-reserv-rate-mongo,503,164
default,mongodb-rate-us-central-1-88c5d9cff-4m48h,istio-proxy,69,91
default,mongodb-rate-us-east-1-7b8f9cd64c-xlgcx,hotel-reserv-rate-mongo,621,163
default,mongodb-rate-us-east-1-7b8f9cd64c-xlgcx,istio-proxy,71,93
default,mongodb-rate-us-south-1-5d5d7898dc-dks9t,hotel-reserv-rate-mongo,572,165
default,mongodb-rate-us-south-1-5d5d7898dc-dks9t,istio-proxy,76,92
default,mongodb-rate-us-west-1-5d467597d6-fkht2,hotel-reserv-rate-mongo,764,164
default,mongodb-rate-us-west-1-5d467597d6-fkht2,istio-proxy,81,92
default,mongodb-recommendation-us-central-1-c57b7c8bc-w5n4w,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-c57b7c8bc-w5n4w,istio-proxy,4,92
default,mongodb-recommendation-us-east-1-74dd8544bd-dmq2f,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-east-1-74dd8544bd-dmq2f,istio-proxy,4,93
default,mongodb-recommendation-us-south-1-75495d6b96-sx5dp,hotel-reserv-recommendation-mongo,5,162
default,mongodb-recommendation-us-south-1-75495d6b96-sx5dp,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-67f9dd78f6-7hbzp,hotel-reserv-recommendation-mongo,4,166
default,mongodb-recommendation-us-west-1-67f9dd78f6-7hbzp,istio-proxy,4,92
default,mongodb-reservation-us-central-1-8d787454-wsvbg,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-central-1-8d787454-wsvbg,istio-proxy,4,95
default,mongodb-reservation-us-east-1-5974c8fffd-gwzdv,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-east-1-5974c8fffd-gwzdv,istio-proxy,4,93
default,mongodb-reservation-us-south-1-5dc8bd86d9-l6gvf,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-south-1-5dc8bd86d9-l6gvf,istio-proxy,4,89
default,mongodb-reservation-us-west-1-6648d6ddf5-zx4xw,hotel-reserv-reservation-mongo,4,163
default,mongodb-reservation-us-west-1-6648d6ddf5-zx4xw,istio-proxy,4,92
default,mongodb-user-us-central-1-9f6759d8f-5x9tv,hotel-reserv-user-mongo,5,193
default,mongodb-user-us-central-1-9f6759d8f-5x9tv,istio-proxy,4,92
default,mongodb-user-us-east-1-657cdf9779-2np6p,hotel-reserv-user-mongo,5,181
default,mongodb-user-us-east-1-657cdf9779-2np6p,istio-proxy,5,93
default,mongodb-user-us-south-1-595675f86b-c6fqt,hotel-reserv-user-mongo,4,196
default,mongodb-user-us-south-1-595675f86b-c6fqt,istio-proxy,4,93
default,mongodb-user-us-west-1-68447c88b-2hx2n,hotel-reserv-user-mongo,4,212
default,mongodb-user-us-west-1-68447c88b-2hx2n,istio-proxy,4,91
default,profile-us-central-1-d4dd65698-s4l4d,hotel-reserv-profile,193,11
default,profile-us-central-1-d4dd65698-s4l4d,istio-proxy,269,92
default,profile-us-central-1-d4dd65698-z9b2j,hotel-reserv-profile,199,11
default,profile-us-central-1-d4dd65698-z9b2j,istio-proxy,283,94
default,profile-us-east-1-58d4fc5f5b-djnw5,hotel-reserv-profile,216,9
default,profile-us-east-1-58d4fc5f5b-djnw5,istio-proxy,243,92
default,profile-us-east-1-58d4fc5f5b-drcqc,hotel-reserv-profile,197,9
default,profile-us-east-1-58d4fc5f5b-drcqc,istio-proxy,256,91
default,profile-us-south-1-6cd96c57d4-dlsfh,hotel-reserv-profile,208,9
default,profile-us-south-1-6cd96c57d4-dlsfh,istio-proxy,247,91
default,profile-us-south-1-6cd96c57d4-j2jhn,hotel-reserv-profile,211,9
default,profile-us-south-1-6cd96c57d4-j2jhn,istio-proxy,252,93
default,profile-us-west-1-6d5b7b8bfd-tdkpp,hotel-reserv-profile,197,10
default,profile-us-west-1-6d5b7b8bfd-tdkpp,istio-proxy,288,96
default,profile-us-west-1-6d5b7b8bfd-ttvvx,hotel-reserv-profile,180,11
default,profile-us-west-1-6d5b7b8bfd-ttvvx,istio-proxy,276,92
default,rate-us-central-1-86c6fd5f6-p7f57,hotel-reserv-rate,312,11
default,rate-us-central-1-86c6fd5f6-p7f57,istio-proxy,203,94
default,rate-us-central-1-86c6fd5f6-vb6tf,hotel-reserv-rate,326,10
default,rate-us-central-1-86c6fd5f6-vb6tf,istio-proxy,211,93
default,rate-us-east-1-767b6547cb-cnkz9,hotel-reserv-rate,292,9
default,rate-us-east-1-767b6547cb-cnkz9,istio-proxy,217,94
default,rate-us-east-1-767b6547cb-k5vrv,hotel-reserv-rate,308,9
default,rate-us-east-1-767b6547cb-k5vrv,istio-proxy,235,93
default,rate-us-south-1-b75474748-bcmrk,hotel-reserv-rate,278,10
default,rate-us-south-1-b75474748-bcmrk,istio-proxy,232,92
default,rate-us-south-1-b75474748-kt4p6,hotel-reserv-rate,315,10
default,rate-us-south-1-b75474748-kt4p6,istio-proxy,244,91
default,rate-us-west-1-5696db8b45-2p9jz,hotel-reserv-rate,324,11
default,rate-us-west-1-5696db8b45-2p9jz,istio-proxy,248,92
default,rate-us-west-1-5696db8b45-jgl22,hotel-reserv-rate,333,11
default,rate-us-west-1-5696db8b45-jgl22,istio-proxy,259,91
default,recommendation-us-central-1-56dd84c6d5-k26lq,hotel-reserv-recommendation,33,8
default,recommendation-us-central-1-56dd84c6d5-k26lq,istio-proxy,64,92
default,recommendation-us-central-1-56dd84c6d5-nwfgg,hotel-reserv-recommendation,25,7
default,recommendation-us-central-1-56dd84c6d5-nwfgg,istio-proxy,63,92
default,recommendation-us-east-1-5d74cb86cc-9z94z,hotel-reserv-recommendation,25,7
default,recommendation-us-east-1-5d74cb86cc-9z94z,istio-proxy,48,90
default,recommendation-us-east-1-5d74cb86cc-lcnb6,hotel-reserv-recommendation,31,8
default,recommendation-us-east-1-5d74cb86cc-lcnb6,istio-proxy,55,92
default,recommendation-us-south-1-56b784b9fb-lf6xq,hotel-reserv-recommendation,26,8
default,recommendation-us-south-1-56b784b9fb-lf6xq,istio-proxy,61,92
default,recommendation-us-south-1-56b784b9fb-qt7px,hotel-reserv-recommendation,32,8
default,recommendation-us-south-1-56b784b9fb-qt7px,istio-proxy,58,93
default,recommendation-us-west-1-54d9c7bb9d-sps22,hotel-reserv-recommendation,34,8
default,recommendation-us-west-1-54d9c7bb9d-sps22,istio-proxy,65,93
default,recommendation-us-west-1-54d9c7bb9d-zz6l4,hotel-reserv-recommendation,33,8
default,recommendation-us-west-1-54d9c7bb9d-zz6l4,istio-proxy,47,92
default,reservation-us-central-1-66f55b9559-5pphg,hotel-reserv-reservation,2030,20
default,reservation-us-central-1-66f55b9559-5pphg,istio-proxy,268,93
default,reservation-us-central-1-66f55b9559-sm7hf,hotel-reserv-reservation,2051,25
default,reservation-us-central-1-66f55b9559-sm7hf,istio-proxy,242,93
default,reservation-us-east-1-797cc8ccb9-22c2k,hotel-reserv-reservation,1878,18
default,reservation-us-east-1-797cc8ccb9-22c2k,istio-proxy,245,93
default,reservation-us-east-1-797cc8ccb9-chlfs,hotel-reserv-reservation,1921,16
default,reservation-us-east-1-797cc8ccb9-chlfs,istio-proxy,249,91
default,reservation-us-south-1-85c46d85b8-8hc2c,hotel-reserv-reservation,1853,13
default,reservation-us-south-1-85c46d85b8-8hc2c,istio-proxy,241,93
default,reservation-us-south-1-85c46d85b8-hlq7c,hotel-reserv-reservation,1916,19
default,reservation-us-south-1-85c46d85b8-hlq7c,istio-proxy,245,93
default,reservation-us-west-1-568955555b-7k2rv,hotel-reserv-reservation,1889,20
default,reservation-us-west-1-568955555b-7k2rv,istio-proxy,254,93
default,reservation-us-west-1-568955555b-tt8pg,hotel-reserv-reservation,2143,18
default,reservation-us-west-1-568955555b-tt8pg,istio-proxy,280,94
default,search-us-central-1-67c67dccf7-hhvvf,hotel-reserv-search,304,10
default,search-us-central-1-67c67dccf7-hhvvf,istio-proxy,577,93
default,search-us-central-1-67c67dccf7-wsg8r,hotel-reserv-search,313,12
default,search-us-central-1-67c67dccf7-wsg8r,istio-proxy,586,95
default,search-us-east-1-866c7846d4-kwrh7,hotel-reserv-search,269,8
default,search-us-east-1-866c7846d4-kwrh7,istio-proxy,533,91
default,search-us-east-1-866c7846d4-vh7xs,hotel-reserv-search,293,9
default,search-us-east-1-866c7846d4-vh7xs,istio-proxy,435,92
default,search-us-south-1-55c9f9c7dd-4zk68,hotel-reserv-search,292,11
default,search-us-south-1-55c9f9c7dd-4zk68,istio-proxy,513,92
default,search-us-south-1-55c9f9c7dd-q8msr,hotel-reserv-search,226,10
default,search-us-south-1-55c9f9c7dd-q8msr,istio-proxy,452,92
default,search-us-west-1-dcdd4d49b-576vw,hotel-reserv-search,244,11
default,search-us-west-1-dcdd4d49b-576vw,istio-proxy,586,94
default,search-us-west-1-dcdd4d49b-kzlmj,hotel-reserv-search,230,11
default,search-us-west-1-dcdd4d49b-kzlmj,istio-proxy,608,93
default,slate-controller-f7c486844-8t4sd,slate-controller,9333,251
default,slate-controller-f7c486844-8t4sd,istio-proxy,105,106
default,slateingress-us-central-1-7cb5bdbfc4-rd4zc,slateingress,461,16
default,slateingress-us-central-1-7cb5bdbfc4-rd4zc,istio-proxy,874,118
default,slateingress-us-central-1-7cb5bdbfc4-s58zp,slateingress,415,16
default,slateingress-us-central-1-7cb5bdbfc4-s58zp,istio-proxy,888,121
default,slateingress-us-east-1-9db84686c-flrvq,slateingress,181,12
default,slateingress-us-east-1-9db84686c-flrvq,istio-proxy,308,99
default,slateingress-us-east-1-9db84686c-hrpql,slateingress,145,11
default,slateingress-us-east-1-9db84686c-hrpql,istio-proxy,349,97
default,slateingress-us-south-1-66cc468865-2xrpj,slateingress,203,11
default,slateingress-us-south-1-66cc468865-2xrpj,istio-proxy,375,97
default,slateingress-us-south-1-66cc468865-n6v2v,slateingress,151,12
default,slateingress-us-south-1-66cc468865-n6v2v,istio-proxy,361,99
default,slateingress-us-west-1-54c6f6c8d7-qsd87,slateingress,413,17
default,slateingress-us-west-1-54c6f6c8d7-qsd87,istio-proxy,857,123
default,slateingress-us-west-1-54c6f6c8d7-sw2fr,slateingress,463,18
default,slateingress-us-west-1-54c6f6c8d7-sw2fr,istio-proxy,768,121
default,user-us-central-1-59dd5f4966-fdczp,hotel-reserv-user,46,9
default,user-us-central-1-59dd5f4966-fdczp,istio-proxy,117,94
default,user-us-central-1-59dd5f4966-tknzt,hotel-reserv-user,56,9
default,user-us-central-1-59dd5f4966-tknzt,istio-proxy,98,95
default,user-us-east-1-569c6f64c9-4ttcp,hotel-reserv-user,57,9
default,user-us-east-1-569c6f64c9-4ttcp,istio-proxy,108,94
default,user-us-east-1-569c6f64c9-xzhzf,hotel-reserv-user,55,9
default,user-us-east-1-569c6f64c9-xzhzf,istio-proxy,97,93
default,user-us-south-1-dddb54dbc-68x2j,hotel-reserv-user,56,9
default,user-us-south-1-dddb54dbc-68x2j,istio-proxy,109,93
default,user-us-south-1-dddb54dbc-pws2v,hotel-reserv-user,51,9
default,user-us-south-1-dddb54dbc-pws2v,istio-proxy,101,93
default,user-us-west-1-697fbccc79-lsr9l,hotel-reserv-user,49,10
default,user-us-west-1-697fbccc79-lsr9l,istio-proxy,117,96
default,user-us-west-1-697fbccc79-p2q97,hotel-reserv-user,58,10
default,user-us-west-1-697fbccc79-p2q97,istio-proxy,113,94
istio-system,istio-ingressgateway-9668cd8d6-725h5,istio-proxy,86,96
istio-system,istio-ingressgateway-9668cd8d6-89cwb,istio-proxy,94,140
istio-system,istio-ingressgateway-9668cd8d6-9cb56,istio-proxy,86,96
istio-system,istio-ingressgateway-9668cd8d6-bh24b,istio-proxy,80,96
istio-system,istio-ingressgateway-9668cd8d6-bhsr2,istio-proxy,80,133
istio-system,istio-ingressgateway-9668cd8d6-bsm5c,istio-proxy,84,136
istio-system,istio-ingressgateway-9668cd8d6-bvfhj,istio-proxy,93,96
istio-system,istio-ingressgateway-9668cd8d6-ddprh,istio-proxy,94,135
istio-system,istio-ingressgateway-9668cd8d6-dnvjg,istio-proxy,83,95
istio-system,istio-ingressgateway-9668cd8d6-dq8qt,istio-proxy,98,136
istio-system,istio-ingressgateway-9668cd8d6-f2rb2,istio-proxy,84,133
istio-system,istio-ingressgateway-9668cd8d6-fhzd2,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-9668cd8d6-n9s2f,istio-proxy,90,133
istio-system,istio-ingressgateway-9668cd8d6-nshkj,istio-proxy,92,97
istio-system,istio-ingressgateway-9668cd8d6-p9kb2,istio-proxy,94,134
istio-system,istio-ingressgateway-9668cd8d6-ptr46,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-9668cd8d6-rjz8r,istio-proxy,84,97
istio-system,istio-ingressgateway-9668cd8d6-sxxq8,istio-proxy,84,136
istio-system,istio-ingressgateway-9668cd8d6-t5nbb,istio-proxy,84,98
istio-system,istio-ingressgateway-9668cd8d6-tgdtf,istio-proxy,87,96
istio-system,istio-ingressgateway-9668cd8d6-tj2d4,istio-proxy,99,97
istio-system,istio-ingressgateway-9668cd8d6-tvgv6,istio-proxy,97,98
istio-system,istio-ingressgateway-9668cd8d6-txrhs,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-9668cd8d6-wh6vj,istio-proxy,74,137
istio-system,istio-ingressgateway-9668cd8d6-x6vx8,istio-proxy,82,97
istio-system,istio-ingressgateway-9668cd8d6-xrd9z,istio-proxy,83,96
istio-system,istio-ingressgateway-9668cd8d6-zj278,istio-proxy,99,95
istio-system,istio-ingressgateway-9668cd8d6-zlcr7,istio-proxy,105,97
istio-system,istiod-74c858c5d-j2qdz,discovery,2,117
istio-system,istiod-74c858c5d-mv4z5,discovery,3,140
istio-system,istiod-74c858c5d-wxc99,discovery,2,111
