counter,region,service,endpoint,rps
1,us-central-1,frontend,frontend@POST@/user,111
1,us-central-1,frontend,frontend@GET@/recommendations,108
1,us-central-1,frontend,frontend@POST@/reservation,100
1,us-central-1,frontend,frontend@GET@/hotels,348
1,us-central-1,slateingress,slateingress@POST@/user,108
1,us-central-1,slateingress,slateingress@GET@/recommendations,106
1,us-central-1,slateingress,slateingress@POST@/reservation,109
1,us-central-1,slateingress,slateingress@GET@/hotels,502
1,us-central-1,search,search@POST@/search.Search/Nearby,660
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,616
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,504
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,636
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-central-1,user,user@POST@/user.User/CheckUser,204
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,609
1,us-south-1,slateingress,slateingress@GET@/recommendations,109
1,us-south-1,slateingress,slateingress@POST@/user,107
1,us-south-1,slateingress,slateingress@POST@/reservation,113
1,us-south-1,slateingress,slateingress@GET@/hotels,113
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,82
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,53
1,us-south-1,search,search@POST@/search.Search/Nearby,59
1,us-south-1,user,user@POST@/user.User/CheckUser,199
1,us-south-1,frontend,frontend@POST@/user,107
1,us-south-1,frontend,frontend@GET@/recommendations,117
1,us-south-1,frontend,frontend@POST@/reservation,108
1,us-south-1,frontend,frontend@GET@/hotels,98
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,112
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,156
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,82
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,46
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,63
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,430
1,us-west-1,search,search@POST@/search.Search/Nearby,585
1,us-west-1,frontend,frontend@POST@/user,-1484
1,us-west-1,frontend,frontend@GET@/recommendations,93
1,us-west-1,frontend,frontend@POST@/reservation,-1416
1,us-west-1,frontend,frontend@GET@/hotels,-448
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,87
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,562
1,us-west-1,slateingress,slateingress@POST@/user,105
1,us-west-1,slateingress,slateingress@GET@/recommendations,97
1,us-west-1,slateingress,slateingress@POST@/reservation,94
1,us-west-1,slateingress,slateingress@GET@/hotels,606
1,us-west-1,user,user@POST@/user.User/CheckUser,178
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,524
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,576
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,101
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,102
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
1,us-east-1,search,search@POST@/search.Search/Nearby,113
1,us-east-1,user,user@POST@/user.User/CheckUser,207
1,us-east-1,frontend,frontend@GET@/recommendations,111
1,us-east-1,frontend,frontend@POST@/reservation,105
1,us-east-1,frontend,frontend@GET@/hotels,102
1,us-east-1,frontend,frontend@POST@/user,109
