Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-c8d5f64c6-958zp,consul,10,35
default,consul-c8d5f64c6-958zp,istio-proxy,3,94
default,frontend-us-central-1-f6fdbc799-m5qr6,hotel-reserv-frontend,561,11
default,frontend-us-central-1-f6fdbc799-m5qr6,istio-proxy,1727,103
default,frontend-us-central-1-f6fdbc799-w6z76,hotel-reserv-frontend,425,11
default,frontend-us-central-1-f6fdbc799-w6z76,istio-proxy,1165,101
default,frontend-us-east-1-58fcb8b685-h5t2r,hotel-reserv-frontend,143,11
default,frontend-us-east-1-58fcb8b685-h5t2r,istio-proxy,386,99
default,frontend-us-east-1-58fcb8b685-v7968,hotel-reserv-frontend,214,8
default,frontend-us-east-1-58fcb8b685-v7968,istio-proxy,526,93
default,frontend-us-south-1-5c6b5dc8d-g6fr2,hotel-reserv-frontend,199,8
default,frontend-us-south-1-5c6b5dc8d-g6fr2,istio-proxy,485,95
default,frontend-us-south-1-5c6b5dc8d-tf4m7,hotel-reserv-frontend,194,8
default,frontend-us-south-1-5c6b5dc8d-tf4m7,istio-proxy,486,96
default,frontend-us-west-1-798d9f4f48-kj74p,hotel-reserv-frontend,74,38
default,frontend-us-west-1-798d9f4f48-kj74p,istio-proxy,229,165
default,frontend-us-west-1-798d9f4f48-tjf7t,hotel-reserv-frontend,73,17
default,frontend-us-west-1-798d9f4f48-tjf7t,istio-proxy,277,114
default,geo-us-central-1-585c77b5ff-72hqd,hotel-reserv-geo,151,9
default,geo-us-central-1-585c77b5ff-72hqd,istio-proxy,345,93
default,geo-us-central-1-585c77b5ff-n474v,hotel-reserv-geo,179,8
default,geo-us-central-1-585c77b5ff-n474v,istio-proxy,348,92
default,geo-us-east-1-694df6c759-6sv5k,hotel-reserv-geo,24,8
default,geo-us-east-1-694df6c759-6sv5k,istio-proxy,39,91
default,geo-us-east-1-694df6c759-sgsjh,hotel-reserv-geo,27,7
default,geo-us-east-1-694df6c759-sgsjh,istio-proxy,40,91
default,geo-us-south-1-7cfb5bc97f-zkncm,hotel-reserv-geo,26,8
default,geo-us-south-1-7cfb5bc97f-zkncm,istio-proxy,52,91
default,geo-us-south-1-7cfb5bc97f-zvjtp,hotel-reserv-geo,27,8
default,geo-us-south-1-7cfb5bc97f-zvjtp,istio-proxy,54,94
default,geo-us-west-1-5cfcf49f96-78p4j,hotel-reserv-geo,13,8
default,geo-us-west-1-5cfcf49f96-78p4j,istio-proxy,17,94
default,geo-us-west-1-5cfcf49f96-c74fv,hotel-reserv-geo,3,8
default,geo-us-west-1-5cfcf49f96-c74fv,istio-proxy,31,93
default,jaeger-647c844948-hp5dv,hotel-reserv-jaeger,245,248
default,jaeger-647c844948-hp5dv,istio-proxy,3,93
default,memcached-profile-us-central-1-7cc67544f7-75gq2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7cc67544f7-75gq2,istio-proxy,5,93
default,memcached-profile-us-central-1-7cc67544f7-hgk2h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7cc67544f7-hgk2h,istio-proxy,4,91
default,memcached-profile-us-east-1-5dd4447d9-4xd4s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd4447d9-4xd4s,istio-proxy,4,92
default,memcached-profile-us-east-1-5dd4447d9-h65gg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd4447d9-h65gg,istio-proxy,4,92
default,memcached-profile-us-south-1-86bc8b55bf-76str,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86bc8b55bf-76str,istio-proxy,4,91
default,memcached-profile-us-south-1-86bc8b55bf-f59ht,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86bc8b55bf-f59ht,istio-proxy,3,92
default,memcached-profile-us-west-1-669b54c87b-6kxdk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-669b54c87b-6kxdk,istio-proxy,3,91
default,memcached-profile-us-west-1-669b54c87b-b8fhm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-669b54c87b-b8fhm,istio-proxy,3,94
default,memcached-rate-us-central-1-7c4db49cdd-dps44,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c4db49cdd-dps44,istio-proxy,4,91
default,memcached-rate-us-central-1-7c4db49cdd-x589l,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c4db49cdd-x589l,istio-proxy,4,92
default,memcached-rate-us-east-1-5d9b9cc8fb-2c66z,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5d9b9cc8fb-2c66z,istio-proxy,4,92
default,memcached-rate-us-east-1-5d9b9cc8fb-6c6fb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5d9b9cc8fb-6c6fb,istio-proxy,4,92
default,memcached-rate-us-south-1-b6d8788d4-55w86,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-b6d8788d4-55w86,istio-proxy,4,92
default,memcached-rate-us-south-1-b6d8788d4-zx7mt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-b6d8788d4-zx7mt,istio-proxy,4,93
default,memcached-rate-us-west-1-68db86dc7-bfnk8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68db86dc7-bfnk8,istio-proxy,4,91
default,memcached-rate-us-west-1-68db86dc7-mf5km,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68db86dc7-mf5km,istio-proxy,3,92
default,memcached-reserve-us-central-1-776979f87-6gbjt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-776979f87-6gbjt,istio-proxy,5,91
default,memcached-reserve-us-central-1-776979f87-rkfh9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-776979f87-rkfh9,istio-proxy,5,94
default,memcached-reserve-us-east-1-57f47d9497-86ccg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f47d9497-86ccg,istio-proxy,4,92
default,memcached-reserve-us-east-1-57f47d9497-mjfp2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f47d9497-mjfp2,istio-proxy,4,91
default,memcached-reserve-us-south-1-5f7d9549cb-7fwv5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f7d9549cb-7fwv5,istio-proxy,3,91
default,memcached-reserve-us-south-1-5f7d9549cb-rs6bt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f7d9549cb-rs6bt,istio-proxy,4,94
default,memcached-reserve-us-west-1-79bb66756d-hf262,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-79bb66756d-hf262,istio-proxy,4,94
default,memcached-reserve-us-west-1-79bb66756d-xwhmc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-79bb66756d-xwhmc,istio-proxy,4,92
default,mongodb-geo-us-central-1-867868ff87-l8cxj,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-central-1-867868ff87-l8cxj,istio-proxy,5,92
default,mongodb-geo-us-east-1-5f9588df69-n5tjs,hotel-reserv-geo-mongo,3,163
default,mongodb-geo-us-east-1-5f9588df69-n5tjs,istio-proxy,4,90
default,mongodb-geo-us-south-1-67b89c6f4c-jx79d,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-67b89c6f4c-jx79d,istio-proxy,4,91
default,mongodb-geo-us-west-1-79cc5c6c7b-5b7n6,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-79cc5c6c7b-5b7n6,istio-proxy,4,95
default,mongodb-profile-us-central-1-5cf4bcdbdb-22xxw,hotel-reserv-profile-mongo,93,163
default,mongodb-profile-us-central-1-5cf4bcdbdb-22xxw,istio-proxy,49,91
default,mongodb-profile-us-east-1-8577bc65bb-fm8cg,hotel-reserv-profile-mongo,78,163
default,mongodb-profile-us-east-1-8577bc65bb-fm8cg,istio-proxy,43,93
default,mongodb-profile-us-south-1-799cb46f94-cfndr,hotel-reserv-profile-mongo,76,163
default,mongodb-profile-us-south-1-799cb46f94-cfndr,istio-proxy,41,91
default,mongodb-profile-us-west-1-64bb888985-wzm85,hotel-reserv-profile-mongo,44,163
default,mongodb-profile-us-west-1-64bb888985-wzm85,istio-proxy,28,92
default,mongodb-rate-us-central-1-864dbfd964-4gwgv,hotel-reserv-rate-mongo,1240,164
default,mongodb-rate-us-central-1-864dbfd964-4gwgv,istio-proxy,140,92
default,mongodb-rate-us-east-1-6858864d66-lkfql,hotel-reserv-rate-mongo,86,162
default,mongodb-rate-us-east-1-6858864d66-lkfql,istio-proxy,20,92
default,mongodb-rate-us-south-1-6f8867459b-tlpf4,hotel-reserv-rate-mongo,123,159
default,mongodb-rate-us-south-1-6f8867459b-tlpf4,istio-proxy,22,92
default,mongodb-rate-us-west-1-86c7c469d9-m6gzx,hotel-reserv-rate-mongo,51,165
default,mongodb-rate-us-west-1-86c7c469d9-m6gzx,istio-proxy,5,95
default,mongodb-recommendation-us-central-1-b7c8fc876-6dmx6,hotel-reserv-recommendation-mongo,5,161
default,mongodb-recommendation-us-central-1-b7c8fc876-6dmx6,istio-proxy,4,92
default,mongodb-recommendation-us-east-1-7679f44fbd-2gzbp,hotel-reserv-recommendation-mongo,4,165
default,mongodb-recommendation-us-east-1-7679f44fbd-2gzbp,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-67d579fd84-hwn7m,hotel-reserv-recommendation-mongo,4,164
default,mongodb-recommendation-us-south-1-67d579fd84-hwn7m,istio-proxy,5,93
default,mongodb-recommendation-us-west-1-7bc688d796-x52fn,hotel-reserv-recommendation-mongo,3,163
default,mongodb-recommendation-us-west-1-7bc688d796-x52fn,istio-proxy,4,94
default,mongodb-reservation-us-central-1-76bb444db7-f4tgc,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-central-1-76bb444db7-f4tgc,istio-proxy,5,93
default,mongodb-reservation-us-east-1-78b56f8fb5-pbk6h,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-east-1-78b56f8fb5-pbk6h,istio-proxy,4,94
default,mongodb-reservation-us-south-1-59f59db94c-mj6tv,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-south-1-59f59db94c-mj6tv,istio-proxy,3,92
