Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-c8d5f64c6-958zp,consul,11,34
default,consul-c8d5f64c6-958zp,istio-proxy,8,94
default,frontend-us-central-1-f6fdbc799-m5qr6,hotel-reserv-frontend,0,4
default,frontend-us-central-1-f6fdbc799-m5qr6,istio-proxy,7,93
default,frontend-us-central-1-f6fdbc799-w6z76,hotel-reserv-frontend,0,4
default,frontend-us-central-1-f6fdbc799-w6z76,istio-proxy,7,91
default,frontend-us-east-1-58fcb8b685-h5t2r,hotel-reserv-frontend,0,4
default,frontend-us-east-1-58fcb8b685-h5t2r,istio-proxy,9,93
default,frontend-us-east-1-58fcb8b685-v7968,hotel-reserv-frontend,0,4
default,frontend-us-east-1-58fcb8b685-v7968,istio-proxy,5,90
default,frontend-us-south-1-5c6b5dc8d-g6fr2,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5c6b5dc8d-g6fr2,istio-proxy,8,93
default,frontend-us-south-1-5c6b5dc8d-tf4m7,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5c6b5dc8d-tf4m7,istio-proxy,5,93
default,frontend-us-west-1-798d9f4f48-kj74p,hotel-reserv-frontend,0,19
default,frontend-us-west-1-798d9f4f48-kj74p,istio-proxy,7,132
default,frontend-us-west-1-798d9f4f48-tjf7t,hotel-reserv-frontend,0,13
default,frontend-us-west-1-798d9f4f48-tjf7t,istio-proxy,7,113
default,geo-us-central-1-585c77b5ff-72hqd,hotel-reserv-geo,0,6
default,geo-us-central-1-585c77b5ff-72hqd,istio-proxy,8,92
default,geo-us-central-1-585c77b5ff-n474v,hotel-reserv-geo,0,6
default,geo-us-central-1-585c77b5ff-n474v,istio-proxy,6,91
default,geo-us-east-1-694df6c759-6sv5k,hotel-reserv-geo,0,7
default,geo-us-east-1-694df6c759-6sv5k,istio-proxy,7,91
default,geo-us-east-1-694df6c759-sgsjh,hotel-reserv-geo,0,6
default,geo-us-east-1-694df6c759-sgsjh,istio-proxy,5,91
default,geo-us-south-1-7cfb5bc97f-zkncm,hotel-reserv-geo,0,6
default,geo-us-south-1-7cfb5bc97f-zkncm,istio-proxy,6,91
default,geo-us-south-1-7cfb5bc97f-zvjtp,hotel-reserv-geo,0,6
default,geo-us-south-1-7cfb5bc97f-zvjtp,istio-proxy,6,94
default,geo-us-west-1-5cfcf49f96-78p4j,hotel-reserv-geo,0,6
default,geo-us-west-1-5cfcf49f96-78p4j,istio-proxy,8,93
default,geo-us-west-1-5cfcf49f96-c74fv,hotel-reserv-geo,0,6
default,geo-us-west-1-5cfcf49f96-c74fv,istio-proxy,8,92
default,jaeger-647c844948-hp5dv,hotel-reserv-jaeger,0,10
default,jaeger-647c844948-hp5dv,istio-proxy,6,93
default,memcached-profile-us-central-1-7cc67544f7-75gq2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7cc67544f7-75gq2,istio-proxy,9,93
default,memcached-profile-us-central-1-7cc67544f7-hgk2h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7cc67544f7-hgk2h,istio-proxy,8,91
default,memcached-profile-us-east-1-5dd4447d9-4xd4s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd4447d9-4xd4s,istio-proxy,7,92
default,memcached-profile-us-east-1-5dd4447d9-h65gg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd4447d9-h65gg,istio-proxy,5,92
default,memcached-profile-us-south-1-86bc8b55bf-76str,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86bc8b55bf-76str,istio-proxy,7,91
default,memcached-profile-us-south-1-86bc8b55bf-f59ht,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86bc8b55bf-f59ht,istio-proxy,5,92
default,memcached-profile-us-west-1-669b54c87b-6kxdk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-669b54c87b-6kxdk,istio-proxy,7,91
default,memcached-profile-us-west-1-669b54c87b-b8fhm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-669b54c87b-b8fhm,istio-proxy,7,94
default,memcached-rate-us-central-1-7c4db49cdd-dps44,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c4db49cdd-dps44,istio-proxy,8,91
default,memcached-rate-us-central-1-7c4db49cdd-x589l,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7c4db49cdd-x589l,istio-proxy,8,92
default,memcached-rate-us-east-1-5d9b9cc8fb-2c66z,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5d9b9cc8fb-2c66z,istio-proxy,8,92
default,memcached-rate-us-east-1-5d9b9cc8fb-6c6fb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5d9b9cc8fb-6c6fb,istio-proxy,8,92
default,memcached-rate-us-south-1-b6d8788d4-55w86,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-b6d8788d4-55w86,istio-proxy,6,92
default,memcached-rate-us-south-1-b6d8788d4-zx7mt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-b6d8788d4-zx7mt,istio-proxy,8,93
default,memcached-rate-us-west-1-68db86dc7-bfnk8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68db86dc7-bfnk8,istio-proxy,8,91
default,memcached-rate-us-west-1-68db86dc7-mf5km,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68db86dc7-mf5km,istio-proxy,6,92
default,memcached-reserve-us-central-1-776979f87-6gbjt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-776979f87-6gbjt,istio-proxy,9,91
default,memcached-reserve-us-central-1-776979f87-rkfh9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-776979f87-rkfh9,istio-proxy,6,94
default,memcached-reserve-us-east-1-57f47d9497-86ccg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f47d9497-86ccg,istio-proxy,7,92
default,memcached-reserve-us-east-1-57f47d9497-mjfp2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f47d9497-mjfp2,istio-proxy,7,92
default,memcached-reserve-us-south-1-5f7d9549cb-7fwv5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f7d9549cb-7fwv5,istio-proxy,9,91
default,memcached-reserve-us-south-1-5f7d9549cb-rs6bt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f7d9549cb-rs6bt,istio-proxy,8,94
default,memcached-reserve-us-west-1-79bb66756d-hf262,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-79bb66756d-hf262,istio-proxy,8,94
default,memcached-reserve-us-west-1-79bb66756d-xwhmc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-79bb66756d-xwhmc,istio-proxy,6,92
default,mongodb-geo-us-central-1-867868ff87-l8cxj,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-central-1-867868ff87-l8cxj,istio-proxy,6,92
default,mongodb-geo-us-east-1-5f9588df69-n5tjs,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-5f9588df69-n5tjs,istio-proxy,8,90
default,mongodb-geo-us-south-1-67b89c6f4c-jx79d,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-67b89c6f4c-jx79d,istio-proxy,7,92
default,mongodb-geo-us-west-1-79cc5c6c7b-5b7n6,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-west-1-79cc5c6c7b-5b7n6,istio-proxy,8,95
default,mongodb-profile-us-central-1-5cf4bcdbdb-22xxw,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-central-1-5cf4bcdbdb-22xxw,istio-proxy,6,91
default,mongodb-profile-us-east-1-8577bc65bb-fm8cg,hotel-reserv-profile-mongo,4,161
default,mongodb-profile-us-east-1-8577bc65bb-fm8cg,istio-proxy,7,93
default,mongodb-profile-us-south-1-799cb46f94-cfndr,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-south-1-799cb46f94-cfndr,istio-proxy,8,91
default,mongodb-profile-us-west-1-64bb888985-wzm85,hotel-reserv-profile-mongo,3,159
default,mongodb-profile-us-west-1-64bb888985-wzm85,istio-proxy,9,91
default,mongodb-rate-us-central-1-864dbfd964-4gwgv,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-central-1-864dbfd964-4gwgv,istio-proxy,7,92
default,mongodb-rate-us-east-1-6858864d66-lkfql,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-east-1-6858864d66-lkfql,istio-proxy,11,92
default,mongodb-rate-us-south-1-6f8867459b-tlpf4,hotel-reserv-rate-mongo,31,157
default,mongodb-rate-us-south-1-6f8867459b-tlpf4,istio-proxy,18,92
default,mongodb-rate-us-west-1-86c7c469d9-m6gzx,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-west-1-86c7c469d9-m6gzx,istio-proxy,8,95
default,mongodb-recommendation-us-central-1-b7c8fc876-6dmx6,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-b7c8fc876-6dmx6,istio-proxy,10,92
default,mongodb-recommendation-us-east-1-7679f44fbd-2gzbp,hotel-reserv-recommendation-mongo,3,164
default,mongodb-recommendation-us-east-1-7679f44fbd-2gzbp,istio-proxy,5,92
default,mongodb-recommendation-us-south-1-67d579fd84-hwn7m,hotel-reserv-recommendation-mongo,3,164
default,mongodb-recommendation-us-south-1-67d579fd84-hwn7m,istio-proxy,9,93
default,mongodb-recommendation-us-west-1-7bc688d796-x52fn,hotel-reserv-recommendation-mongo,3,163
default,mongodb-recommendation-us-west-1-7bc688d796-x52fn,istio-proxy,10,94
default,mongodb-reservation-us-central-1-76bb444db7-f4tgc,hotel-reserv-reservation-mongo,18,161
default,mongodb-reservation-us-central-1-76bb444db7-f4tgc,istio-proxy,7,93
default,mongodb-reservation-us-east-1-78b56f8fb5-pbk6h,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-east-1-78b56f8fb5-pbk6h,istio-proxy,8,94
default,mongodb-reservation-us-south-1-59f59db94c-mj6tv,hotel-reserv-reservation-mongo,36,157
default,mongodb-reservation-us-south-1-59f59db94c-mj6tv,istio-proxy,10,92
default,mongodb-reservation-us-west-1-6bc68b88f-7hrh6,hotel-reserv-reservation-mongo,57,157
default,mongodb-reservation-us-west-1-6bc68b88f-7hrh6,istio-proxy,7,94
default,mongodb-user-us-central-1-fb6d85ddc-xc5xr,hotel-reserv-user-mongo,41,183
default,mongodb-user-us-central-1-fb6d85ddc-xc5xr,istio-proxy,10,90
default,mongodb-user-us-east-1-688f5b4666-z6tkc,hotel-reserv-user-mongo,20,157
default,mongodb-user-us-east-1-688f5b4666-z6tkc,istio-proxy,5,91
default,mongodb-user-us-south-1-7474764c74-tw67r,hotel-reserv-user-mongo,41,156
default,mongodb-user-us-south-1-7474764c74-tw67r,istio-proxy,12,93
default,mongodb-user-us-west-1-65d884cf46-87lr7,hotel-reserv-user-mongo,3,209
default,mongodb-user-us-west-1-65d884cf46-87lr7,istio-proxy,8,93
default,profile-us-central-1-74d7c9846-jmc85,hotel-reserv-profile,0,5
default,profile-us-central-1-74d7c9846-jmc85,istio-proxy,8,92
default,profile-us-central-1-74d7c9846-ts6fg,hotel-reserv-profile,0,5
default,profile-us-central-1-74d7c9846-ts6fg,istio-proxy,5,91
default,profile-us-east-1-56d59c649-xxgwq,hotel-reserv-profile,0,5
default,profile-us-east-1-56d59c649-xxgwq,istio-proxy,8,93
default,profile-us-east-1-56d59c649-z9v5j,hotel-reserv-profile,0,5
default,profile-us-east-1-56d59c649-z9v5j,istio-proxy,6,91
default,profile-us-south-1-84ccd7d57-6cczp,hotel-reserv-profile,0,3
default,profile-us-south-1-84ccd7d57-6cczp,istio-proxy,8,93
default,profile-us-south-1-84ccd7d57-922xt,hotel-reserv-profile,0,3
default,profile-us-south-1-84ccd7d57-922xt,istio-proxy,6,90
default,profile-us-west-1-74b8d89485-mtgxp,hotel-reserv-profile,0,3
default,profile-us-west-1-74b8d89485-mtgxp,istio-proxy,7,91
default,profile-us-west-1-74b8d89485-qjkkc,hotel-reserv-profile,0,3
default,profile-us-west-1-74b8d89485-qjkkc,istio-proxy,7,94
default,rate-us-central-1-6dc65bcdb9-9vtzr,hotel-reserv-rate,0,3
default,rate-us-central-1-6dc65bcdb9-9vtzr,istio-proxy,8,92
default,rate-us-central-1-6dc65bcdb9-swgsh,hotel-reserv-rate,0,2
default,rate-us-central-1-6dc65bcdb9-swgsh,istio-proxy,7,94
default,rate-us-east-1-69d99ccc95-wqt5n,hotel-reserv-rate,0,4
default,rate-us-east-1-69d99ccc95-wqt5n,istio-proxy,8,91
default,rate-us-east-1-69d99ccc95-xjmf7,hotel-reserv-rate,0,3
default,rate-us-east-1-69d99ccc95-xjmf7,istio-proxy,7,90
default,rate-us-south-1-6cc8799dbd-gjxcj,hotel-reserv-rate,0,5
default,rate-us-south-1-6cc8799dbd-gjxcj,istio-proxy,9,90
default,rate-us-south-1-6cc8799dbd-kfdmf,hotel-reserv-rate,0,4
default,rate-us-south-1-6cc8799dbd-kfdmf,istio-proxy,9,92
default,rate-us-west-1-84ccd7c9b8-rkf9m,hotel-reserv-rate,0,3
default,rate-us-west-1-84ccd7c9b8-rkf9m,istio-proxy,8,93
default,rate-us-west-1-84ccd7c9b8-tz24g,hotel-reserv-rate,0,3
default,rate-us-west-1-84ccd7c9b8-tz24g,istio-proxy,9,91
default,recommendation-us-central-1-667cb5555d-hcpmr,hotel-reserv-recommendation,0,12
default,recommendation-us-central-1-667cb5555d-hcpmr,istio-proxy,15,90
default,recommendation-us-central-1-667cb5555d-wdcr9,hotel-reserv-recommendation,0,7
default,recommendation-us-central-1-667cb5555d-wdcr9,istio-proxy,6,91
default,recommendation-us-east-1-66fd6bb749-8mbm2,hotel-reserv-recommendation,0,11
default,recommendation-us-east-1-66fd6bb749-8mbm2,istio-proxy,18,94
default,recommendation-us-east-1-66fd6bb749-chf94,hotel-reserv-recommendation,0,12
default,recommendation-us-east-1-66fd6bb749-chf94,istio-proxy,12,93
default,recommendation-us-south-1-579875db45-6vpgz,hotel-reserv-recommendation,0,11
default,recommendation-us-south-1-579875db45-6vpgz,istio-proxy,15,91
default,recommendation-us-south-1-579875db45-sgq98,hotel-reserv-recommendation,0,11
default,recommendation-us-south-1-579875db45-sgq98,istio-proxy,5,90
default,recommendation-us-west-1-685d67f9df-6hw9t,hotel-reserv-recommendation,0,15
default,recommendation-us-west-1-685d67f9df-6hw9t,istio-proxy,5,93
default,recommendation-us-west-1-685d67f9df-s24s5,hotel-reserv-recommendation,0,15
default,recommendation-us-west-1-685d67f9df-s24s5,istio-proxy,10,94
default,reservation-us-central-1-7d7f7b95d6-gnjdh,hotel-reserv-reservation,3,3
default,reservation-us-central-1-7d7f7b95d6-gnjdh,istio-proxy,13,90
default,reservation-us-central-1-7d7f7b95d6-x26vp,hotel-reserv-reservation,N/A,N/A
default,reservation-us-central-1-7d7f7b95d6-x26vp,istio-proxy,N/A,N/A
default,reservation-us-east-1-7c4c8d7b78-765jm,hotel-reserv-reservation,0,4
default,reservation-us-east-1-7c4c8d7b78-765jm,istio-proxy,6,91
default,reservation-us-east-1-7c4c8d7b78-jlbfc,hotel-reserv-reservation,0,5
default,reservation-us-east-1-7c4c8d7b78-jlbfc,istio-proxy,7,92
default,reservation-us-south-1-7cdd765687-6j4nc,hotel-reserv-reservation,0,4
default,reservation-us-south-1-7cdd765687-6j4nc,istio-proxy,9,91
default,reservation-us-south-1-7cdd765687-tbvk5,hotel-reserv-reservation,0,5
default,reservation-us-south-1-7cdd765687-tbvk5,istio-proxy,9,91
default,reservation-us-west-1-65bbb6fd5-czkkq,hotel-reserv-reservation,0,4
default,reservation-us-west-1-65bbb6fd5-czkkq,istio-proxy,7,91
