counter,region,service,endpoint,rps
1,us-central-1,user,user@POST@/user.User/CheckUser,224
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,91
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,80
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,55
1,us-central-1,slateingress,slateingress@POST@/user,112
1,us-central-1,slateingress,slateingress@GET@/recommendations,108
1,us-central-1,slateingress,slateingress@POST@/reservation,95
1,us-central-1,slateingress,slateingress@GET@/hotels,97
1,us-central-1,search,search@POST@/search.Search/Nearby,51
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,188
1,us-central-1,frontend,frontend@POST@/user,91
1,us-central-1,frontend,frontend@GET@/recommendations,82
1,us-central-1,frontend,frontend@POST@/reservation,83
1,us-central-1,frontend,frontend@GET@/hotels,79
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,94
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,74
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,212
1,us-east-1,slateingress,slateingress@POST@/user,113
1,us-east-1,slateingress,slateingress@GET@/recommendations,100
1,us-east-1,slateingress,slateingress@POST@/reservation,90
1,us-east-1,slateingress,slateingress@GET@/hotels,102
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,112
1,us-east-1,frontend,frontend@POST@/user,110
1,us-east-1,frontend,frontend@GET@/recommendations,113
1,us-east-1,frontend,frontend@POST@/reservation,108
1,us-east-1,frontend,frontend@GET@/hotels,111
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,116
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,131
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,113
1,us-east-1,user,user@POST@/user.User/CheckUser,226
1,us-east-1,search,search@POST@/search.Search/Nearby,97
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,115
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,64
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,56
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,36
1,us-south-1,frontend,frontend@POST@/reservation,44
1,us-south-1,frontend,frontend@POST@/user,65
1,us-south-1,frontend,frontend@GET@/recommendations,61
1,us-south-1,frontend,frontend@GET@/hotels,29
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,53
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,17
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,96
1,us-south-1,search,search@POST@/search.Search/Nearby,41
