Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6d58549ddc-fnjw4,consul,10,34
default,consul-6d58549ddc-fnjw4,istio-proxy,4,94
default,frontend-us-central-1-68bb8cd87d-78j6k,hotel-reserv-frontend,101,8
default,frontend-us-central-1-68bb8cd87d-78j6k,istio-proxy,462,94
default,frontend-us-central-1-68bb8cd87d-tljrt,hotel-reserv-frontend,77,8
default,frontend-us-central-1-68bb8cd87d-tljrt,istio-proxy,98,95
default,frontend-us-east-1-745fb6994b-6f42q,hotel-reserv-frontend,62,8
default,frontend-us-east-1-745fb6994b-6f42q,istio-proxy,693,94
default,frontend-us-east-1-745fb6994b-j4b44,hotel-reserv-frontend,151,8
default,frontend-us-east-1-745fb6994b-j4b44,istio-proxy,273,95
default,frontend-us-south-1-759c9d5bcd-ndk6h,hotel-reserv-frontend,113,8
default,frontend-us-south-1-759c9d5bcd-ndk6h,istio-proxy,300,96
default,frontend-us-south-1-759c9d5bcd-qwk4k,hotel-reserv-frontend,0,4
default,frontend-us-south-1-759c9d5bcd-qwk4k,istio-proxy,173,93
default,frontend-us-west-1-b665cbf5f-92pn9,hotel-reserv-frontend,6,6
default,frontend-us-west-1-b665cbf5f-92pn9,istio-proxy,1393,108
default,frontend-us-west-1-b665cbf5f-kbsjl,hotel-reserv-frontend,503,14
default,frontend-us-west-1-b665cbf5f-kbsjl,istio-proxy,1093,110
default,geo-us-central-1-54447c65c4-pjvw8,hotel-reserv-geo,24,8
default,geo-us-central-1-54447c65c4-pjvw8,istio-proxy,36,91
default,geo-us-central-1-54447c65c4-wnwlp,hotel-reserv-geo,2,7
default,geo-us-central-1-54447c65c4-wnwlp,istio-proxy,29,92
default,geo-us-east-1-bc5f787b4-7k9zw,hotel-reserv-geo,24,7
default,geo-us-east-1-bc5f787b4-7k9zw,istio-proxy,85,95
default,geo-us-east-1-bc5f787b4-rkh2l,hotel-reserv-geo,25,8
default,geo-us-east-1-bc5f787b4-rkh2l,istio-proxy,54,93
default,geo-us-south-1-7b5ff654b6-n49rx,hotel-reserv-geo,4,6
default,geo-us-south-1-7b5ff654b6-n49rx,istio-proxy,4,91
default,geo-us-south-1-7b5ff654b6-nqp7f,hotel-reserv-geo,16,7
default,geo-us-south-1-7b5ff654b6-nqp7f,istio-proxy,5,91
default,geo-us-west-1-b75678b8d-ntfms,hotel-reserv-geo,62,8
default,geo-us-west-1-b75678b8d-ntfms,istio-proxy,5,91
default,geo-us-west-1-b75678b8d-wqw4w,hotel-reserv-geo,58,8
default,geo-us-west-1-b75678b8d-wqw4w,istio-proxy,109,93
default,jaeger-7c46d64f5-l9rmv,hotel-reserv-jaeger,129,77
default,jaeger-7c46d64f5-l9rmv,istio-proxy,3,93
default,memcached-profile-us-central-1-f8f58756d-8jtnh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-8jtnh,istio-proxy,4,91
default,memcached-profile-us-central-1-f8f58756d-srh59,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-srh59,istio-proxy,4,91
default,memcached-profile-us-east-1-55545999d-gk2f4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-gk2f4,istio-proxy,7,95
default,memcached-profile-us-east-1-55545999d-ljs8b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-ljs8b,istio-proxy,7,92
default,memcached-profile-us-south-1-78c676d96-6zh9s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-6zh9s,istio-proxy,4,91
default,memcached-profile-us-south-1-78c676d96-j485x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-j485x,istio-proxy,4,93
default,memcached-profile-us-west-1-69768cbff4-gwt69,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-gwt69,istio-proxy,4,95
default,memcached-profile-us-west-1-69768cbff4-nnwzs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-nnwzs,istio-proxy,4,92
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,istio-proxy,5,93
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,istio-proxy,4,92
default,memcached-rate-us-east-1-7f87b455bf-f299m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-f299m,istio-proxy,9,91
default,memcached-rate-us-east-1-7f87b455bf-rk94s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-rk94s,istio-proxy,7,92
default,memcached-rate-us-south-1-5784745bf9-4dslf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5784745bf9-4dslf,istio-proxy,4,92
default,memcached-rate-us-south-1-5784745bf9-hfkh7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5784745bf9-hfkh7,istio-proxy,5,91
default,memcached-rate-us-west-1-66c98554bf-c9fxb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66c98554bf-c9fxb,istio-proxy,5,90
default,memcached-rate-us-west-1-66c98554bf-rdgkg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66c98554bf-rdgkg,istio-proxy,4,92
default,memcached-reserve-us-central-1-6c8c67d79-4fhgp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c8c67d79-4fhgp,istio-proxy,4,93
default,memcached-reserve-us-central-1-6c8c67d79-6tgcj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c8c67d79-6tgcj,istio-proxy,4,92
default,memcached-reserve-us-east-1-6bf8d698c8-rnt7n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6bf8d698c8-rnt7n,istio-proxy,6,91
default,memcached-reserve-us-east-1-6bf8d698c8-whm9w,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6bf8d698c8-whm9w,istio-proxy,8,91
default,memcached-reserve-us-south-1-6bcb8d48bb-b8vxw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6bcb8d48bb-b8vxw,istio-proxy,4,92
default,memcached-reserve-us-south-1-6bcb8d48bb-lx9sr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6bcb8d48bb-lx9sr,istio-proxy,4,94
default,memcached-reserve-us-west-1-7967f44db6-b96pq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7967f44db6-b96pq,istio-proxy,4,94
default,memcached-reserve-us-west-1-7967f44db6-n94xk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7967f44db6-n94xk,istio-proxy,4,92
default,mongodb-geo-us-central-1-558b7db8bf-gmmrc,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-558b7db8bf-gmmrc,istio-proxy,4,94
default,mongodb-geo-us-east-1-68fbfb447b-z285l,hotel-reserv-geo-mongo,6,161
default,mongodb-geo-us-east-1-68fbfb447b-z285l,istio-proxy,7,94
default,mongodb-geo-us-south-1-686b5fcfc6-5jc7c,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-686b5fcfc6-5jc7c,istio-proxy,3,91
default,mongodb-geo-us-west-1-bf766f4b4-2wcw7,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-bf766f4b4-2wcw7,istio-proxy,4,89
default,mongodb-profile-us-central-1-75dc955f69-qcxp4,hotel-reserv-profile-mongo,24,162
default,mongodb-profile-us-central-1-75dc955f69-qcxp4,istio-proxy,23,91
default,mongodb-profile-us-east-1-79f846495-q7nnz,hotel-reserv-profile-mongo,5,161
default,mongodb-profile-us-east-1-79f846495-q7nnz,istio-proxy,67,93
default,mongodb-profile-us-south-1-867c64b565-vxxrk,hotel-reserv-profile-mongo,24,163
default,mongodb-profile-us-south-1-867c64b565-vxxrk,istio-proxy,30,91
default,mongodb-profile-us-west-1-b4c785959-69b95,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-west-1-b4c785959-69b95,istio-proxy,56,92
default,mongodb-rate-us-central-1-866798fbcf-6n64l,hotel-reserv-rate-mongo,59,162
default,mongodb-rate-us-central-1-866798fbcf-6n64l,istio-proxy,15,92
default,mongodb-rate-us-east-1-6cf5b8b5d7-bdbhk,hotel-reserv-rate-mongo,6,163
default,mongodb-rate-us-east-1-6cf5b8b5d7-bdbhk,istio-proxy,7,92
default,mongodb-rate-us-south-1-58cbbf9987-blmf4,hotel-reserv-rate-mongo,26,159
default,mongodb-rate-us-south-1-58cbbf9987-blmf4,istio-proxy,7,93
default,mongodb-rate-us-west-1-bd8bdb947-6989q,hotel-reserv-rate-mongo,431,163
default,mongodb-rate-us-west-1-bd8bdb947-6989q,istio-proxy,15,90
default,mongodb-recommendation-us-central-1-777d6f8994-vznvn,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-777d6f8994-vznvn,istio-proxy,4,93
default,mongodb-recommendation-us-east-1-6dbdd6b6cc-xpxfr,hotel-reserv-recommendation-mongo,7,161
default,mongodb-recommendation-us-east-1-6dbdd6b6cc-xpxfr,istio-proxy,7,91
default,mongodb-recommendation-us-south-1-6c8df6bdc-r72nv,hotel-reserv-recommendation-mongo,3,157
default,mongodb-recommendation-us-south-1-6c8df6bdc-r72nv,istio-proxy,4,92
default,mongodb-recommendation-us-west-1-9c46bc977-6gnzc,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-west-1-9c46bc977-6gnzc,istio-proxy,5,93
default,mongodb-reservation-us-central-1-8cf494d98-l8nxb,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-central-1-8cf494d98-l8nxb,istio-proxy,5,94
default,mongodb-reservation-us-east-1-796c9cd89d-bvppc,hotel-reserv-reservation-mongo,7,157
default,mongodb-reservation-us-east-1-796c9cd89d-bvppc,istio-proxy,7,91
default,mongodb-reservation-us-south-1-5cdd45cbc8-lh4lt,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-south-1-5cdd45cbc8-lh4lt,istio-proxy,4,93
default,mongodb-reservation-us-west-1-cbb47f9c4-8mrpj,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-west-1-cbb47f9c4-8mrpj,istio-proxy,5,93
default,mongodb-user-us-central-1-7ff9d7d9b8-wj688,hotel-reserv-user-mongo,3,191
default,mongodb-user-us-central-1-7ff9d7d9b8-wj688,istio-proxy,5,93
default,mongodb-user-us-east-1-68569bfb7d-bvkpg,hotel-reserv-user-mongo,6,159
default,mongodb-user-us-east-1-68569bfb7d-bvkpg,istio-proxy,7,92
default,mongodb-user-us-south-1-5c98b85ddb-cvrcf,hotel-reserv-user-mongo,4,188
default,mongodb-user-us-south-1-5c98b85ddb-cvrcf,istio-proxy,8,93
default,mongodb-user-us-west-1-55db97478-vrr4h,hotel-reserv-user-mongo,4,161
default,mongodb-user-us-west-1-55db97478-vrr4h,istio-proxy,4,93
default,profile-us-central-1-749b7ccdcc-42gkg,hotel-reserv-profile,20,8
default,profile-us-central-1-749b7ccdcc-42gkg,istio-proxy,104,92
default,profile-us-central-1-749b7ccdcc-pzrx9,hotel-reserv-profile,61,8
