Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6d58549ddc-fnjw4,consul,10,34
default,consul-6d58549ddc-fnjw4,istio-proxy,3,94
default,frontend-us-central-1-68bb8cd87d-78j6k,hotel-reserv-frontend,252,8
default,frontend-us-central-1-68bb8cd87d-78j6k,istio-proxy,612,95
default,frontend-us-central-1-68bb8cd87d-tljrt,hotel-reserv-frontend,259,8
default,frontend-us-central-1-68bb8cd87d-tljrt,istio-proxy,614,95
default,frontend-us-east-1-745fb6994b-6f42q,hotel-reserv-frontend,436,8
default,frontend-us-east-1-745fb6994b-6f42q,istio-proxy,1060,96
default,frontend-us-east-1-745fb6994b-j4b44,hotel-reserv-frontend,439,8
default,frontend-us-east-1-745fb6994b-j4b44,istio-proxy,1026,95
default,frontend-us-south-1-759c9d5bcd-ndk6h,hotel-reserv-frontend,249,8
default,frontend-us-south-1-759c9d5bcd-ndk6h,istio-proxy,595,96
default,frontend-us-south-1-759c9d5bcd-qwk4k,hotel-reserv-frontend,165,8
default,frontend-us-south-1-759c9d5bcd-qwk4k,istio-proxy,607,94
default,frontend-us-west-1-b665cbf5f-92pn9,hotel-reserv-frontend,642,15
default,frontend-us-west-1-b665cbf5f-92pn9,istio-proxy,1393,108
default,frontend-us-west-1-b665cbf5f-kbsjl,hotel-reserv-frontend,599,15
default,frontend-us-west-1-b665cbf5f-kbsjl,istio-proxy,1668,114
default,geo-us-central-1-54447c65c4-pjvw8,hotel-reserv-geo,50,8
default,geo-us-central-1-54447c65c4-pjvw8,istio-proxy,36,91
default,geo-us-central-1-54447c65c4-wnwlp,hotel-reserv-geo,44,8
default,geo-us-central-1-54447c65c4-wnwlp,istio-proxy,93,92
default,geo-us-east-1-bc5f787b4-7k9zw,hotel-reserv-geo,71,8
default,geo-us-east-1-bc5f787b4-7k9zw,istio-proxy,137,95
default,geo-us-east-1-bc5f787b4-rkh2l,hotel-reserv-geo,70,8
default,geo-us-east-1-bc5f787b4-rkh2l,istio-proxy,138,93
default,geo-us-south-1-7b5ff654b6-n49rx,hotel-reserv-geo,45,7
default,geo-us-south-1-7b5ff654b6-n49rx,istio-proxy,77,91
default,geo-us-south-1-7b5ff654b6-nqp7f,hotel-reserv-geo,45,7
default,geo-us-south-1-7b5ff654b6-nqp7f,istio-proxy,76,92
default,geo-us-west-1-b75678b8d-ntfms,hotel-reserv-geo,65,9
default,geo-us-west-1-b75678b8d-ntfms,istio-proxy,139,92
default,geo-us-west-1-b75678b8d-wqw4w,hotel-reserv-geo,62,8
default,geo-us-west-1-b75678b8d-wqw4w,istio-proxy,121,93
default,jaeger-7c46d64f5-l9rmv,hotel-reserv-jaeger,275,173
default,jaeger-7c46d64f5-l9rmv,istio-proxy,4,93
default,memcached-profile-us-central-1-f8f58756d-8jtnh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-8jtnh,istio-proxy,4,91
default,memcached-profile-us-central-1-f8f58756d-srh59,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-srh59,istio-proxy,4,91
default,memcached-profile-us-east-1-55545999d-gk2f4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-gk2f4,istio-proxy,7,95
default,memcached-profile-us-east-1-55545999d-ljs8b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-ljs8b,istio-proxy,7,92
default,memcached-profile-us-south-1-78c676d96-6zh9s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-6zh9s,istio-proxy,4,91
default,memcached-profile-us-south-1-78c676d96-j485x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-j485x,istio-proxy,3,93
default,memcached-profile-us-west-1-69768cbff4-gwt69,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-gwt69,istio-proxy,5,95
default,memcached-profile-us-west-1-69768cbff4-nnwzs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-nnwzs,istio-proxy,5,92
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,istio-proxy,5,93
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,istio-proxy,4,92
default,memcached-rate-us-east-1-7f87b455bf-f299m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-f299m,istio-proxy,7,91
default,memcached-rate-us-east-1-7f87b455bf-rk94s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-rk94s,istio-proxy,7,92
default,memcached-rate-us-south-1-5784745bf9-4dslf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5784745bf9-4dslf,istio-proxy,4,92
default,memcached-rate-us-south-1-5784745bf9-hfkh7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5784745bf9-hfkh7,istio-proxy,4,91
default,memcached-rate-us-west-1-66c98554bf-c9fxb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66c98554bf-c9fxb,istio-proxy,4,90
default,memcached-rate-us-west-1-66c98554bf-rdgkg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-66c98554bf-rdgkg,istio-proxy,4,92
default,memcached-reserve-us-central-1-6c8c67d79-4fhgp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c8c67d79-4fhgp,istio-proxy,4,93
default,memcached-reserve-us-central-1-6c8c67d79-6tgcj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6c8c67d79-6tgcj,istio-proxy,4,92
default,memcached-reserve-us-east-1-6bf8d698c8-rnt7n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6bf8d698c8-rnt7n,istio-proxy,7,91
default,memcached-reserve-us-east-1-6bf8d698c8-whm9w,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6bf8d698c8-whm9w,istio-proxy,7,91
default,memcached-reserve-us-south-1-6bcb8d48bb-b8vxw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6bcb8d48bb-b8vxw,istio-proxy,4,92
default,memcached-reserve-us-south-1-6bcb8d48bb-lx9sr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6bcb8d48bb-lx9sr,istio-proxy,3,94
default,memcached-reserve-us-west-1-7967f44db6-b96pq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7967f44db6-b96pq,istio-proxy,5,94
default,memcached-reserve-us-west-1-7967f44db6-n94xk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7967f44db6-n94xk,istio-proxy,5,92
default,mongodb-geo-us-central-1-558b7db8bf-gmmrc,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-558b7db8bf-gmmrc,istio-proxy,4,94
default,mongodb-geo-us-east-1-68fbfb447b-z285l,hotel-reserv-geo-mongo,8,161
default,mongodb-geo-us-east-1-68fbfb447b-z285l,istio-proxy,8,94
default,mongodb-geo-us-south-1-686b5fcfc6-5jc7c,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-686b5fcfc6-5jc7c,istio-proxy,4,91
default,mongodb-geo-us-west-1-bf766f4b4-2wcw7,hotel-reserv-geo-mongo,4,161
