Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6d58549ddc-fnjw4,consul,13,34
default,consul-6d58549ddc-fnjw4,istio-proxy,5,94
default,frontend-us-central-1-68bb8cd87d-78j6k,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68bb8cd87d-78j6k,istio-proxy,5,92
default,frontend-us-central-1-68bb8cd87d-tljrt,hotel-reserv-frontend,0,4
default,frontend-us-central-1-68bb8cd87d-tljrt,istio-proxy,6,93
default,frontend-us-east-1-745fb6994b-6f42q,hotel-reserv-frontend,0,4
default,frontend-us-east-1-745fb6994b-6f42q,istio-proxy,9,92
default,frontend-us-east-1-745fb6994b-j4b44,hotel-reserv-frontend,0,4
default,frontend-us-east-1-745fb6994b-j4b44,istio-proxy,9,93
default,frontend-us-south-1-759c9d5bcd-ndk6h,hotel-reserv-frontend,0,3
default,frontend-us-south-1-759c9d5bcd-ndk6h,istio-proxy,5,94
default,frontend-us-south-1-759c9d5bcd-qwk4k,hotel-reserv-frontend,0,4
default,frontend-us-south-1-759c9d5bcd-qwk4k,istio-proxy,5,90
default,frontend-us-west-1-b665cbf5f-92pn9,hotel-reserv-frontend,0,3
default,frontend-us-west-1-b665cbf5f-92pn9,istio-proxy,6,93
default,frontend-us-west-1-b665cbf5f-kbsjl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-b665cbf5f-kbsjl,istio-proxy,5,92
default,geo-us-central-1-54447c65c4-pjvw8,hotel-reserv-geo,0,6
default,geo-us-central-1-54447c65c4-pjvw8,istio-proxy,5,91
default,geo-us-central-1-54447c65c4-wnwlp,hotel-reserv-geo,0,6
default,geo-us-central-1-54447c65c4-wnwlp,istio-proxy,6,91
default,geo-us-east-1-bc5f787b4-7k9zw,hotel-reserv-geo,0,6
default,geo-us-east-1-bc5f787b4-7k9zw,istio-proxy,9,94
default,geo-us-east-1-bc5f787b4-rkh2l,hotel-reserv-geo,0,6
default,geo-us-east-1-bc5f787b4-rkh2l,istio-proxy,10,92
default,geo-us-south-1-7b5ff654b6-n49rx,hotel-reserv-geo,0,6
default,geo-us-south-1-7b5ff654b6-n49rx,istio-proxy,5,91
default,geo-us-south-1-7b5ff654b6-nqp7f,hotel-reserv-geo,0,6
default,geo-us-south-1-7b5ff654b6-nqp7f,istio-proxy,4,91
default,geo-us-west-1-b75678b8d-ntfms,hotel-reserv-geo,0,6
default,geo-us-west-1-b75678b8d-ntfms,istio-proxy,5,91
default,geo-us-west-1-b75678b8d-wqw4w,hotel-reserv-geo,0,6
default,geo-us-west-1-b75678b8d-wqw4w,istio-proxy,5,92
default,jaeger-7c46d64f5-l9rmv,hotel-reserv-jaeger,0,10
default,jaeger-7c46d64f5-l9rmv,istio-proxy,5,93
default,memcached-profile-us-central-1-f8f58756d-8jtnh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-8jtnh,istio-proxy,5,91
default,memcached-profile-us-central-1-f8f58756d-srh59,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f8f58756d-srh59,istio-proxy,5,91
default,memcached-profile-us-east-1-55545999d-gk2f4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-gk2f4,istio-proxy,9,95
default,memcached-profile-us-east-1-55545999d-ljs8b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-55545999d-ljs8b,istio-proxy,9,92
default,memcached-profile-us-south-1-78c676d96-6zh9s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-6zh9s,istio-proxy,6,91
default,memcached-profile-us-south-1-78c676d96-j485x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78c676d96-j485x,istio-proxy,5,93
default,memcached-profile-us-west-1-69768cbff4-gwt69,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-gwt69,istio-proxy,5,95
default,memcached-profile-us-west-1-69768cbff4-nnwzs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69768cbff4-nnwzs,istio-proxy,5,92
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-hmw69,istio-proxy,4,93
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5d8ff6d99f-k7t8k,istio-proxy,5,92
default,memcached-rate-us-east-1-7f87b455bf-f299m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-f299m,istio-proxy,9,91
default,memcached-rate-us-east-1-7f87b455bf-rk94s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7f87b455bf-rk94s,istio-proxy,9,92
