counter,region,service,endpoint,rps
1,us-west-1,search,search@POST@/search.Search/Nearby,454
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,536
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,510
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,450
1,us-west-1,slateingress,slateingress@POST@/user,418
1,us-west-1,slateingress,slateingress@GET@/recommendations,431
1,us-west-1,slateingress,slateingress@POST@/reservation,432
1,us-west-1,slateingress,slateingress@GET@/hotels,426
1,us-west-1,frontend,frontend@POST@/user,459
1,us-west-1,frontend,frontend@GET@/recommendations,460
1,us-west-1,frontend,frontend@POST@/reservation,446
1,us-west-1,frontend,frontend@GET@/hotels,448
1,us-west-1,user,user@POST@/user.User/CheckUser,908
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,941
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,470
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,456
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,104
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,201
1,us-east-1,user,user@POST@/user.User/CheckUser,211
1,us-east-1,slateingress,slateingress@POST@/user,110
1,us-east-1,slateingress,slateingress@GET@/recommendations,111
1,us-east-1,slateingress,slateingress@POST@/reservation,106
1,us-east-1,slateingress,slateingress@GET@/hotels,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,115
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,101
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-east-1,frontend,frontend@POST@/user,103
1,us-east-1,frontend,frontend@GET@/recommendations,107
1,us-east-1,frontend,frontend@POST@/reservation,108
1,us-east-1,frontend,frontend@GET@/hotels,102
1,us-east-1,search,search@POST@/search.Search/Nearby,113
1,us-central-1,search,search@POST@/search.Search/Nearby,112
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,96
