Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-86b9b46574-4scw8,consul,10,35
default,consul-86b9b46574-4scw8,istio-proxy,3,93
default,frontend-us-central-1-66c68c8c7b-2p4jv,hotel-reserv-frontend,78,8
default,frontend-us-central-1-66c68c8c7b-2p4jv,istio-proxy,175,93
default,frontend-us-central-1-66c68c8c7b-cts9g,hotel-reserv-frontend,50,8
default,frontend-us-central-1-66c68c8c7b-cts9g,istio-proxy,298,94
default,frontend-us-east-1-6f44bcfc8d-6rsz4,hotel-reserv-frontend,54,7
default,frontend-us-east-1-6f44bcfc8d-6rsz4,istio-proxy,4,93
default,frontend-us-east-1-6f44bcfc8d-d4958,hotel-reserv-frontend,47,7
default,frontend-us-east-1-6f44bcfc8d-d4958,istio-proxy,4,91
default,frontend-us-south-1-6bfd899bcb-6jpsz,hotel-reserv-frontend,73,8
default,frontend-us-south-1-6bfd899bcb-6jpsz,istio-proxy,4,94
default,frontend-us-south-1-6bfd899bcb-gfml6,hotel-reserv-frontend,65,7
default,frontend-us-south-1-6bfd899bcb-gfml6,istio-proxy,193,97
default,frontend-us-west-1-74858bfd76-2r4z5,hotel-reserv-frontend,125,14
default,frontend-us-west-1-74858bfd76-2r4z5,istio-proxy,607,110
default,frontend-us-west-1-74858bfd76-mh5kc,hotel-reserv-frontend,352,15
default,frontend-us-west-1-74858bfd76-mh5kc,istio-proxy,1027,112
default,geo-us-central-1-779575d59b-8sxgn,hotel-reserv-geo,8,7
default,geo-us-central-1-779575d59b-8sxgn,istio-proxy,8,92
default,geo-us-central-1-779575d59b-ljh99,hotel-reserv-geo,14,8
default,geo-us-central-1-779575d59b-ljh99,istio-proxy,5,94
default,geo-us-east-1-564dd95dc4-kptkx,hotel-reserv-geo,1,7
default,geo-us-east-1-564dd95dc4-kptkx,istio-proxy,21,94
default,geo-us-east-1-564dd95dc4-qjts5,hotel-reserv-geo,8,8
default,geo-us-east-1-564dd95dc4-qjts5,istio-proxy,3,93
default,geo-us-south-1-6b975b779b-lksk7,hotel-reserv-geo,5,7
default,geo-us-south-1-6b975b779b-lksk7,istio-proxy,9,91
default,geo-us-south-1-6b975b779b-nrrkq,hotel-reserv-geo,10,7
default,geo-us-south-1-6b975b779b-nrrkq,istio-proxy,5,91
default,geo-us-west-1-dc867768b-6xxhf,hotel-reserv-geo,0,7
default,geo-us-west-1-dc867768b-6xxhf,istio-proxy,77,93
default,geo-us-west-1-dc867768b-7p7nq,hotel-reserv-geo,75,9
default,geo-us-west-1-dc867768b-7p7nq,istio-proxy,3,90
default,jaeger-7b5654bbd9-p4crw,hotel-reserv-jaeger,151,76
default,jaeger-7b5654bbd9-p4crw,istio-proxy,3,93
default,memcached-profile-us-central-1-d8f595c4-54hgk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d8f595c4-54hgk,istio-proxy,4,94
default,memcached-profile-us-central-1-d8f595c4-sktt8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d8f595c4-sktt8,istio-proxy,4,91
default,memcached-profile-us-east-1-69bb8bfd7b-jxz6l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-69bb8bfd7b-jxz6l,istio-proxy,4,93
default,memcached-profile-us-east-1-69bb8bfd7b-xp9vv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-69bb8bfd7b-xp9vv,istio-proxy,4,90
default,memcached-profile-us-south-1-7b88bcb4d6-7qxdm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b88bcb4d6-7qxdm,istio-proxy,3,93
default,memcached-profile-us-south-1-7b88bcb4d6-hrh58,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b88bcb4d6-hrh58,istio-proxy,4,94
default,memcached-profile-us-west-1-7476f6787c-bb5k7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7476f6787c-bb5k7,istio-proxy,4,92
default,memcached-profile-us-west-1-7476f6787c-vphj9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7476f6787c-vphj9,istio-proxy,3,93
default,memcached-rate-us-central-1-665b4445fc-9qqzf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-665b4445fc-9qqzf,istio-proxy,4,95
default,memcached-rate-us-central-1-665b4445fc-jtvn6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-665b4445fc-jtvn6,istio-proxy,4,91
default,memcached-rate-us-east-1-5f5cdfd7-gtnpx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5f5cdfd7-gtnpx,istio-proxy,4,92
default,memcached-rate-us-east-1-5f5cdfd7-q8q62,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5f5cdfd7-q8q62,istio-proxy,4,92
default,memcached-rate-us-south-1-889db945c-sd6xh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-889db945c-sd6xh,istio-proxy,4,92
default,memcached-rate-us-south-1-889db945c-z2px7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-889db945c-z2px7,istio-proxy,4,91
default,memcached-rate-us-west-1-5f5d5cbdd7-kp24g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5f5d5cbdd7-kp24g,istio-proxy,4,93
default,memcached-rate-us-west-1-5f5d5cbdd7-wrxc7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-5f5d5cbdd7-wrxc7,istio-proxy,4,92
default,memcached-reserve-us-central-1-ccfb787f9-crf6h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-ccfb787f9-crf6h,istio-proxy,3,91
default,memcached-reserve-us-central-1-ccfb787f9-kjmp2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-ccfb787f9-kjmp2,istio-proxy,4,92
default,memcached-reserve-us-east-1-8696f9dcfc-wv6js,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8696f9dcfc-wv6js,istio-proxy,3,91
default,memcached-reserve-us-east-1-8696f9dcfc-zqhrc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8696f9dcfc-zqhrc,istio-proxy,4,90
default,memcached-reserve-us-south-1-cc78d59-2wls6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cc78d59-2wls6,istio-proxy,4,91
default,memcached-reserve-us-south-1-cc78d59-zjpwj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cc78d59-zjpwj,istio-proxy,4,93
default,memcached-reserve-us-west-1-85568db645-dftrr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-85568db645-dftrr,istio-proxy,5,93
default,memcached-reserve-us-west-1-85568db645-kmjh6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-85568db645-kmjh6,istio-proxy,3,92
default,mongodb-geo-us-central-1-56f5988559-h66kq,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-56f5988559-h66kq,istio-proxy,4,92
