Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-86b9b46574-4scw8,consul,11,36
default,consul-86b9b46574-4scw8,istio-proxy,3,93
default,frontend-us-central-1-66c68c8c7b-2p4jv,hotel-reserv-frontend,195,8
default,frontend-us-central-1-66c68c8c7b-2p4jv,istio-proxy,475,93
default,frontend-us-central-1-66c68c8c7b-cts9g,hotel-reserv-frontend,197,8
default,frontend-us-central-1-66c68c8c7b-cts9g,istio-proxy,477,95
default,frontend-us-east-1-6f44bcfc8d-6rsz4,hotel-reserv-frontend,196,8
default,frontend-us-east-1-6f44bcfc8d-6rsz4,istio-proxy,488,95
default,frontend-us-east-1-6f44bcfc8d-d4958,hotel-reserv-frontend,197,8
default,frontend-us-east-1-6f44bcfc8d-d4958,istio-proxy,460,93
default,frontend-us-south-1-6bfd899bcb-6jpsz,hotel-reserv-frontend,194,8
default,frontend-us-south-1-6bfd899bcb-6jpsz,istio-proxy,494,96
default,frontend-us-south-1-6bfd899bcb-gfml6,hotel-reserv-frontend,199,8
default,frontend-us-south-1-6bfd899bcb-gfml6,istio-proxy,478,98
default,frontend-us-west-1-74858bfd76-2r4z5,hotel-reserv-frontend,576,16
default,frontend-us-west-1-74858bfd76-2r4z5,istio-proxy,1853,113
default,frontend-us-west-1-74858bfd76-mh5kc,hotel-reserv-frontend,707,15
default,frontend-us-west-1-74858bfd76-mh5kc,istio-proxy,1027,112
default,geo-us-central-1-779575d59b-8sxgn,hotel-reserv-geo,27,8
default,geo-us-central-1-779575d59b-8sxgn,istio-proxy,52,92
default,geo-us-central-1-779575d59b-ljh99,hotel-reserv-geo,28,8
default,geo-us-central-1-779575d59b-ljh99,istio-proxy,58,94
default,geo-us-east-1-564dd95dc4-kptkx,hotel-reserv-geo,28,8
default,geo-us-east-1-564dd95dc4-kptkx,istio-proxy,51,94
default,geo-us-east-1-564dd95dc4-qjts5,hotel-reserv-geo,27,8
default,geo-us-east-1-564dd95dc4-qjts5,istio-proxy,41,93
default,geo-us-south-1-6b975b779b-lksk7,hotel-reserv-geo,29,8
