Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6bc65d97c-q74jj,consul,11,35
default,consul-6bc65d97c-q74jj,istio-proxy,5,94
default,frontend-us-central-1-7b5794dc6f-9dlfb,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7b5794dc6f-9dlfb,istio-proxy,6,91
default,frontend-us-central-1-7b5794dc6f-st2ff,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7b5794dc6f-st2ff,istio-proxy,4,92
default,frontend-us-east-1-6d79c9b695-qnzw5,hotel-reserv-frontend,0,4
default,frontend-us-east-1-6d79c9b695-qnzw5,istio-proxy,6,92
default,frontend-us-east-1-6d79c9b695-r545p,hotel-reserv-frontend,0,4
default,frontend-us-east-1-6d79c9b695-r545p,istio-proxy,4,94
default,frontend-us-south-1-66f5779649-55dnp,hotel-reserv-frontend,0,4
default,frontend-us-south-1-66f5779649-55dnp,istio-proxy,4,92
default,frontend-us-south-1-66f5779649-bfthj,hotel-reserv-frontend,0,4
default,frontend-us-south-1-66f5779649-bfthj,istio-proxy,6,94
default,frontend-us-west-1-b4b66fdc5-frt22,hotel-reserv-frontend,0,21
default,frontend-us-west-1-b4b66fdc5-frt22,istio-proxy,6,132
default,frontend-us-west-1-b4b66fdc5-ghmgs,hotel-reserv-frontend,0,11
default,frontend-us-west-1-b4b66fdc5-ghmgs,istio-proxy,4,104
default,geo-us-central-1-6f858659-4dzvl,hotel-reserv-geo,0,6
default,geo-us-central-1-6f858659-4dzvl,istio-proxy,6,92
default,geo-us-central-1-6f858659-s6k5m,hotel-reserv-geo,0,6
default,geo-us-central-1-6f858659-s6k5m,istio-proxy,6,91
default,geo-us-east-1-6c5fd476d7-jqhf4,hotel-reserv-geo,0,6
default,geo-us-east-1-6c5fd476d7-jqhf4,istio-proxy,5,91
default,geo-us-east-1-6c5fd476d7-qx9q2,hotel-reserv-geo,0,6
default,geo-us-east-1-6c5fd476d7-qx9q2,istio-proxy,6,92
default,geo-us-south-1-776f5c75d4-l88tb,hotel-reserv-geo,0,6
default,geo-us-south-1-776f5c75d4-l88tb,istio-proxy,6,93
default,geo-us-south-1-776f5c75d4-nq5hc,hotel-reserv-geo,0,6
default,geo-us-south-1-776f5c75d4-nq5hc,istio-proxy,4,92
default,geo-us-west-1-5f65579ccd-8rrjn,hotel-reserv-geo,0,6
default,geo-us-west-1-5f65579ccd-8rrjn,istio-proxy,7,92
default,geo-us-west-1-5f65579ccd-jh7px,hotel-reserv-geo,0,6
default,geo-us-west-1-5f65579ccd-jh7px,istio-proxy,6,92
default,jaeger-767f858d7d-pdlnj,hotel-reserv-jaeger,0,13
