Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-57f64cc5f6-fg8k4,consul,10,34
default,consul-57f64cc5f6-fg8k4,istio-proxy,3,95
default,frontend-us-central-1-cd48c8bff-ppcb4,hotel-reserv-frontend,117,15
default,frontend-us-central-1-cd48c8bff-ppcb4,istio-proxy,306,107
default,frontend-us-central-1-cd48c8bff-xhgdd,hotel-reserv-frontend,112,7
default,frontend-us-central-1-cd48c8bff-xhgdd,istio-proxy,358,95
default,frontend-us-east-1-74cd757dd5-grwwg,hotel-reserv-frontend,116,8
default,frontend-us-east-1-74cd757dd5-grwwg,istio-proxy,257,95
default,frontend-us-east-1-74cd757dd5-s2cg5,hotel-reserv-frontend,212,8
default,frontend-us-east-1-74cd757dd5-s2cg5,istio-proxy,427,92
default,frontend-us-south-1-6997958d95-rstjm,hotel-reserv-frontend,141,8
default,frontend-us-south-1-6997958d95-rstjm,istio-proxy,208,96
default,frontend-us-south-1-6997958d95-xvgfq,hotel-reserv-frontend,159,8
default,frontend-us-south-1-6997958d95-xvgfq,istio-proxy,148,92
default,frontend-us-west-1-5d69c8b749-hcsd9,hotel-reserv-frontend,216,34
default,frontend-us-west-1-5d69c8b749-hcsd9,istio-proxy,1637,146
default,frontend-us-west-1-5d69c8b749-wsp2x,hotel-reserv-frontend,217,35
default,frontend-us-west-1-5d69c8b749-wsp2x,istio-proxy,1758,142
default,geo-us-central-1-54f6476f88-59nvm,hotel-reserv-geo,23,8
default,geo-us-central-1-54f6476f88-59nvm,istio-proxy,42,93
default,geo-us-central-1-54f6476f88-fh5s9,hotel-reserv-geo,29,12
default,geo-us-central-1-54f6476f88-fh5s9,istio-proxy,8,92
default,geo-us-east-1-7465d6c6c8-f42gg,hotel-reserv-geo,21,8
default,geo-us-east-1-7465d6c6c8-f42gg,istio-proxy,10,95
default,geo-us-east-1-7465d6c6c8-snznk,hotel-reserv-geo,15,8
default,geo-us-east-1-7465d6c6c8-snznk,istio-proxy,33,93
default,geo-us-south-1-7448b76cf6-cx8hf,hotel-reserv-geo,21,8
