svc_name, endpoint, coef
frontend,frontend@POST@/user,{'frontend@POST@/user': 3.306688990982304e-06, 'intercept': 1.8082754783961288}
frontend,frontend@GET@/recommendations,{'frontend@GET@/recommendations': 1.4834491375367796e-05, 'intercept': 4.047917950288855}
frontend,frontend@POST@/reservation,{'frontend@POST@/reservation': 2.507619582762573e-05, 'intercept': 2.84509675458399}
frontend,frontend@GET@/hotels,{'frontend@GET@/hotels': 0.0003861641048173, 'intercept': 1}
user,user@POST@/user.User/CheckUser,{'user@POST@/user.User/CheckUser': 1.6834115704684491e-06, 'intercept': 0.993534455025805}
slateingress,slateingress@POST@/user,{'slateingress@POST@/user': 1.7818569001781331e-06, 'intercept': 2.025030623276551}
slateingress,slateingress@GET@/recommendations,{'slateingress@GET@/recommendations': 4.438807855795219e-06, 'intercept': 2.3197897028623298}
slateingress,slateingress@POST@/reservation,{'slateingress@POST@/reservation': 3.907250126115103e-06, 'intercept': 2.4541986958310247}
slateingress,slateingress@GET@/hotels,{'slateingress@GET@/hotels': 4.9089291960020325e-05, 'intercept': 1.0241504286169645}
profile,profile@POST@/profile.Profile/GetProfiles,{'profile@POST@/profile.Profile/GetProfiles': 2.2964457385481444e-05, 'intercept': 0.1905345504505349}
recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,{'recommendation@POST@/recommendation.Recommendation/GetRecommendations': 1.1145946213735514e-06, 'intercept': 1.0084598172667738}
reservation,reservation@POST@/reservation.Reservation/MakeReservation,{'reservation@POST@/reservation.Reservation/MakeReservation': 9.785111600675196e-06, 'intercept': 6.336680613703558}
reservation,reservation@POST@/reservation.Reservation/CheckAvailability,{'reservation@POST@/reservation.Reservation/CheckAvailability': 9.609775050082814e-05, 'intercept': 3.265952311580302}
rate,rate@POST@/rate.Rate/GetRates,{'rate@POST@/rate.Rate/GetRates': 5.587755363434411e-05, 'intercept': 0.6732968057523613}
search,search@POST@/search.Search/Nearby,{'search@POST@/search.Search/Nearby': 0.0001642644619778, 'intercept': 1}
geo,geo@POST@/geo.Geo/Nearby,{'geo@POST@/geo.Geo/Nearby': 1.4091020939250054e-05, 'intercept': 0.4546440550179615}
