counter,region,service,endpoint,rps
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,21
1,us-south-1,slateingress,slateingress@GET@/hotels,47
1,us-south-1,slateingress,slateingress@POST@/user,91
1,us-south-1,slateingress,slateingress@GET@/recommendations,85
1,us-south-1,slateingress,slateingress@POST@/reservation,72
1,us-south-1,user,user@POST@/user.User/CheckUser,150
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,28
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,34
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,55
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,30
1,us-south-1,search,search@POST@/search.Search/Nearby,50
1,us-south-1,frontend,frontend@GET@/recommendations,112
1,us-south-1,frontend,frontend@POST@/reservation,115
1,us-south-1,frontend,frontend@POST@/user,106
1,us-south-1,frontend,frontend@GET@/hotels,99
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,58
1,us-central-1,search,search@POST@/search.Search/Nearby,104
1,us-central-1,slateingress,slateingress@POST@/user,111
1,us-central-1,slateingress,slateingress@GET@/recommendations,109
1,us-central-1,slateingress,slateingress@POST@/reservation,113
1,us-central-1,slateingress,slateingress@GET@/hotels,115
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,93
1,us-central-1,user,user@POST@/user.User/CheckUser,174
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,210
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,113
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,119
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,96
1,us-central-1,frontend,frontend@POST@/user,109
1,us-central-1,frontend,frontend@GET@/hotels,112
1,us-central-1,frontend,frontend@GET@/recommendations,108
1,us-central-1,frontend,frontend@POST@/reservation,113
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,615
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,175
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,589
1,us-west-1,slateingress,slateingress@POST@/user,189
1,us-west-1,slateingress,slateingress@GET@/recommendations,174
1,us-west-1,slateingress,slateingress@POST@/reservation,453
1,us-west-1,slateingress,slateingress@GET@/hotels,657
1,us-west-1,frontend,frontend@GET@/recommendations,183
1,us-west-1,frontend,frontend@POST@/user,192
1,us-west-1,frontend,frontend@POST@/reservation,446
1,us-west-1,frontend,frontend@GET@/hotels,670
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,465
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,704
1,us-west-1,search,search@POST@/search.Search/Nearby,662
1,us-west-1,user,user@POST@/user.User/CheckUser,570
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,559
1,us-east-1,user,user@POST@/user.User/CheckUser,209
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-east-1,search,search@POST@/search.Search/Nearby,104
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,102
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,110
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,115
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,218
1,us-east-1,slateingress,slateingress@POST@/user,112
1,us-east-1,slateingress,slateingress@POST@/reservation,114
1,us-east-1,slateingress,slateingress@GET@/recommendations,110
1,us-east-1,slateingress,slateingress@GET@/hotels,113
1,us-east-1,frontend,frontend@POST@/reservation,119
1,us-east-1,frontend,frontend@POST@/user,108
1,us-east-1,frontend,frontend@GET@/recommendations,108
1,us-east-1,frontend,frontend@GET@/hotels,109
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,109
2,us-south-1,slateingress,slateingress@GET@/hotels,111
