Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6f9c5878d4-lp5r2,consul,12,35
default,consul-6f9c5878d4-lp5r2,istio-proxy,3,93
default,frontend-us-central-1-74b499bb95-fk7lf,hotel-reserv-frontend,215,9
default,frontend-us-central-1-74b499bb95-fk7lf,istio-proxy,650,94
default,frontend-us-central-1-74b499bb95-nd58q,hotel-reserv-frontend,107,8
default,frontend-us-central-1-74b499bb95-nd58q,istio-proxy,463,98
default,frontend-us-east-1-f554ccbd8-4k7hn,hotel-reserv-frontend,105,8
default,frontend-us-east-1-f554ccbd8-4k7hn,istio-proxy,287,98
default,frontend-us-east-1-f554ccbd8-vcxg6,hotel-reserv-frontend,101,8
default,frontend-us-east-1-f554ccbd8-vcxg6,istio-proxy,180,95
default,frontend-us-south-1-5d5c86f9b-p8v9c,hotel-reserv-frontend,75,8
default,frontend-us-south-1-5d5c86f9b-p8v9c,istio-proxy,297,96
default,frontend-us-south-1-5d5c86f9b-r9hxn,hotel-reserv-frontend,97,8
default,frontend-us-south-1-5d5c86f9b-r9hxn,istio-proxy,542,95
default,frontend-us-west-1-86cbb75679-44b7h,hotel-reserv-frontend,86,30
default,frontend-us-west-1-86cbb75679-44b7h,istio-proxy,242,147
default,frontend-us-west-1-86cbb75679-vqfg7,hotel-reserv-frontend,64,56
default,frontend-us-west-1-86cbb75679-vqfg7,istio-proxy,44,233
default,geo-us-central-1-7b4bf66cdb-7hgw8,hotel-reserv-geo,23,8
default,geo-us-central-1-7b4bf66cdb-7hgw8,istio-proxy,74,93
default,geo-us-central-1-7b4bf66cdb-b26df,hotel-reserv-geo,20,8
default,geo-us-central-1-7b4bf66cdb-b26df,istio-proxy,85,94
default,geo-us-east-1-5d4679cf77-sk8hx,hotel-reserv-geo,20,8
default,geo-us-east-1-5d4679cf77-sk8hx,istio-proxy,77,92
default,geo-us-east-1-5d4679cf77-vf4pz,hotel-reserv-geo,27,8
default,geo-us-east-1-5d4679cf77-vf4pz,istio-proxy,31,95
default,geo-us-south-1-65f56c9cc7-f9v69,hotel-reserv-geo,17,8
default,geo-us-south-1-65f56c9cc7-f9v69,istio-proxy,87,92
default,geo-us-south-1-65f56c9cc7-zjfzf,hotel-reserv-geo,34,8
default,geo-us-south-1-65f56c9cc7-zjfzf,istio-proxy,25,93
default,geo-us-west-1-5745c9fdd4-2g765,hotel-reserv-geo,9,9
default,geo-us-west-1-5745c9fdd4-2g765,istio-proxy,21,93
default,geo-us-west-1-5745c9fdd4-d8nm8,hotel-reserv-geo,6,9
default,geo-us-west-1-5745c9fdd4-d8nm8,istio-proxy,38,90
default,jaeger-7fd87db8d9-klqf8,hotel-reserv-jaeger,174,214
default,jaeger-7fd87db8d9-klqf8,istio-proxy,3,93
default,memcached-profile-us-central-1-76568b8575-kdr76,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-76568b8575-kdr76,istio-proxy,4,91
default,memcached-profile-us-central-1-76568b8575-kz2n5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-76568b8575-kz2n5,istio-proxy,3,94
