Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6f9c5878d4-lp5r2,consul,11,34
default,consul-6f9c5878d4-lp5r2,istio-proxy,8,93
default,frontend-us-central-1-74b499bb95-fk7lf,hotel-reserv-frontend,0,4
default,frontend-us-central-1-74b499bb95-fk7lf,istio-proxy,9,91
default,frontend-us-central-1-74b499bb95-nd58q,hotel-reserv-frontend,0,4
default,frontend-us-central-1-74b499bb95-nd58q,istio-proxy,8,96
default,frontend-us-east-1-f554ccbd8-4k7hn,hotel-reserv-frontend,0,4
default,frontend-us-east-1-f554ccbd8-4k7hn,istio-proxy,7,94
default,frontend-us-east-1-f554ccbd8-vcxg6,hotel-reserv-frontend,0,3
default,frontend-us-east-1-f554ccbd8-vcxg6,istio-proxy,8,91
default,frontend-us-south-1-5d5c86f9b-p8v9c,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5d5c86f9b-p8v9c,istio-proxy,8,93
default,frontend-us-south-1-5d5c86f9b-r9hxn,hotel-reserv-frontend,0,3
default,frontend-us-south-1-5d5c86f9b-r9hxn,istio-proxy,7,92
default,frontend-us-west-1-86cbb75679-44b7h,hotel-reserv-frontend,0,7
default,frontend-us-west-1-86cbb75679-44b7h,istio-proxy,7,94
default,frontend-us-west-1-86cbb75679-vqfg7,hotel-reserv-frontend,0,9
default,frontend-us-west-1-86cbb75679-vqfg7,istio-proxy,7,101
default,geo-us-central-1-7b4bf66cdb-7hgw8,hotel-reserv-geo,0,6
default,geo-us-central-1-7b4bf66cdb-7hgw8,istio-proxy,7,92
default,geo-us-central-1-7b4bf66cdb-b26df,hotel-reserv-geo,0,6
default,geo-us-central-1-7b4bf66cdb-b26df,istio-proxy,7,94
default,geo-us-east-1-5d4679cf77-sk8hx,hotel-reserv-geo,0,6
default,geo-us-east-1-5d4679cf77-sk8hx,istio-proxy,7,92
default,geo-us-east-1-5d4679cf77-vf4pz,hotel-reserv-geo,0,6
default,geo-us-east-1-5d4679cf77-vf4pz,istio-proxy,7,94
default,geo-us-south-1-65f56c9cc7-f9v69,hotel-reserv-geo,0,6
default,geo-us-south-1-65f56c9cc7-f9v69,istio-proxy,10,91
default,geo-us-south-1-65f56c9cc7-zjfzf,hotel-reserv-geo,0,6
default,geo-us-south-1-65f56c9cc7-zjfzf,istio-proxy,10,92
default,geo-us-west-1-5745c9fdd4-2g765,hotel-reserv-geo,0,6
default,geo-us-west-1-5745c9fdd4-2g765,istio-proxy,7,93
default,geo-us-west-1-5745c9fdd4-d8nm8,hotel-reserv-geo,0,5
default,geo-us-west-1-5745c9fdd4-d8nm8,istio-proxy,8,90
default,jaeger-7fd87db8d9-klqf8,hotel-reserv-jaeger,0,10
default,jaeger-7fd87db8d9-klqf8,istio-proxy,5,94
default,memcached-profile-us-central-1-76568b8575-kdr76,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-76568b8575-kdr76,istio-proxy,7,91
default,memcached-profile-us-central-1-76568b8575-kz2n5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-76568b8575-kz2n5,istio-proxy,10,94
default,memcached-profile-us-east-1-5c664c678c-74x49,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5c664c678c-74x49,istio-proxy,6,92
default,memcached-profile-us-east-1-5c664c678c-xm7wd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5c664c678c-xm7wd,istio-proxy,7,91
default,memcached-profile-us-south-1-748f8797d4-44qmr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-748f8797d4-44qmr,istio-proxy,9,91
default,memcached-profile-us-south-1-748f8797d4-wqxdk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-748f8797d4-wqxdk,istio-proxy,6,93
default,memcached-profile-us-west-1-6949cd88f-cwq77,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6949cd88f-cwq77,istio-proxy,8,92
default,memcached-profile-us-west-1-6949cd88f-stph9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6949cd88f-stph9,istio-proxy,7,92
default,memcached-rate-us-central-1-7989cc4cb4-pn2sm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7989cc4cb4-pn2sm,istio-proxy,7,92
default,memcached-rate-us-central-1-7989cc4cb4-qwfsb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7989cc4cb4-qwfsb,istio-proxy,7,93
default,memcached-rate-us-east-1-9c7c84bb4-5jwmg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-9c7c84bb4-5jwmg,istio-proxy,7,91
default,memcached-rate-us-east-1-9c7c84bb4-hnpl7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-9c7c84bb4-hnpl7,istio-proxy,7,93
default,memcached-rate-us-south-1-6dbb5fbd64-944bd,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6dbb5fbd64-944bd,istio-proxy,8,91
default,memcached-rate-us-south-1-6dbb5fbd64-9nh8x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6dbb5fbd64-9nh8x,istio-proxy,10,91
default,memcached-rate-us-west-1-68b75cc468-mhn87,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68b75cc468-mhn87,istio-proxy,8,91
default,memcached-rate-us-west-1-68b75cc468-w8dkx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68b75cc468-w8dkx,istio-proxy,7,94
default,memcached-reserve-us-central-1-789866dff-snk6l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-789866dff-snk6l,istio-proxy,9,94
default,memcached-reserve-us-central-1-789866dff-zwctf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-789866dff-zwctf,istio-proxy,7,92
default,memcached-reserve-us-east-1-695fcdbdc7-k9xwj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-695fcdbdc7-k9xwj,istio-proxy,8,90
default,memcached-reserve-us-east-1-695fcdbdc7-pflrh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-695fcdbdc7-pflrh,istio-proxy,7,92
default,memcached-reserve-us-south-1-546d65b8dc-mlvgx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-546d65b8dc-mlvgx,istio-proxy,8,93
default,memcached-reserve-us-south-1-546d65b8dc-p2db8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-546d65b8dc-p2db8,istio-proxy,7,91
default,memcached-reserve-us-west-1-68f489c4df-kg282,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68f489c4df-kg282,istio-proxy,7,91
default,memcached-reserve-us-west-1-68f489c4df-vk79d,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68f489c4df-vk79d,istio-proxy,7,90
default,mongodb-geo-us-central-1-7584569998-9jcg6,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-7584569998-9jcg6,istio-proxy,7,93
default,mongodb-geo-us-east-1-7b5d76d77-bz6sk,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-7b5d76d77-bz6sk,istio-proxy,7,93
default,mongodb-geo-us-south-1-d5c47db7-vvtbf,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-d5c47db7-vvtbf,istio-proxy,8,93
default,mongodb-geo-us-west-1-57b57d4669-pxtsv,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-57b57d4669-pxtsv,istio-proxy,7,92
default,mongodb-profile-us-central-1-67f768bf49-tnxn2,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-central-1-67f768bf49-tnxn2,istio-proxy,7,91
default,mongodb-profile-us-east-1-7dff4dbdfd-hxqc9,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-east-1-7dff4dbdfd-hxqc9,istio-proxy,7,92
default,mongodb-profile-us-south-1-7fb49d6d6-8l8x9,hotel-reserv-profile-mongo,17,161
default,mongodb-profile-us-south-1-7fb49d6d6-8l8x9,istio-proxy,9,91
default,mongodb-profile-us-west-1-5b76967574-6pw5j,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-west-1-5b76967574-6pw5j,istio-proxy,8,91
default,mongodb-rate-us-central-1-67d999d44f-9vjzj,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-central-1-67d999d44f-9vjzj,istio-proxy,9,91
default,mongodb-rate-us-east-1-87dfbf7b6-m5l4w,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-east-1-87dfbf7b6-m5l4w,istio-proxy,7,91
default,mongodb-rate-us-south-1-777c87db5b-2m8fd,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-south-1-777c87db5b-2m8fd,istio-proxy,8,93
default,mongodb-rate-us-west-1-59b45489d-dzsbz,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-west-1-59b45489d-dzsbz,istio-proxy,9,93
default,mongodb-recommendation-us-central-1-84c7bb7d47-t7849,hotel-reserv-recommendation-mongo,25,157
default,mongodb-recommendation-us-central-1-84c7bb7d47-t7849,istio-proxy,8,94
