counter,region,service,endpoint,rps
1,us-central-1,slateingress,slateingress@POST@/user,106
1,us-central-1,slateingress,slateingress@GET@/recommendations,113
1,us-central-1,slateingress,slateingress@POST@/reservation,109
1,us-central-1,slateingress,slateingress@GET@/hotels,104
1,us-central-1,user,user@POST@/user.User/CheckUser,215
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,130
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,109
1,us-central-1,search,search@POST@/search.Search/Nearby,109
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
1,us-central-1,frontend,frontend@POST@/user,97
1,us-central-1,frontend,frontend@POST@/reservation,114
1,us-central-1,frontend,frontend@GET@/hotels,108
1,us-central-1,frontend,frontend@GET@/recommendations,109
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,203
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,180
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,619
1,us-west-1,slateingress,slateingress@POST@/user,227
1,us-west-1,slateingress,slateingress@GET@/recommendations,207
1,us-west-1,slateingress,slateingress@GET@/hotels,680
1,us-west-1,slateingress,slateingress@POST@/reservation,462
1,us-west-1,frontend,frontend@POST@/user,213
1,us-west-1,frontend,frontend@GET@/recommendations,191
1,us-west-1,frontend,frontend@POST@/reservation,472
1,us-west-1,frontend,frontend@GET@/hotels,682
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,632
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,819
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,870
1,us-west-1,user,user@POST@/user.User/CheckUser,676
1,us-west-1,search,search@POST@/search.Search/Nearby,688
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,625
1,us-east-1,frontend,frontend@POST@/user,106
1,us-east-1,frontend,frontend@GET@/recommendations,109
1,us-east-1,frontend,frontend@GET@/hotels,114
1,us-east-1,frontend,frontend@POST@/reservation,105
1,us-east-1,user,user@POST@/user.User/CheckUser,218
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
