Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64ff96698d-2jb9c,consul,10,33
default,consul-64ff96698d-2jb9c,istio-proxy,3,93
default,frontend-us-central-1-6d4c7dc95-5j85k,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6d4c7dc95-5j85k,istio-proxy,126,93
default,frontend-us-central-1-6d4c7dc95-j7rtd,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6d4c7dc95-j7rtd,istio-proxy,227,93
default,frontend-us-east-1-595bd75cbf-g85lb,hotel-reserv-frontend,73,7
default,frontend-us-east-1-595bd75cbf-g85lb,istio-proxy,6,92
default,frontend-us-east-1-595bd75cbf-h5gjn,hotel-reserv-frontend,0,4
default,frontend-us-east-1-595bd75cbf-h5gjn,istio-proxy,197,93
default,frontend-us-south-1-f9b968555-6hkml,hotel-reserv-frontend,0,3
default,frontend-us-south-1-f9b968555-6hkml,istio-proxy,3,91
default,frontend-us-south-1-f9b968555-9wgpw,hotel-reserv-frontend,44,8
default,frontend-us-south-1-f9b968555-9wgpw,istio-proxy,40,96
default,frontend-us-west-1-84c48b779c-gzszx,hotel-reserv-frontend,17,7
default,frontend-us-west-1-84c48b779c-gzszx,istio-proxy,6,90
default,frontend-us-west-1-84c48b779c-jqshg,hotel-reserv-frontend,0,4
default,frontend-us-west-1-84c48b779c-jqshg,istio-proxy,268,120
default,geo-us-central-1-75bf7c9cf7-q5fjt,hotel-reserv-geo,0,6
default,geo-us-central-1-75bf7c9cf7-q5fjt,istio-proxy,4,94
default,geo-us-central-1-75bf7c9cf7-vwjjk,hotel-reserv-geo,0,6
default,geo-us-central-1-75bf7c9cf7-vwjjk,istio-proxy,20,92
default,geo-us-east-1-65ddf585cc-7gb6w,hotel-reserv-geo,0,6
default,geo-us-east-1-65ddf585cc-7gb6w,istio-proxy,7,93
default,geo-us-east-1-65ddf585cc-gzpbr,hotel-reserv-geo,9,7
default,geo-us-east-1-65ddf585cc-gzpbr,istio-proxy,18,90
default,geo-us-south-1-56c6678fd9-dvgb9,hotel-reserv-geo,0,6
default,geo-us-south-1-56c6678fd9-dvgb9,istio-proxy,4,91
default,geo-us-south-1-56c6678fd9-jqdnx,hotel-reserv-geo,0,6
default,geo-us-south-1-56c6678fd9-jqdnx,istio-proxy,4,90
default,geo-us-west-1-d8ddb768f-s78w2,hotel-reserv-geo,0,6
default,geo-us-west-1-d8ddb768f-s78w2,istio-proxy,75,92
default,geo-us-west-1-d8ddb768f-zhcpx,hotel-reserv-geo,1,6
default,geo-us-west-1-d8ddb768f-zhcpx,istio-proxy,77,95
default,jaeger-5cc9497c4f-gz4t9,hotel-reserv-jaeger,15,24
default,jaeger-5cc9497c4f-gz4t9,istio-proxy,5,93
default,memcached-profile-us-central-1-6f4f6fb6f-bnwz2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4f6fb6f-bnwz2,istio-proxy,4,92
default,memcached-profile-us-central-1-6f4f6fb6f-d7hht,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4f6fb6f-d7hht,istio-proxy,3,95
default,memcached-profile-us-east-1-6c4bb8f477-msfv6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6c4bb8f477-msfv6,istio-proxy,4,94
default,memcached-profile-us-east-1-6c4bb8f477-wd5kz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6c4bb8f477-wd5kz,istio-proxy,4,93
default,memcached-profile-us-south-1-5cbb5c757-phdwv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5cbb5c757-phdwv,istio-proxy,4,92
default,memcached-profile-us-south-1-5cbb5c757-t2hvb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5cbb5c757-t2hvb,istio-proxy,4,91
default,memcached-profile-us-west-1-64b8668b8f-8ktdt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64b8668b8f-8ktdt,istio-proxy,4,92
default,memcached-profile-us-west-1-64b8668b8f-zmnff,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64b8668b8f-zmnff,istio-proxy,4,92
default,memcached-rate-us-central-1-5748d66c88-gnfg6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5748d66c88-gnfg6,istio-proxy,4,93
default,memcached-rate-us-central-1-5748d66c88-p89ns,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5748d66c88-p89ns,istio-proxy,5,94
default,memcached-rate-us-east-1-7d557f8588-7dwhp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7d557f8588-7dwhp,istio-proxy,4,91
default,memcached-rate-us-east-1-7d557f8588-w4t4s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7d557f8588-w4t4s,istio-proxy,4,93
default,memcached-rate-us-south-1-f7455d656-88wsx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-f7455d656-88wsx,istio-proxy,5,94
default,memcached-rate-us-south-1-f7455d656-ktmdl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-f7455d656-ktmdl,istio-proxy,4,92
default,memcached-rate-us-west-1-54dc98f89b-85ltt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-54dc98f89b-85ltt,istio-proxy,4,93
default,memcached-rate-us-west-1-54dc98f89b-wsc4f,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-54dc98f89b-wsc4f,istio-proxy,5,92
default,memcached-reserve-us-central-1-5b5cbc454f-ccjtc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5b5cbc454f-ccjtc,istio-proxy,6,91
default,memcached-reserve-us-central-1-5b5cbc454f-g8nk4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5b5cbc454f-g8nk4,istio-proxy,5,93
default,memcached-reserve-us-east-1-8644b79659-88mbf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8644b79659-88mbf,istio-proxy,3,92
default,memcached-reserve-us-east-1-8644b79659-df9sq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-8644b79659-df9sq,istio-proxy,4,92
default,memcached-reserve-us-south-1-86c4586bd9-fnl9v,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86c4586bd9-fnl9v,istio-proxy,5,91
default,memcached-reserve-us-south-1-86c4586bd9-lx85n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86c4586bd9-lx85n,istio-proxy,4,91
default,memcached-reserve-us-west-1-f4cb49d55-4dhpl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-f4cb49d55-4dhpl,istio-proxy,4,95
default,memcached-reserve-us-west-1-f4cb49d55-8k2qz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-f4cb49d55-8k2qz,istio-proxy,4,93
default,mongodb-geo-us-central-1-546b778987-5qhz9,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-546b778987-5qhz9,istio-proxy,4,93
default,mongodb-geo-us-east-1-76dcb6ff49-twtnz,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-76dcb6ff49-twtnz,istio-proxy,4,91
default,mongodb-geo-us-south-1-7df5b6df8c-nwdft,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-7df5b6df8c-nwdft,istio-proxy,4,91
default,mongodb-geo-us-west-1-58976cc44b-hpnwz,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-west-1-58976cc44b-hpnwz,istio-proxy,4,92
default,mongodb-profile-us-central-1-766cfd5584-2bmg4,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-central-1-766cfd5584-2bmg4,istio-proxy,5,92
default,mongodb-profile-us-east-1-67488774b8-vcvr6,hotel-reserv-profile-mongo,24,161
default,mongodb-profile-us-east-1-67488774b8-vcvr6,istio-proxy,7,91
default,mongodb-profile-us-south-1-7586f7d6c6-dfvj2,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-south-1-7586f7d6c6-dfvj2,istio-proxy,9,93
default,mongodb-profile-us-west-1-5b84cc57dd-4gqdk,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-west-1-5b84cc57dd-4gqdk,istio-proxy,23,93
default,mongodb-rate-us-central-1-74fcbd5644-94nkb,hotel-reserv-rate-mongo,36,162
default,mongodb-rate-us-central-1-74fcbd5644-94nkb,istio-proxy,4,91
default,mongodb-rate-us-east-1-b56f4db-nf2zg,hotel-reserv-rate-mongo,21,162
