Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64ff96698d-2jb9c,consul,10,34
default,consul-64ff96698d-2jb9c,istio-proxy,3,93
default,frontend-us-central-1-6d4c7dc95-5j85k,hotel-reserv-frontend,160,8
default,frontend-us-central-1-6d4c7dc95-5j85k,istio-proxy,497,93
default,frontend-us-central-1-6d4c7dc95-j7rtd,hotel-reserv-frontend,141,8
default,frontend-us-central-1-6d4c7dc95-j7rtd,istio-proxy,476,93
default,frontend-us-east-1-595bd75cbf-g85lb,hotel-reserv-frontend,192,8
default,frontend-us-east-1-595bd75cbf-g85lb,istio-proxy,305,93
default,frontend-us-east-1-595bd75cbf-h5gjn,hotel-reserv-frontend,117,8
default,frontend-us-east-1-595bd75cbf-h5gjn,istio-proxy,197,93
default,frontend-us-south-1-f9b968555-6hkml,hotel-reserv-frontend,132,8
default,frontend-us-south-1-f9b968555-6hkml,istio-proxy,406,93
default,frontend-us-south-1-f9b968555-9wgpw,hotel-reserv-frontend,196,8
default,frontend-us-south-1-f9b968555-9wgpw,istio-proxy,497,97
default,frontend-us-west-1-84c48b779c-gzszx,hotel-reserv-frontend,639,34
default,frontend-us-west-1-84c48b779c-gzszx,istio-proxy,1466,137
default,frontend-us-west-1-84c48b779c-jqshg,hotel-reserv-frontend,501,33
default,frontend-us-west-1-84c48b779c-jqshg,istio-proxy,2124,139
default,geo-us-central-1-75bf7c9cf7-q5fjt,hotel-reserv-geo,25,7
default,geo-us-central-1-75bf7c9cf7-q5fjt,istio-proxy,44,94
default,geo-us-central-1-75bf7c9cf7-vwjjk,hotel-reserv-geo,20,7
default,geo-us-central-1-75bf7c9cf7-vwjjk,istio-proxy,50,92
default,geo-us-east-1-65ddf585cc-7gb6w,hotel-reserv-geo,24,8
default,geo-us-east-1-65ddf585cc-7gb6w,istio-proxy,56,94
default,geo-us-east-1-65ddf585cc-gzpbr,hotel-reserv-geo,26,8
default,geo-us-east-1-65ddf585cc-gzpbr,istio-proxy,18,90
default,geo-us-south-1-56c6678fd9-dvgb9,hotel-reserv-geo,23,8
default,geo-us-south-1-56c6678fd9-dvgb9,istio-proxy,53,92
default,geo-us-south-1-56c6678fd9-jqdnx,hotel-reserv-geo,23,7
default,geo-us-south-1-56c6678fd9-jqdnx,istio-proxy,52,90
default,geo-us-west-1-d8ddb768f-s78w2,hotel-reserv-geo,176,15
default,geo-us-west-1-d8ddb768f-s78w2,istio-proxy,425,93
default,geo-us-west-1-d8ddb768f-zhcpx,hotel-reserv-geo,187,16
default,geo-us-west-1-d8ddb768f-zhcpx,istio-proxy,429,95
default,jaeger-5cc9497c4f-gz4t9,hotel-reserv-jaeger,306,212
default,jaeger-5cc9497c4f-gz4t9,istio-proxy,3,92
default,memcached-profile-us-central-1-6f4f6fb6f-bnwz2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4f6fb6f-bnwz2,istio-proxy,4,92
default,memcached-profile-us-central-1-6f4f6fb6f-d7hht,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4f6fb6f-d7hht,istio-proxy,4,95
default,memcached-profile-us-east-1-6c4bb8f477-msfv6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6c4bb8f477-msfv6,istio-proxy,4,94
default,memcached-profile-us-east-1-6c4bb8f477-wd5kz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6c4bb8f477-wd5kz,istio-proxy,4,93
default,memcached-profile-us-south-1-5cbb5c757-phdwv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5cbb5c757-phdwv,istio-proxy,4,92
default,memcached-profile-us-south-1-5cbb5c757-t2hvb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5cbb5c757-t2hvb,istio-proxy,4,91
