counter,region,service,endpoint,rps
1,us-east-1,user,user@POST@/user.User/CheckUser,229
1,us-east-1,frontend,frontend@POST@/user,99
1,us-east-1,frontend,frontend@GET@/recommendations,110
1,us-east-1,frontend,frontend@POST@/reservation,105
1,us-east-1,frontend,frontend@GET@/hotels,112
1,us-east-1,search,search@POST@/search.Search/Nearby,116
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,216
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,108
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,100
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,103
1,us-east-1,slateingress,slateingress@POST@/user,105
1,us-east-1,slateingress,slateingress@POST@/reservation,107
1,us-east-1,slateingress,slateingress@GET@/recommendations,103
1,us-east-1,slateingress,slateingress@GET@/hotels,104
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,96
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,136
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,543
1,us-west-1,search,search@POST@/search.Search/Nearby,473
1,us-west-1,slateingress,slateingress@GET@/recommendations,175
1,us-west-1,slateingress,slateingress@POST@/user,191
1,us-west-1,slateingress,slateingress@POST@/reservation,644
1,us-west-1,slateingress,slateingress@GET@/hotels,593
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,487
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,644
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,635
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,633
1,us-west-1,user,user@POST@/user.User/CheckUser,781
1,us-west-1,frontend,frontend@GET@/recommendations,148
1,us-west-1,frontend,frontend@POST@/reservation,522
1,us-west-1,frontend,frontend@GET@/hotels,470
1,us-west-1,frontend,frontend@POST@/user,130
