Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-649964b5b-gtnsx,consul,10,35
default,consul-649964b5b-gtnsx,istio-proxy,3,95
default,frontend-us-central-1-6c9dfd8655-5wcxh,hotel-reserv-frontend,336,8
default,frontend-us-central-1-6c9dfd8655-5wcxh,istio-proxy,639,96
default,frontend-us-central-1-6c9dfd8655-l6rfg,hotel-reserv-frontend,435,8
default,frontend-us-central-1-6c9dfd8655-l6rfg,istio-proxy,1069,98
default,frontend-us-east-1-75777fb686-67h98,hotel-reserv-frontend,249,8
default,frontend-us-east-1-75777fb686-67h98,istio-proxy,716,94
default,frontend-us-east-1-75777fb686-8zdtl,hotel-reserv-frontend,300,8
default,frontend-us-east-1-75777fb686-8zdtl,istio-proxy,743,96
default,frontend-us-south-1-7d59f6c65d-84f4f,hotel-reserv-frontend,309,9
default,frontend-us-south-1-7d59f6c65d-84f4f,istio-proxy,782,97
default,frontend-us-south-1-7d59f6c65d-z9nmn,hotel-reserv-frontend,281,8
default,frontend-us-south-1-7d59f6c65d-z9nmn,istio-proxy,716,97
default,frontend-us-west-1-5bcf557686-2chqp,hotel-reserv-frontend,570,40
default,frontend-us-west-1-5bcf557686-2chqp,istio-proxy,1856,172
default,frontend-us-west-1-5bcf557686-8wl8s,hotel-reserv-frontend,535,39
default,frontend-us-west-1-5bcf557686-8wl8s,istio-proxy,1229,169
default,geo-us-central-1-569c448f85-7j4r5,hotel-reserv-geo,70,8
default,geo-us-central-1-569c448f85-7j4r5,istio-proxy,119,94
default,geo-us-central-1-569c448f85-9mbr8,hotel-reserv-geo,66,9
default,geo-us-central-1-569c448f85-9mbr8,istio-proxy,154,93
default,geo-us-east-1-5546f585d8-m65s9,hotel-reserv-geo,65,8
default,geo-us-east-1-5546f585d8-m65s9,istio-proxy,101,93
default,geo-us-east-1-5546f585d8-n65mt,hotel-reserv-geo,67,8
default,geo-us-east-1-5546f585d8-n65mt,istio-proxy,130,93
default,geo-us-south-1-67597bf6c4-bhjmw,hotel-reserv-geo,62,8
default,geo-us-south-1-67597bf6c4-bhjmw,istio-proxy,135,95
default,geo-us-south-1-67597bf6c4-wbcrv,hotel-reserv-geo,73,9
default,geo-us-south-1-67597bf6c4-wbcrv,istio-proxy,143,92
default,geo-us-west-1-78476ff44-59z4g,hotel-reserv-geo,67,13
default,geo-us-west-1-78476ff44-59z4g,istio-proxy,166,94
default,geo-us-west-1-78476ff44-qjf7d,hotel-reserv-geo,86,11
default,geo-us-west-1-78476ff44-qjf7d,istio-proxy,173,94
default,jaeger-7694fd794d-rp9mb,hotel-reserv-jaeger,306,347
default,jaeger-7694fd794d-rp9mb,istio-proxy,3,93
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,istio-proxy,4,91
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,istio-proxy,4,92
default,memcached-profile-us-east-1-7964df747-9dn7s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-9dn7s,istio-proxy,3,92
default,memcached-profile-us-east-1-7964df747-pnb8w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-pnb8w,istio-proxy,4,91
default,memcached-profile-us-south-1-d974896c5-4cgrk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-4cgrk,istio-proxy,4,92
default,memcached-profile-us-south-1-d974896c5-bxt49,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-bxt49,istio-proxy,4,93
default,memcached-profile-us-west-1-78d98cb8bc-bdfrn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78d98cb8bc-bdfrn,istio-proxy,5,93
default,memcached-profile-us-west-1-78d98cb8bc-vwg2t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78d98cb8bc-vwg2t,istio-proxy,5,91
default,memcached-rate-us-central-1-8b65dc959-pgxs4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-8b65dc959-pgxs4,istio-proxy,4,95
default,memcached-rate-us-central-1-8b65dc959-zzt59,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-8b65dc959-zzt59,istio-proxy,4,92
default,memcached-rate-us-east-1-768c76c7bb-7pxlz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-768c76c7bb-7pxlz,istio-proxy,4,93
default,memcached-rate-us-east-1-768c76c7bb-d4z6r,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-768c76c7bb-d4z6r,istio-proxy,4,92
default,memcached-rate-us-south-1-d9c958454-cfqpx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-d9c958454-cfqpx,istio-proxy,4,93
default,memcached-rate-us-south-1-d9c958454-v548c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-d9c958454-v548c,istio-proxy,4,94
default,memcached-rate-us-west-1-7f789ff74b-nd5hz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7f789ff74b-nd5hz,istio-proxy,5,91
default,memcached-rate-us-west-1-7f789ff74b-njj7m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7f789ff74b-njj7m,istio-proxy,5,92
default,memcached-reserve-us-central-1-786dcfbfbd-rs8kl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786dcfbfbd-rs8kl,istio-proxy,4,93
default,memcached-reserve-us-central-1-786dcfbfbd-xzqfz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786dcfbfbd-xzqfz,istio-proxy,3,92
default,memcached-reserve-us-east-1-6d5f988759-x8h6n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d5f988759-x8h6n,istio-proxy,4,93
default,memcached-reserve-us-east-1-6d5f988759-xff9h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d5f988759-xff9h,istio-proxy,4,93
default,memcached-reserve-us-south-1-6f875cf897-ppbnr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f875cf897-ppbnr,istio-proxy,3,93
default,memcached-reserve-us-south-1-6f875cf897-trtsb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f875cf897-trtsb,istio-proxy,4,92
default,memcached-reserve-us-west-1-65546bdfb7-77xkf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65546bdfb7-77xkf,istio-proxy,4,93
default,memcached-reserve-us-west-1-65546bdfb7-kkjwl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65546bdfb7-kkjwl,istio-proxy,5,91
default,mongodb-geo-us-central-1-674dc9b87c-xs47d,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-674dc9b87c-xs47d,istio-proxy,4,91
default,mongodb-geo-us-east-1-fc5cff655-brpbv,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-fc5cff655-brpbv,istio-proxy,4,92
