Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-649964b5b-gtnsx,consul,10,34
default,consul-649964b5b-gtnsx,istio-proxy,3,95
default,frontend-us-central-1-6c9dfd8655-5wcxh,hotel-reserv-frontend,428,8
default,frontend-us-central-1-6c9dfd8655-5wcxh,istio-proxy,639,96
default,frontend-us-central-1-6c9dfd8655-l6rfg,hotel-reserv-frontend,235,8
default,frontend-us-central-1-6c9dfd8655-l6rfg,istio-proxy,814,96
default,frontend-us-east-1-75777fb686-67h98,hotel-reserv-frontend,249,8
default,frontend-us-east-1-75777fb686-67h98,istio-proxy,716,94
default,frontend-us-east-1-75777fb686-8zdtl,hotel-reserv-frontend,264,8
default,frontend-us-east-1-75777fb686-8zdtl,istio-proxy,740,95
default,frontend-us-south-1-7d59f6c65d-84f4f,hotel-reserv-frontend,202,8
default,frontend-us-south-1-7d59f6c65d-84f4f,istio-proxy,798,96
default,frontend-us-south-1-7d59f6c65d-z9nmn,hotel-reserv-frontend,308,9
default,frontend-us-south-1-7d59f6c65d-z9nmn,istio-proxy,237,96
default,frontend-us-west-1-5bcf557686-2chqp,hotel-reserv-frontend,492,42
default,frontend-us-west-1-5bcf557686-2chqp,istio-proxy,2326,171
default,frontend-us-west-1-5bcf557686-8wl8s,hotel-reserv-frontend,196,47
default,frontend-us-west-1-5bcf557686-8wl8s,istio-proxy,1804,167
default,geo-us-central-1-569c448f85-7j4r5,hotel-reserv-geo,43,8
default,geo-us-central-1-569c448f85-7j4r5,istio-proxy,115,94
default,geo-us-central-1-569c448f85-9mbr8,hotel-reserv-geo,24,8
default,geo-us-central-1-569c448f85-9mbr8,istio-proxy,122,93
default,geo-us-east-1-5546f585d8-m65s9,hotel-reserv-geo,64,8
default,geo-us-east-1-5546f585d8-m65s9,istio-proxy,43,93
default,geo-us-east-1-5546f585d8-n65mt,hotel-reserv-geo,27,8
default,geo-us-east-1-5546f585d8-n65mt,istio-proxy,133,93
default,geo-us-south-1-67597bf6c4-bhjmw,hotel-reserv-geo,77,8
default,geo-us-south-1-67597bf6c4-bhjmw,istio-proxy,73,94
default,geo-us-south-1-67597bf6c4-wbcrv,hotel-reserv-geo,52,8
default,geo-us-south-1-67597bf6c4-wbcrv,istio-proxy,63,92
default,geo-us-west-1-78476ff44-59z4g,hotel-reserv-geo,105,13
default,geo-us-west-1-78476ff44-59z4g,istio-proxy,210,94
default,geo-us-west-1-78476ff44-qjf7d,hotel-reserv-geo,83,11
default,geo-us-west-1-78476ff44-qjf7d,istio-proxy,185,94
default,jaeger-7694fd794d-rp9mb,hotel-reserv-jaeger,339,197
default,jaeger-7694fd794d-rp9mb,istio-proxy,3,93
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,istio-proxy,4,91
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,istio-proxy,4,92
default,memcached-profile-us-east-1-7964df747-9dn7s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-9dn7s,istio-proxy,4,92
default,memcached-profile-us-east-1-7964df747-pnb8w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-pnb8w,istio-proxy,4,91
default,memcached-profile-us-south-1-d974896c5-4cgrk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-4cgrk,istio-proxy,4,92
default,memcached-profile-us-south-1-d974896c5-bxt49,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-bxt49,istio-proxy,4,93
default,memcached-profile-us-west-1-78d98cb8bc-bdfrn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78d98cb8bc-bdfrn,istio-proxy,5,93
default,memcached-profile-us-west-1-78d98cb8bc-vwg2t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-78d98cb8bc-vwg2t,istio-proxy,5,91
default,memcached-rate-us-central-1-8b65dc959-pgxs4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-8b65dc959-pgxs4,istio-proxy,4,95
default,memcached-rate-us-central-1-8b65dc959-zzt59,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-8b65dc959-zzt59,istio-proxy,4,92
default,memcached-rate-us-east-1-768c76c7bb-7pxlz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-768c76c7bb-7pxlz,istio-proxy,4,93
default,memcached-rate-us-east-1-768c76c7bb-d4z6r,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-768c76c7bb-d4z6r,istio-proxy,4,92
default,memcached-rate-us-south-1-d9c958454-cfqpx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-d9c958454-cfqpx,istio-proxy,4,93
default,memcached-rate-us-south-1-d9c958454-v548c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-d9c958454-v548c,istio-proxy,4,94
default,memcached-rate-us-west-1-7f789ff74b-nd5hz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7f789ff74b-nd5hz,istio-proxy,5,91
default,memcached-rate-us-west-1-7f789ff74b-njj7m,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7f789ff74b-njj7m,istio-proxy,4,92
default,memcached-reserve-us-central-1-786dcfbfbd-rs8kl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786dcfbfbd-rs8kl,istio-proxy,4,93
default,memcached-reserve-us-central-1-786dcfbfbd-xzqfz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-786dcfbfbd-xzqfz,istio-proxy,4,92
default,memcached-reserve-us-east-1-6d5f988759-x8h6n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d5f988759-x8h6n,istio-proxy,4,93
default,memcached-reserve-us-east-1-6d5f988759-xff9h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6d5f988759-xff9h,istio-proxy,3,93
default,memcached-reserve-us-south-1-6f875cf897-ppbnr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f875cf897-ppbnr,istio-proxy,3,93
default,memcached-reserve-us-south-1-6f875cf897-trtsb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6f875cf897-trtsb,istio-proxy,4,92
default,memcached-reserve-us-west-1-65546bdfb7-77xkf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65546bdfb7-77xkf,istio-proxy,6,93
default,memcached-reserve-us-west-1-65546bdfb7-kkjwl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65546bdfb7-kkjwl,istio-proxy,4,91
default,mongodb-geo-us-central-1-674dc9b87c-xs47d,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-674dc9b87c-xs47d,istio-proxy,4,91
default,mongodb-geo-us-east-1-fc5cff655-brpbv,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-fc5cff655-brpbv,istio-proxy,4,92
default,mongodb-geo-us-south-1-55fd4b58f7-hwkxf,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-55fd4b58f7-hwkxf,istio-proxy,5,94
default,mongodb-geo-us-west-1-66d974f45f-sjnh5,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-66d974f45f-sjnh5,istio-proxy,5,93
default,mongodb-profile-us-central-1-674b8966fb-pds9h,hotel-reserv-profile-mongo,83,163
default,mongodb-profile-us-central-1-674b8966fb-pds9h,istio-proxy,37,92
default,mongodb-profile-us-east-1-869b67747f-45hnn,hotel-reserv-profile-mongo,37,164
default,mongodb-profile-us-east-1-869b67747f-45hnn,istio-proxy,45,92
default,mongodb-profile-us-south-1-bd695cbb5-7x954,hotel-reserv-profile-mongo,27,162
default,mongodb-profile-us-south-1-bd695cbb5-7x954,istio-proxy,18,91
default,mongodb-profile-us-west-1-747b57746-vmjd4,hotel-reserv-profile-mongo,209,169
default,mongodb-profile-us-west-1-747b57746-vmjd4,istio-proxy,99,92
default,mongodb-rate-us-central-1-7fc88f8565-h7mvq,hotel-reserv-rate-mongo,188,160
default,mongodb-rate-us-central-1-7fc88f8565-h7mvq,istio-proxy,46,93
default,mongodb-rate-us-east-1-56c48cb678-7n6cg,hotel-reserv-rate-mongo,273,161
default,mongodb-rate-us-east-1-56c48cb678-7n6cg,istio-proxy,21,92
default,mongodb-rate-us-south-1-984cdc6c6-clq7d,hotel-reserv-rate-mongo,270,160
default,mongodb-rate-us-south-1-984cdc6c6-clq7d,istio-proxy,8,92
default,mongodb-rate-us-west-1-678457446-8ddsc,hotel-reserv-rate-mongo,855,172
default,mongodb-rate-us-west-1-678457446-8ddsc,istio-proxy,98,90
default,mongodb-recommendation-us-central-1-85469b879f-r55gd,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-central-1-85469b879f-r55gd,istio-proxy,4,92
default,mongodb-recommendation-us-east-1-685bf497d6-lxwwh,hotel-reserv-recommendation-mongo,4,159
default,mongodb-recommendation-us-east-1-685bf497d6-lxwwh,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-fbf746b94-w54ms,hotel-reserv-recommendation-mongo,4,162
default,mongodb-recommendation-us-south-1-fbf746b94-w54ms,istio-proxy,10,91
default,mongodb-recommendation-us-west-1-54d696855d-5dqf6,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-west-1-54d696855d-5dqf6,istio-proxy,6,92
default,mongodb-reservation-us-central-1-757d7f896f-gf2zw,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-central-1-757d7f896f-gf2zw,istio-proxy,4,91
default,mongodb-reservation-us-east-1-dfc7464dc-mljt5,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-east-1-dfc7464dc-mljt5,istio-proxy,4,92
default,mongodb-reservation-us-south-1-7586dccb5c-4rtz7,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-south-1-7586dccb5c-4rtz7,istio-proxy,4,91
default,mongodb-reservation-us-west-1-547d6d59f-7c956,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-west-1-547d6d59f-7c956,istio-proxy,5,92
default,mongodb-user-us-central-1-58dc5c7d65-rwqmc,hotel-reserv-user-mongo,4,157
default,mongodb-user-us-central-1-58dc5c7d65-rwqmc,istio-proxy,4,94
default,mongodb-user-us-east-1-74f995764c-ms5bs,hotel-reserv-user-mongo,4,196
default,mongodb-user-us-east-1-74f995764c-ms5bs,istio-proxy,4,93
default,mongodb-user-us-south-1-558dc74c49-kscnw,hotel-reserv-user-mongo,3,179
default,mongodb-user-us-south-1-558dc74c49-kscnw,istio-proxy,4,92
