Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-649964b5b-gtnsx,consul,11,34
default,consul-649964b5b-gtnsx,istio-proxy,9,95
default,frontend-us-central-1-6c9dfd8655-5wcxh,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6c9dfd8655-5wcxh,istio-proxy,8,90
default,frontend-us-central-1-6c9dfd8655-l6rfg,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6c9dfd8655-l6rfg,istio-proxy,8,91
default,frontend-us-east-1-75777fb686-67h98,hotel-reserv-frontend,0,4
default,frontend-us-east-1-75777fb686-67h98,istio-proxy,15,91
default,frontend-us-east-1-75777fb686-8zdtl,hotel-reserv-frontend,0,4
default,frontend-us-east-1-75777fb686-8zdtl,istio-proxy,11,92
default,frontend-us-south-1-7d59f6c65d-84f4f,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7d59f6c65d-84f4f,istio-proxy,8,93
default,frontend-us-south-1-7d59f6c65d-z9nmn,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7d59f6c65d-z9nmn,istio-proxy,8,93
default,frontend-us-west-1-5bcf557686-2chqp,hotel-reserv-frontend,0,37
default,frontend-us-west-1-5bcf557686-2chqp,istio-proxy,12,169
default,frontend-us-west-1-5bcf557686-8wl8s,hotel-reserv-frontend,0,21
default,frontend-us-west-1-5bcf557686-8wl8s,istio-proxy,8,126
default,geo-us-central-1-569c448f85-7j4r5,hotel-reserv-geo,0,6
default,geo-us-central-1-569c448f85-7j4r5,istio-proxy,11,93
default,geo-us-central-1-569c448f85-9mbr8,hotel-reserv-geo,0,6
default,geo-us-central-1-569c448f85-9mbr8,istio-proxy,7,92
default,geo-us-east-1-5546f585d8-m65s9,hotel-reserv-geo,1,6
default,geo-us-east-1-5546f585d8-m65s9,istio-proxy,24,92
default,geo-us-east-1-5546f585d8-n65mt,hotel-reserv-geo,1,6
default,geo-us-east-1-5546f585d8-n65mt,istio-proxy,22,92
default,geo-us-south-1-67597bf6c4-bhjmw,hotel-reserv-geo,0,6
default,geo-us-south-1-67597bf6c4-bhjmw,istio-proxy,10,94
default,geo-us-south-1-67597bf6c4-wbcrv,hotel-reserv-geo,0,6
default,geo-us-south-1-67597bf6c4-wbcrv,istio-proxy,12,92
default,geo-us-west-1-78476ff44-59z4g,hotel-reserv-geo,0,6
default,geo-us-west-1-78476ff44-59z4g,istio-proxy,10,93
default,geo-us-west-1-78476ff44-qjf7d,hotel-reserv-geo,0,6
default,geo-us-west-1-78476ff44-qjf7d,istio-proxy,9,93
default,jaeger-7694fd794d-rp9mb,hotel-reserv-jaeger,0,16
default,jaeger-7694fd794d-rp9mb,istio-proxy,9,94
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-9cj4p,istio-proxy,9,91
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5d4f48c64f-zrkxh,istio-proxy,9,92
default,memcached-profile-us-east-1-7964df747-9dn7s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-9dn7s,istio-proxy,13,92
default,memcached-profile-us-east-1-7964df747-pnb8w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7964df747-pnb8w,istio-proxy,18,91
default,memcached-profile-us-south-1-d974896c5-4cgrk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-4cgrk,istio-proxy,9,92
default,memcached-profile-us-south-1-d974896c5-bxt49,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d974896c5-bxt49,istio-proxy,10,93
default,memcached-profile-us-west-1-78d98cb8bc-bdfrn,hotel-reserv-profile-mmc,0,1
