counter,region,service,endpoint,rps
1,us-central-1,slateingress,slateingress@GET@/recommendations,121
1,us-central-1,slateingress,slateingress@POST@/user,114
1,us-central-1,slateingress,slateingress@POST@/reservation,111
1,us-central-1,slateingress,slateingress@GET@/hotels,103
1,us-central-1,frontend,frontend@GET@/hotels,111
1,us-central-1,frontend,frontend@POST@/user,113
1,us-central-1,frontend,frontend@POST@/reservation,108
1,us-central-1,frontend,frontend@GET@/recommendations,113
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,105
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,115
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,214
1,us-central-1,user,user@POST@/user.User/CheckUser,224
1,us-central-1,search,search@POST@/search.Search/Nearby,114
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,111
1,us-east-1,user,user@POST@/user.User/CheckUser,230
1,us-east-1,frontend,frontend@POST@/user,96
1,us-east-1,frontend,frontend@GET@/recommendations,104
1,us-east-1,frontend,frontend@POST@/reservation,114
1,us-east-1,frontend,frontend@GET@/hotels,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,116
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
1,us-east-1,slateingress,slateingress@POST@/user,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,118
1,us-east-1,slateingress,slateingress@POST@/reservation,112
1,us-east-1,slateingress,slateingress@GET@/hotels,119
1,us-east-1,search,search@POST@/search.Search/Nearby,113
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,224
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,108
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,108
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,675
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,645
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,150
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,542
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,594
1,us-west-1,search,search@POST@/search.Search/Nearby,552
1,us-west-1,frontend,frontend@POST@/user,156
1,us-west-1,frontend,frontend@GET@/recommendations,166
1,us-west-1,frontend,frontend@POST@/reservation,590
1,us-west-1,frontend,frontend@GET@/hotels,588
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,547
1,us-west-1,user,user@POST@/user.User/CheckUser,692
1,us-west-1,slateingress,slateingress@GET@/hotels,622
1,us-west-1,slateingress,slateingress@POST@/user,182
1,us-west-1,slateingress,slateingress@GET@/recommendations,176
1,us-west-1,slateingress,slateingress@POST@/reservation,627
1,us-south-1,user,user@POST@/user.User/CheckUser,218
1,us-south-1,search,search@POST@/search.Search/Nearby,70
1,us-south-1,frontend,frontend@POST@/reservation,88
1,us-south-1,frontend,frontend@POST@/user,107
1,us-south-1,frontend,frontend@GET@/recommendations,100
1,us-south-1,frontend,frontend@GET@/hotels,71
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,74
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,49
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,97
1,us-south-1,slateingress,slateingress@GET@/hotels,47
1,us-south-1,slateingress,slateingress@POST@/user,97
1,us-south-1,slateingress,slateingress@GET@/recommendations,84
1,us-south-1,slateingress,slateingress@POST@/reservation,78
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,47
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,66
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,124
2,us-central-1,slateingress,slateingress@GET@/recommendations,102
2,us-central-1,slateingress,slateingress@POST@/user,112
2,us-central-1,slateingress,slateingress@POST@/reservation,107
2,us-central-1,slateingress,slateingress@GET@/hotels,111
2,us-central-1,frontend,frontend@GET@/hotels,107
2,us-central-1,frontend,frontend@POST@/user,97
2,us-central-1,frontend,frontend@POST@/reservation,104
2,us-central-1,frontend,frontend@GET@/recommendations,101
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,101
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,207
2,us-central-1,user,user@POST@/user.User/CheckUser,204
2,us-central-1,search,search@POST@/search.Search/Nearby,102
