Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7f4958b568-z6v86,consul,10,34
default,consul-7f4958b568-z6v86,istio-proxy,6,94
default,frontend-us-central-1-59d459c64c-hhnh8,hotel-reserv-frontend,0,7
default,frontend-us-central-1-59d459c64c-hhnh8,istio-proxy,6,96
default,frontend-us-central-1-59d459c64c-lh2sb,hotel-reserv-frontend,0,12
default,frontend-us-central-1-59d459c64c-lh2sb,istio-proxy,5,103
default,frontend-us-east-1-5cddd759d9-fvk85,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5cddd759d9-fvk85,istio-proxy,6,90
default,frontend-us-east-1-5cddd759d9-sg8xq,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5cddd759d9-sg8xq,istio-proxy,5,91
default,frontend-us-south-1-645447644c-5jmm7,hotel-reserv-frontend,0,3
default,frontend-us-south-1-645447644c-5jmm7,istio-proxy,5,92
default,frontend-us-south-1-645447644c-d44p9,hotel-reserv-frontend,0,4
default,frontend-us-south-1-645447644c-d44p9,istio-proxy,5,91
default,frontend-us-west-1-9fd6d4574-hbjxz,hotel-reserv-frontend,0,4
default,frontend-us-west-1-9fd6d4574-hbjxz,istio-proxy,5,91
default,frontend-us-west-1-9fd6d4574-rkr75,hotel-reserv-frontend,0,4
default,frontend-us-west-1-9fd6d4574-rkr75,istio-proxy,5,91
default,geo-us-central-1-7d565c7d85-jpr5g,hotel-reserv-geo,0,10
default,geo-us-central-1-7d565c7d85-jpr5g,istio-proxy,6,93
default,geo-us-central-1-7d565c7d85-kg8j9,hotel-reserv-geo,0,10
default,geo-us-central-1-7d565c7d85-kg8j9,istio-proxy,5,92
default,geo-us-east-1-7b764df5d9-6pvwn,hotel-reserv-geo,0,6
default,geo-us-east-1-7b764df5d9-6pvwn,istio-proxy,5,91
default,geo-us-east-1-7b764df5d9-l8mdt,hotel-reserv-geo,0,7
default,geo-us-east-1-7b764df5d9-l8mdt,istio-proxy,6,91
default,geo-us-south-1-6b64fbf84f-fmsc2,hotel-reserv-geo,0,6
default,geo-us-south-1-6b64fbf84f-fmsc2,istio-proxy,6,92
default,geo-us-south-1-6b64fbf84f-zmm55,hotel-reserv-geo,0,7
default,geo-us-south-1-6b64fbf84f-zmm55,istio-proxy,6,91
default,geo-us-west-1-67fd55996d-crc9t,hotel-reserv-geo,0,6
default,geo-us-west-1-67fd55996d-crc9t,istio-proxy,5,94
