Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6547b98f7-9zzpd,consul,10,35
default,consul-6547b98f7-9zzpd,istio-proxy,3,92
default,frontend-us-central-1-656c5d58b5-4mnb9,hotel-reserv-frontend,63,9
default,frontend-us-central-1-656c5d58b5-4mnb9,istio-proxy,616,97
default,frontend-us-central-1-656c5d58b5-7wq4k,hotel-reserv-frontend,255,9
default,frontend-us-central-1-656c5d58b5-7wq4k,istio-proxy,658,96
default,frontend-us-east-1-7546685547-ppjqq,hotel-reserv-frontend,220,8
default,frontend-us-east-1-7546685547-ppjqq,istio-proxy,526,94
default,frontend-us-east-1-7546685547-smzx2,hotel-reserv-frontend,156,8
default,frontend-us-east-1-7546685547-smzx2,istio-proxy,489,93
default,frontend-us-south-1-75d6c4748f-6hpnx,hotel-reserv-frontend,135,10
default,frontend-us-south-1-75d6c4748f-6hpnx,istio-proxy,568,102
default,frontend-us-south-1-75d6c4748f-c8s5l,hotel-reserv-frontend,187,12
default,frontend-us-south-1-75d6c4748f-c8s5l,istio-proxy,309,96
default,frontend-us-west-1-6785c5bfc5-jzhsn,hotel-reserv-frontend,286,103
default,frontend-us-west-1-6785c5bfc5-jzhsn,istio-proxy,1738,315
default,frontend-us-west-1-6785c5bfc5-m5t5z,hotel-reserv-frontend,635,115
default,frontend-us-west-1-6785c5bfc5-m5t5z,istio-proxy,2911,298
default,geo-us-central-1-544bc475f8-9vpm9,hotel-reserv-geo,50,7
default,geo-us-central-1-544bc475f8-9vpm9,istio-proxy,73,91
default,geo-us-central-1-544bc475f8-q8f2b,hotel-reserv-geo,26,8
default,geo-us-central-1-544bc475f8-q8f2b,istio-proxy,83,94
default,geo-us-east-1-7f7c4d8d9f-m865h,hotel-reserv-geo,8,7
default,geo-us-east-1-7f7c4d8d9f-m865h,istio-proxy,67,93
default,geo-us-east-1-7f7c4d8d9f-srxsz,hotel-reserv-geo,35,8
default,geo-us-east-1-7f7c4d8d9f-srxsz,istio-proxy,41,94
default,geo-us-south-1-699c4847b7-72xxr,hotel-reserv-geo,29,8
default,geo-us-south-1-699c4847b7-72xxr,istio-proxy,34,91
default,geo-us-south-1-699c4847b7-np27v,hotel-reserv-geo,37,8
default,geo-us-south-1-699c4847b7-np27v,istio-proxy,64,93
default,geo-us-west-1-6797599687-7j9w2,hotel-reserv-geo,91,13
default,geo-us-west-1-6797599687-7j9w2,istio-proxy,140,92
default,geo-us-west-1-6797599687-cwn8w,hotel-reserv-geo,69,13
default,geo-us-west-1-6797599687-cwn8w,istio-proxy,176,92
default,jaeger-6dd4466c95-7k446,hotel-reserv-jaeger,312,189
default,jaeger-6dd4466c95-7k446,istio-proxy,4,92
default,memcached-profile-us-central-1-695687d4b8-9z755,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-695687d4b8-9z755,istio-proxy,4,92
default,memcached-profile-us-central-1-695687d4b8-b6szn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-695687d4b8-b6szn,istio-proxy,3,93
default,memcached-profile-us-east-1-67fbfd49cf-5hsjg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-67fbfd49cf-5hsjg,istio-proxy,4,92
default,memcached-profile-us-east-1-67fbfd49cf-gqqb4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-67fbfd49cf-gqqb4,istio-proxy,4,92
default,memcached-profile-us-south-1-78fcc677b7-8hrbc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78fcc677b7-8hrbc,istio-proxy,4,90
default,memcached-profile-us-south-1-78fcc677b7-lbrcd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78fcc677b7-lbrcd,istio-proxy,4,91
default,memcached-profile-us-west-1-748bcc4847-4gx68,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-748bcc4847-4gx68,istio-proxy,4,92
