Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5466f87c96-glt4s,consul,12,35
default,consul-5466f87c96-glt4s,istio-proxy,6,93
default,frontend-us-central-1-fd4f5457f-58b5s,hotel-reserv-frontend,0,4
default,frontend-us-central-1-fd4f5457f-58b5s,istio-proxy,6,93
default,frontend-us-central-1-fd4f5457f-vrn8x,hotel-reserv-frontend,0,3
default,frontend-us-central-1-fd4f5457f-vrn8x,istio-proxy,7,92
default,frontend-us-east-1-f8ccfbfb9-5s87x,hotel-reserv-frontend,0,4
default,frontend-us-east-1-f8ccfbfb9-5s87x,istio-proxy,7,91
default,frontend-us-east-1-f8ccfbfb9-xv7kg,hotel-reserv-frontend,0,4
default,frontend-us-east-1-f8ccfbfb9-xv7kg,istio-proxy,6,92
default,frontend-us-south-1-6f5876df86-fx8ms,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6f5876df86-fx8ms,istio-proxy,6,90
default,frontend-us-south-1-6f5876df86-nxqnv,hotel-reserv-frontend,0,3
default,frontend-us-south-1-6f5876df86-nxqnv,istio-proxy,7,91
default,frontend-us-west-1-5fcc685898-49pjs,hotel-reserv-frontend,0,16
default,frontend-us-west-1-5fcc685898-49pjs,istio-proxy,8,121
default,frontend-us-west-1-5fcc685898-kcgbz,hotel-reserv-frontend,0,14
default,frontend-us-west-1-5fcc685898-kcgbz,istio-proxy,6,114
default,geo-us-central-1-85cbbff6d5-5twcq,hotel-reserv-geo,0,6
default,geo-us-central-1-85cbbff6d5-5twcq,istio-proxy,6,93
default,geo-us-central-1-85cbbff6d5-wcrsh,hotel-reserv-geo,0,5
default,geo-us-central-1-85cbbff6d5-wcrsh,istio-proxy,8,91
default,geo-us-east-1-79cc77765c-qz5fb,hotel-reserv-geo,0,5
default,geo-us-east-1-79cc77765c-qz5fb,istio-proxy,7,93
default,geo-us-east-1-79cc77765c-td9w8,hotel-reserv-geo,0,6
default,geo-us-east-1-79cc77765c-td9w8,istio-proxy,6,92
default,geo-us-south-1-5698f76869-lqncn,hotel-reserv-geo,0,6
default,geo-us-south-1-5698f76869-lqncn,istio-proxy,6,93
default,geo-us-south-1-5698f76869-p9j6w,hotel-reserv-geo,0,5
default,geo-us-south-1-5698f76869-p9j6w,istio-proxy,7,92
default,geo-us-west-1-5999b9ffbd-rh7n5,hotel-reserv-geo,0,6
default,geo-us-west-1-5999b9ffbd-rh7n5,istio-proxy,7,94
default,geo-us-west-1-5999b9ffbd-x2kq8,hotel-reserv-geo,0,6
default,geo-us-west-1-5999b9ffbd-x2kq8,istio-proxy,6,93
default,jaeger-68f8766588-8xcpk,hotel-reserv-jaeger,0,10
default,jaeger-68f8766588-8xcpk,istio-proxy,5,94
default,memcached-profile-us-central-1-869f8dfc45-l58g6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-869f8dfc45-l58g6,istio-proxy,8,94
default,memcached-profile-us-central-1-869f8dfc45-x5vpb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-869f8dfc45-x5vpb,istio-proxy,6,92
default,memcached-profile-us-east-1-74f588cccc-26z8z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-74f588cccc-26z8z,istio-proxy,7,95
default,memcached-profile-us-east-1-74f588cccc-lsbn9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-74f588cccc-lsbn9,istio-proxy,6,91
default,memcached-profile-us-south-1-64b54b7c65-knzgx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-64b54b7c65-knzgx,istio-proxy,7,91
default,memcached-profile-us-south-1-64b54b7c65-psh5r,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-64b54b7c65-psh5r,istio-proxy,7,92
default,memcached-profile-us-west-1-774bb5bcf4-42kdz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-774bb5bcf4-42kdz,istio-proxy,6,91
default,memcached-profile-us-west-1-774bb5bcf4-ctbwd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-774bb5bcf4-ctbwd,istio-proxy,7,92
default,memcached-rate-us-central-1-7856fc7f8-h5g96,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7856fc7f8-h5g96,istio-proxy,7,92
default,memcached-rate-us-central-1-7856fc7f8-qffqw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7856fc7f8-qffqw,istio-proxy,8,91
default,memcached-rate-us-east-1-6d97bbcc66-jdw7v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6d97bbcc66-jdw7v,istio-proxy,7,91
default,memcached-rate-us-east-1-6d97bbcc66-lx49t,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6d97bbcc66-lx49t,istio-proxy,8,91
default,memcached-rate-us-south-1-7d8587c9db-6zdxc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7d8587c9db-6zdxc,istio-proxy,6,92
default,memcached-rate-us-south-1-7d8587c9db-b2r2v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7d8587c9db-b2r2v,istio-proxy,7,92
default,memcached-rate-us-west-1-68779f4965-qx4fc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68779f4965-qx4fc,istio-proxy,7,92
default,memcached-rate-us-west-1-68779f4965-tmgnw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-68779f4965-tmgnw,istio-proxy,6,91
default,memcached-reserve-us-central-1-679f6645c5-6strq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-679f6645c5-6strq,istio-proxy,9,92
