Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64585756d9-wst4j,consul,10,34
default,consul-64585756d9-wst4j,istio-proxy,3,95
default,frontend-us-central-1-7467c8649d-n8ptp,hotel-reserv-frontend,237,107
default,frontend-us-central-1-7467c8649d-n8ptp,istio-proxy,853,282
default,frontend-us-central-1-7467c8649d-xk6tf,hotel-reserv-frontend,120,13
default,frontend-us-central-1-7467c8649d-xk6tf,istio-proxy,1091,315
default,frontend-us-east-1-775ff6df59-gfk54,hotel-reserv-frontend,162,17
default,frontend-us-east-1-775ff6df59-gfk54,istio-proxy,206,114
default,frontend-us-east-1-775ff6df59-pj824,hotel-reserv-frontend,55,17
default,frontend-us-east-1-775ff6df59-pj824,istio-proxy,4,119
default,frontend-us-south-1-7988565997-2f75n,hotel-reserv-frontend,176,8
default,frontend-us-south-1-7988565997-2f75n,istio-proxy,43,93
default,frontend-us-south-1-7988565997-zk4wm,hotel-reserv-frontend,179,8
default,frontend-us-south-1-7988565997-zk4wm,istio-proxy,186,94
default,frontend-us-west-1-6c9b658d9f-79dcn,hotel-reserv-frontend,105,56
default,frontend-us-west-1-6c9b658d9f-79dcn,istio-proxy,441,216
default,frontend-us-west-1-6c9b658d9f-pwfp8,hotel-reserv-frontend,293,120
default,frontend-us-west-1-6c9b658d9f-pwfp8,istio-proxy,2116,314
default,geo-us-central-1-6c9df76cb6-6kvq7,hotel-reserv-geo,66,10
default,geo-us-central-1-6c9df76cb6-6kvq7,istio-proxy,93,91
default,geo-us-central-1-6c9df76cb6-7m7sp,hotel-reserv-geo,67,11
default,geo-us-central-1-6c9df76cb6-7m7sp,istio-proxy,183,93
default,geo-us-east-1-77d8844595-nqn2m,hotel-reserv-geo,1,6
default,geo-us-east-1-77d8844595-nqn2m,istio-proxy,41,92
default,geo-us-east-1-77d8844595-wk2s9,hotel-reserv-geo,20,7
default,geo-us-east-1-77d8844595-wk2s9,istio-proxy,12,91
default,geo-us-south-1-6d796f964c-5gwb2,hotel-reserv-geo,33,7
default,geo-us-south-1-6d796f964c-5gwb2,istio-proxy,27,91
default,geo-us-south-1-6d796f964c-fsz62,hotel-reserv-geo,19,7
default,geo-us-south-1-6d796f964c-fsz62,istio-proxy,22,93
default,geo-us-west-1-595db4b5b7-rj5mb,hotel-reserv-geo,4,9
default,geo-us-west-1-595db4b5b7-rj5mb,istio-proxy,113,91
default,geo-us-west-1-595db4b5b7-st58z,hotel-reserv-geo,19,8
default,geo-us-west-1-595db4b5b7-st58z,istio-proxy,44,91
default,jaeger-84c56996b7-8t8lv,hotel-reserv-jaeger,263,149
default,jaeger-84c56996b7-8t8lv,istio-proxy,3,95
default,memcached-profile-us-central-1-584d8855f6-6cjl5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-584d8855f6-6cjl5,istio-proxy,4,92
default,memcached-profile-us-central-1-584d8855f6-rj7k7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-584d8855f6-rj7k7,istio-proxy,4,92
default,memcached-profile-us-east-1-669d9b5655-gn2bq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-669d9b5655-gn2bq,istio-proxy,4,92
default,memcached-profile-us-east-1-669d9b5655-qps6f,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-669d9b5655-qps6f,istio-proxy,4,92
default,memcached-profile-us-south-1-7f5dcccdc-c6lpw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f5dcccdc-c6lpw,istio-proxy,4,93
default,memcached-profile-us-south-1-7f5dcccdc-c9rns,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f5dcccdc-c9rns,istio-proxy,4,92
default,memcached-profile-us-west-1-7f9948c4c5-gkzw7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7f9948c4c5-gkzw7,istio-proxy,5,91
default,memcached-profile-us-west-1-7f9948c4c5-x2scl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7f9948c4c5-x2scl,istio-proxy,4,92
default,memcached-rate-us-central-1-5dd8d6bc6d-dmmgl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dd8d6bc6d-dmmgl,istio-proxy,4,90
default,memcached-rate-us-central-1-5dd8d6bc6d-hsdpt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5dd8d6bc6d-hsdpt,istio-proxy,4,92
default,memcached-rate-us-east-1-56c6f9cf76-bmgvj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56c6f9cf76-bmgvj,istio-proxy,4,92
default,memcached-rate-us-east-1-56c6f9cf76-x4d6v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56c6f9cf76-x4d6v,istio-proxy,4,91
default,memcached-rate-us-south-1-59fb766b56-njgsw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-59fb766b56-njgsw,istio-proxy,3,94
default,memcached-rate-us-south-1-59fb766b56-s4m95,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-59fb766b56-s4m95,istio-proxy,4,90
default,memcached-rate-us-west-1-64b4cc8476-7c6ml,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-64b4cc8476-7c6ml,istio-proxy,4,91
default,memcached-rate-us-west-1-64b4cc8476-cttxq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-64b4cc8476-cttxq,istio-proxy,4,91
default,memcached-reserve-us-central-1-7dd968564f-p7lbb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7dd968564f-p7lbb,istio-proxy,4,94
default,memcached-reserve-us-central-1-7dd968564f-vkfzn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7dd968564f-vkfzn,istio-proxy,4,93
default,memcached-reserve-us-east-1-77c9dc49c9-4wb27,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-77c9dc49c9-4wb27,istio-proxy,4,91
default,memcached-reserve-us-east-1-77c9dc49c9-bq8k6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-77c9dc49c9-bq8k6,istio-proxy,4,90
default,memcached-reserve-us-south-1-7cd66bc6d5-bbl6m,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7cd66bc6d5-bbl6m,istio-proxy,4,94
default,memcached-reserve-us-south-1-7cd66bc6d5-c27f2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7cd66bc6d5-c27f2,istio-proxy,4,92
default,memcached-reserve-us-west-1-58f9bb9d67-5kwp4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-58f9bb9d67-5kwp4,istio-proxy,4,91
default,memcached-reserve-us-west-1-58f9bb9d67-8dszj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-58f9bb9d67-8dszj,istio-proxy,4,91
default,mongodb-geo-us-central-1-6b9dd67bb-rvp6n,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-6b9dd67bb-rvp6n,istio-proxy,4,91
default,mongodb-geo-us-east-1-5b4db6cc98-vmvrz,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-5b4db6cc98-vmvrz,istio-proxy,4,93
default,mongodb-geo-us-south-1-6f7c5cfb6b-f6qlk,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-6f7c5cfb6b-f6qlk,istio-proxy,4,93
default,mongodb-geo-us-west-1-66d7f44946-kxjgf,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-66d7f44946-kxjgf,istio-proxy,5,92
default,mongodb-profile-us-central-1-c7bdfddb4-7rndr,hotel-reserv-profile-mongo,85,172
default,mongodb-profile-us-central-1-c7bdfddb4-7rndr,istio-proxy,144,93
default,mongodb-profile-us-east-1-667df6f87f-mftfq,hotel-reserv-profile-mongo,24,162
default,mongodb-profile-us-east-1-667df6f87f-mftfq,istio-proxy,27,90
default,mongodb-profile-us-south-1-5874c9f56f-k9drw,hotel-reserv-profile-mongo,20,162
default,mongodb-profile-us-south-1-5874c9f56f-k9drw,istio-proxy,24,93
default,mongodb-profile-us-west-1-665776df67-x9wxg,hotel-reserv-profile-mongo,186,180
default,mongodb-profile-us-west-1-665776df67-x9wxg,istio-proxy,147,94
default,mongodb-rate-us-central-1-79c688f974-z22r4,hotel-reserv-rate-mongo,277,166
default,mongodb-rate-us-central-1-79c688f974-z22r4,istio-proxy,73,93
default,mongodb-rate-us-east-1-7f678ccfb5-4nv9w,hotel-reserv-rate-mongo,47,164
default,mongodb-rate-us-east-1-7f678ccfb5-4nv9w,istio-proxy,4,92
default,mongodb-rate-us-south-1-599c48477-r49zx,hotel-reserv-rate-mongo,216,161
default,mongodb-rate-us-south-1-599c48477-r49zx,istio-proxy,21,92
default,mongodb-rate-us-west-1-bcdb968f7-7b6wp,hotel-reserv-rate-mongo,594,168
default,mongodb-rate-us-west-1-bcdb968f7-7b6wp,istio-proxy,5,91
default,mongodb-recommendation-us-central-1-86946c54d-9tklw,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-central-1-86946c54d-9tklw,istio-proxy,5,92
default,mongodb-recommendation-us-east-1-7c5f4c76dd-tbp24,hotel-reserv-recommendation-mongo,4,163
default,mongodb-recommendation-us-east-1-7c5f4c76dd-tbp24,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-67777c7d56-5vrqq,hotel-reserv-recommendation-mongo,3,158
default,mongodb-recommendation-us-south-1-67777c7d56-5vrqq,istio-proxy,4,93
default,mongodb-recommendation-us-west-1-5dbcfffcb5-kx7k6,hotel-reserv-recommendation-mongo,4,160
default,mongodb-recommendation-us-west-1-5dbcfffcb5-kx7k6,istio-proxy,4,95
default,mongodb-reservation-us-central-1-766ccb6dbc-8d47s,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-central-1-766ccb6dbc-8d47s,istio-proxy,5,94
default,mongodb-reservation-us-east-1-655f95499c-9c859,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-east-1-655f95499c-9c859,istio-proxy,4,93
default,mongodb-reservation-us-south-1-5bc68d49dd-lg2hx,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-south-1-5bc68d49dd-lg2hx,istio-proxy,4,94
default,mongodb-reservation-us-west-1-5488c774b8-9vs9g,hotel-reserv-reservation-mongo,4,158
default,mongodb-reservation-us-west-1-5488c774b8-9vs9g,istio-proxy,4,91
default,mongodb-user-us-central-1-5d469d4994-4bfnh,hotel-reserv-user-mongo,4,158
default,mongodb-user-us-central-1-5d469d4994-4bfnh,istio-proxy,5,91
default,mongodb-user-us-east-1-779d545f66-sjts4,hotel-reserv-user-mongo,4,178
default,mongodb-user-us-east-1-779d545f66-sjts4,istio-proxy,4,92
default,mongodb-user-us-south-1-79475fdb-k5csx,hotel-reserv-user-mongo,3,183
default,mongodb-user-us-south-1-79475fdb-k5csx,istio-proxy,4,91
default,mongodb-user-us-west-1-8d58d895f-jtkxv,hotel-reserv-user-mongo,4,206
default,mongodb-user-us-west-1-8d58d895f-jtkxv,istio-proxy,4,92
default,profile-us-central-1-845bc7c4bf-csbdr,hotel-reserv-profile,147,20
default,profile-us-central-1-845bc7c4bf-csbdr,istio-proxy,341,108
default,profile-us-central-1-845bc7c4bf-m8drz,hotel-reserv-profile,223,32
default,profile-us-central-1-845bc7c4bf-m8drz,istio-proxy,278,103
default,profile-us-east-1-576fdbc46f-q22lq,hotel-reserv-profile,10,7
default,profile-us-east-1-576fdbc46f-q22lq,istio-proxy,32,95
default,profile-us-east-1-576fdbc46f-rzzc7,hotel-reserv-profile,12,7
default,profile-us-east-1-576fdbc46f-rzzc7,istio-proxy,71,92
default,profile-us-south-1-857fd7c85-2n77f,hotel-reserv-profile,14,7
default,profile-us-south-1-857fd7c85-2n77f,istio-proxy,75,90
default,profile-us-south-1-857fd7c85-p56pl,hotel-reserv-profile,53,9
default,profile-us-south-1-857fd7c85-p56pl,istio-proxy,100,94
default,profile-us-west-1-7779794778-x2tsc,hotel-reserv-profile,293,30
default,profile-us-west-1-7779794778-x2tsc,istio-proxy,105,95
default,profile-us-west-1-7779794778-xw8bd,hotel-reserv-profile,143,25
default,profile-us-west-1-7779794778-xw8bd,istio-proxy,160,102
default,rate-us-central-1-bb8566c56-lwg94,hotel-reserv-rate,127,13
default,rate-us-central-1-bb8566c56-lwg94,istio-proxy,115,95
default,rate-us-central-1-bb8566c56-tqn8h,hotel-reserv-rate,154,12
default,rate-us-central-1-bb8566c56-tqn8h,istio-proxy,13,95
default,rate-us-east-1-7c69f77b4d-mbpll,hotel-reserv-rate,14,7
default,rate-us-east-1-7c69f77b4d-mbpll,istio-proxy,86,93
default,rate-us-east-1-7c69f77b4d-rdr84,hotel-reserv-rate,7,7
default,rate-us-east-1-7c69f77b4d-rdr84,istio-proxy,32,93
default,rate-us-south-1-54c557bc6c-79sgf,hotel-reserv-rate,4,6
default,rate-us-south-1-54c557bc6c-79sgf,istio-proxy,15,93
default,rate-us-south-1-54c557bc6c-rlh8v,hotel-reserv-rate,124,8
default,rate-us-south-1-54c557bc6c-rlh8v,istio-proxy,71,93
default,rate-us-west-1-59d6ff9b8f-87l44,hotel-reserv-rate,146,14
default,rate-us-west-1-59d6ff9b8f-87l44,istio-proxy,168,92
default,rate-us-west-1-59d6ff9b8f-97mdb,hotel-reserv-rate,72,12
default,rate-us-west-1-59d6ff9b8f-97mdb,istio-proxy,150,94
default,recommendation-us-central-1-544db5b5c7-8vfxk,hotel-reserv-recommendation,0,10
default,recommendation-us-central-1-544db5b5c7-8vfxk,istio-proxy,114,97
default,recommendation-us-central-1-544db5b5c7-htpzv,hotel-reserv-recommendation,23,10
default,recommendation-us-central-1-544db5b5c7-htpzv,istio-proxy,209,96
default,recommendation-us-east-1-68884cf669-dgxhc,hotel-reserv-recommendation,0,10
default,recommendation-us-east-1-68884cf669-dgxhc,istio-proxy,17,92
default,recommendation-us-east-1-68884cf669-kw2j4,hotel-reserv-recommendation,0,10
default,recommendation-us-east-1-68884cf669-kw2j4,istio-proxy,33,94
default,recommendation-us-south-1-7c58556456-4gq6q,hotel-reserv-recommendation,13,8
default,recommendation-us-south-1-7c58556456-4gq6q,istio-proxy,31,91
default,recommendation-us-south-1-7c58556456-qcpgj,hotel-reserv-recommendation,8,7
default,recommendation-us-south-1-7c58556456-qcpgj,istio-proxy,26,92
default,recommendation-us-west-1-7ccd477686-hz7rb,hotel-reserv-recommendation,42,11
default,recommendation-us-west-1-7ccd477686-hz7rb,istio-proxy,161,95
default,recommendation-us-west-1-7ccd477686-hzfk2,hotel-reserv-recommendation,92,18
default,recommendation-us-west-1-7ccd477686-hzfk2,istio-proxy,246,97
default,reservation-us-central-1-7b6884f9-8hbcg,hotel-reserv-reservation,721,44
default,reservation-us-central-1-7b6884f9-8hbcg,istio-proxy,130,99
default,reservation-us-central-1-7b6884f9-gw26x,hotel-reserv-reservation,46,14
default,reservation-us-central-1-7b6884f9-gw26x,istio-proxy,257,105
