Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-794b4d6886-5p22v,consul,13,36
default,consul-794b4d6886-5p22v,istio-proxy,3,96
default,frontend-us-central-1-7fcc866444-krt5s,hotel-reserv-frontend,656,51
default,frontend-us-central-1-7fcc866444-krt5s,istio-proxy,2560,177
default,frontend-us-central-1-7fcc866444-rbm9r,hotel-reserv-frontend,554,52
default,frontend-us-central-1-7fcc866444-rbm9r,istio-proxy,2118,178
default,frontend-us-east-1-6ccc78484d-6vtrx,hotel-reserv-frontend,96,8
default,frontend-us-east-1-6ccc78484d-6vtrx,istio-proxy,238,94
default,frontend-us-east-1-6ccc78484d-gbtgb,hotel-reserv-frontend,95,8
default,frontend-us-east-1-6ccc78484d-gbtgb,istio-proxy,194,98
default,frontend-us-south-1-766798b744-9kjkt,hotel-reserv-frontend,79,7
default,frontend-us-south-1-766798b744-9kjkt,istio-proxy,232,95
default,frontend-us-south-1-766798b744-lst79,hotel-reserv-frontend,74,8
default,frontend-us-south-1-766798b744-lst79,istio-proxy,244,93
default,frontend-us-west-1-947d4d8d4-4hb48,hotel-reserv-frontend,674,36
default,frontend-us-west-1-947d4d8d4-4hb48,istio-proxy,2604,158
default,frontend-us-west-1-947d4d8d4-q5hv2,hotel-reserv-frontend,616,34
default,frontend-us-west-1-947d4d8d4-q5hv2,istio-proxy,2435,156
default,geo-us-central-1-778c894cf5-fhsl8,hotel-reserv-geo,108,12
default,geo-us-central-1-778c894cf5-fhsl8,istio-proxy,270,92
default,geo-us-central-1-778c894cf5-qcs96,hotel-reserv-geo,106,12
default,geo-us-central-1-778c894cf5-qcs96,istio-proxy,236,96
default,geo-us-east-1-5886858fb7-92z6s,hotel-reserv-geo,14,7
default,geo-us-east-1-5886858fb7-92z6s,istio-proxy,26,93
default,geo-us-east-1-5886858fb7-mqqfm,hotel-reserv-geo,14,7
default,geo-us-east-1-5886858fb7-mqqfm,istio-proxy,29,93
default,geo-us-south-1-59c965b7c6-gdlrp,hotel-reserv-geo,13,8
default,geo-us-south-1-59c965b7c6-gdlrp,istio-proxy,27,95
default,geo-us-south-1-59c965b7c6-qdqwm,hotel-reserv-geo,14,7
