Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-645ff478bd-2q5pp,consul,10,34
default,consul-645ff478bd-2q5pp,istio-proxy,3,93
default,frontend-us-central-1-675b484d8c-7nzsd,hotel-reserv-frontend,226,8
default,frontend-us-central-1-675b484d8c-7nzsd,istio-proxy,218,95
default,frontend-us-central-1-675b484d8c-kzbd5,hotel-reserv-frontend,64,8
default,frontend-us-central-1-675b484d8c-kzbd5,istio-proxy,134,93
default,frontend-us-east-1-5f9b897b9b-8wmwr,hotel-reserv-frontend,31,8
default,frontend-us-east-1-5f9b897b9b-8wmwr,istio-proxy,241,94
default,frontend-us-east-1-5f9b897b9b-fl8jh,hotel-reserv-frontend,141,8
default,frontend-us-east-1-5f9b897b9b-fl8jh,istio-proxy,471,96
default,frontend-us-south-1-5d56cbc7bd-4gjfg,hotel-reserv-frontend,165,9
default,frontend-us-south-1-5d56cbc7bd-4gjfg,istio-proxy,368,103
default,frontend-us-south-1-5d56cbc7bd-bssq5,hotel-reserv-frontend,151,8
default,frontend-us-south-1-5d56cbc7bd-bssq5,istio-proxy,598,101
default,frontend-us-west-1-7b766c4c8d-bj4qx,hotel-reserv-frontend,314,31
default,frontend-us-west-1-7b766c4c8d-bj4qx,istio-proxy,1407,164
default,frontend-us-west-1-7b766c4c8d-nkzps,hotel-reserv-frontend,392,50
default,frontend-us-west-1-7b766c4c8d-nkzps,istio-proxy,2402,346
default,geo-us-central-1-6b776bc7f5-7n4mf,hotel-reserv-geo,33,8
default,geo-us-central-1-6b776bc7f5-7n4mf,istio-proxy,44,92
default,geo-us-central-1-6b776bc7f5-wb9s8,hotel-reserv-geo,48,8
default,geo-us-central-1-6b776bc7f5-wb9s8,istio-proxy,63,92
default,geo-us-east-1-8588596599-h4kpz,hotel-reserv-geo,37,8
default,geo-us-east-1-8588596599-h4kpz,istio-proxy,11,92
default,geo-us-east-1-8588596599-kcqrv,hotel-reserv-geo,14,7
default,geo-us-east-1-8588596599-kcqrv,istio-proxy,54,95
default,geo-us-south-1-765cb7756b-gdn6r,hotel-reserv-geo,60,8
default,geo-us-south-1-765cb7756b-gdn6r,istio-proxy,111,93
default,geo-us-south-1-765cb7756b-mvlpk,hotel-reserv-geo,19,7
default,geo-us-south-1-765cb7756b-mvlpk,istio-proxy,75,94
default,geo-us-west-1-74d5b7f84d-9dzdm,hotel-reserv-geo,56,11
default,geo-us-west-1-74d5b7f84d-9dzdm,istio-proxy,126,94
default,geo-us-west-1-74d5b7f84d-wqs7z,hotel-reserv-geo,36,8
default,geo-us-west-1-74d5b7f84d-wqs7z,istio-proxy,39,93
default,jaeger-844d99698d-r5c4t,hotel-reserv-jaeger,296,172
default,jaeger-844d99698d-r5c4t,istio-proxy,4,92
