Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-645ff478bd-2q5pp,consul,13,35
default,consul-645ff478bd-2q5pp,istio-proxy,11,93
default,frontend-us-central-1-675b484d8c-7nzsd,hotel-reserv-frontend,0,3
default,frontend-us-central-1-675b484d8c-7nzsd,istio-proxy,10,93
default,frontend-us-central-1-675b484d8c-kzbd5,hotel-reserv-frontend,0,3
default,frontend-us-central-1-675b484d8c-kzbd5,istio-proxy,9,92
default,frontend-us-east-1-5f9b897b9b-8wmwr,hotel-reserv-frontend,0,5
default,frontend-us-east-1-5f9b897b9b-8wmwr,istio-proxy,12,93
default,frontend-us-east-1-5f9b897b9b-fl8jh,hotel-reserv-frontend,0,6
default,frontend-us-east-1-5f9b897b9b-fl8jh,istio-proxy,10,93
default,frontend-us-south-1-5d56cbc7bd-4gjfg,hotel-reserv-frontend,0,6
default,frontend-us-south-1-5d56cbc7bd-4gjfg,istio-proxy,10,94
default,frontend-us-south-1-5d56cbc7bd-bssq5,hotel-reserv-frontend,0,5
default,frontend-us-south-1-5d56cbc7bd-bssq5,istio-proxy,10,92
default,frontend-us-west-1-7b766c4c8d-bj4qx,hotel-reserv-frontend,0,18
default,frontend-us-west-1-7b766c4c8d-bj4qx,istio-proxy,9,126
default,frontend-us-west-1-7b766c4c8d-nkzps,hotel-reserv-frontend,0,15
default,frontend-us-west-1-7b766c4c8d-nkzps,istio-proxy,10,125
default,geo-us-central-1-6b776bc7f5-7n4mf,hotel-reserv-geo,0,6
default,geo-us-central-1-6b776bc7f5-7n4mf,istio-proxy,11,91
default,geo-us-central-1-6b776bc7f5-wb9s8,hotel-reserv-geo,0,6
default,geo-us-central-1-6b776bc7f5-wb9s8,istio-proxy,10,92
default,geo-us-east-1-8588596599-h4kpz,hotel-reserv-geo,0,6
default,geo-us-east-1-8588596599-h4kpz,istio-proxy,10,92
default,geo-us-east-1-8588596599-kcqrv,hotel-reserv-geo,0,7
default,geo-us-east-1-8588596599-kcqrv,istio-proxy,12,94
default,geo-us-south-1-765cb7756b-gdn6r,hotel-reserv-geo,0,6
default,geo-us-south-1-765cb7756b-gdn6r,istio-proxy,10,93
default,geo-us-south-1-765cb7756b-mvlpk,hotel-reserv-geo,0,6
default,geo-us-south-1-765cb7756b-mvlpk,istio-proxy,10,93
default,geo-us-west-1-74d5b7f84d-9dzdm,hotel-reserv-geo,0,9
default,geo-us-west-1-74d5b7f84d-9dzdm,istio-proxy,10,93
default,geo-us-west-1-74d5b7f84d-wqs7z,hotel-reserv-geo,0,9
default,geo-us-west-1-74d5b7f84d-wqs7z,istio-proxy,10,92
default,jaeger-844d99698d-r5c4t,hotel-reserv-jaeger,0,15
default,jaeger-844d99698d-r5c4t,istio-proxy,8,92
default,memcached-profile-us-central-1-899d7754b-x4hhq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-899d7754b-x4hhq,istio-proxy,11,92
default,memcached-profile-us-central-1-899d7754b-z7vdp,hotel-reserv-profile-mmc,0,1
