Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-755759f8d5-kfkkm,consul,9,34
default,consul-755759f8d5-kfkkm,istio-proxy,3,92
default,frontend-us-central-1-7669dc4477-db5s2,hotel-reserv-frontend,22,7
default,frontend-us-central-1-7669dc4477-db5s2,istio-proxy,13,93
default,frontend-us-central-1-7669dc4477-hxsbp,hotel-reserv-frontend,86,8
default,frontend-us-central-1-7669dc4477-hxsbp,istio-proxy,247,95
default,frontend-us-east-1-5d696496f9-cfttj,hotel-reserv-frontend,99,8
default,frontend-us-east-1-5d696496f9-cfttj,istio-proxy,4,92
default,frontend-us-east-1-5d696496f9-tj777,hotel-reserv-frontend,65,7
default,frontend-us-east-1-5d696496f9-tj777,istio-proxy,3,94
default,frontend-us-south-1-7cc5df9d49-6snr4,hotel-reserv-frontend,8,6
default,frontend-us-south-1-7cc5df9d49-6snr4,istio-proxy,3,93
default,frontend-us-south-1-7cc5df9d49-wllhs,hotel-reserv-frontend,8,7
default,frontend-us-south-1-7cc5df9d49-wllhs,istio-proxy,210,96
default,frontend-us-west-1-9c44548b7-jxzd2,hotel-reserv-frontend,0,65
default,frontend-us-west-1-9c44548b7-jxzd2,istio-proxy,749,262
default,frontend-us-west-1-9c44548b7-t5dxz,hotel-reserv-frontend,223,68
default,frontend-us-west-1-9c44548b7-t5dxz,istio-proxy,913,304
default,geo-us-central-1-68fd6696c8-84tv5,hotel-reserv-geo,0,6
default,geo-us-central-1-68fd6696c8-84tv5,istio-proxy,20,94
default,geo-us-central-1-68fd6696c8-rktjp,hotel-reserv-geo,0,6
default,geo-us-central-1-68fd6696c8-rktjp,istio-proxy,45,93
default,geo-us-east-1-9b944b6ff-gk8wx,hotel-reserv-geo,8,7
default,geo-us-east-1-9b944b6ff-gk8wx,istio-proxy,19,94
default,geo-us-east-1-9b944b6ff-ql265,hotel-reserv-geo,0,5
default,geo-us-east-1-9b944b6ff-ql265,istio-proxy,34,93
default,geo-us-south-1-6d6d49794c-d5xrs,hotel-reserv-geo,4,6
default,geo-us-south-1-6d6d49794c-d5xrs,istio-proxy,4,91
default,geo-us-south-1-6d6d49794c-dnlkh,hotel-reserv-geo,1,5
default,geo-us-south-1-6d6d49794c-dnlkh,istio-proxy,3,90
default,geo-us-west-1-85c4dccd59-jm8hj,hotel-reserv-geo,0,6
