Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5c84845c9d-xvhkt,consul,10,35
default,consul-5c84845c9d-xvhkt,istio-proxy,3,95
default,frontend-us-central-1-5f76cf6c4f-bllks,hotel-reserv-frontend,97,7
default,frontend-us-central-1-5f76cf6c4f-bllks,istio-proxy,80,93
default,frontend-us-central-1-5f76cf6c4f-n7njr,hotel-reserv-frontend,51,7
default,frontend-us-central-1-5f76cf6c4f-n7njr,istio-proxy,80,94
default,frontend-us-east-1-5dcd75558d-bg7hf,hotel-reserv-frontend,192,8
default,frontend-us-east-1-5dcd75558d-bg7hf,istio-proxy,137,93
default,frontend-us-east-1-5dcd75558d-xflpw,hotel-reserv-frontend,139,8
default,frontend-us-east-1-5dcd75558d-xflpw,istio-proxy,283,93
default,frontend-us-south-1-84d5f9c7cb-5nnnq,hotel-reserv-frontend,51,8
default,frontend-us-south-1-84d5f9c7cb-5nnnq,istio-proxy,4,92
default,frontend-us-south-1-84d5f9c7cb-fsbkf,hotel-reserv-frontend,96,8
default,frontend-us-south-1-84d5f9c7cb-fsbkf,istio-proxy,67,96
default,frontend-us-west-1-59fb4bbc4d-r6lkc,hotel-reserv-frontend,146,11
default,frontend-us-west-1-59fb4bbc4d-r6lkc,istio-proxy,31,94
default,frontend-us-west-1-59fb4bbc4d-vg672,hotel-reserv-frontend,0,4
default,frontend-us-west-1-59fb4bbc4d-vg672,istio-proxy,2767,513
default,geo-us-central-1-fc8b6ccc5-4kvnl,hotel-reserv-geo,22,7
default,geo-us-central-1-fc8b6ccc5-4kvnl,istio-proxy,15,92
default,geo-us-central-1-fc8b6ccc5-gtnp2,hotel-reserv-geo,10,7
default,geo-us-central-1-fc8b6ccc5-gtnp2,istio-proxy,51,94
default,geo-us-east-1-7f468d45db-2xvms,hotel-reserv-geo,19,7
default,geo-us-east-1-7f468d45db-2xvms,istio-proxy,55,92
default,geo-us-east-1-7f468d45db-sz5b4,hotel-reserv-geo,19,7
default,geo-us-east-1-7f468d45db-sz5b4,istio-proxy,23,93
default,geo-us-south-1-5849bb4468-hn2rz,hotel-reserv-geo,16,8
default,geo-us-south-1-5849bb4468-hn2rz,istio-proxy,5,92
default,geo-us-south-1-5849bb4468-mw48g,hotel-reserv-geo,11,7
default,geo-us-south-1-5849bb4468-mw48g,istio-proxy,26,91
default,geo-us-west-1-6d6bdc4bcd-855cb,hotel-reserv-geo,80,13
default,geo-us-west-1-6d6bdc4bcd-855cb,istio-proxy,74,93
default,geo-us-west-1-6d6bdc4bcd-jrwfv,hotel-reserv-geo,33,10
default,geo-us-west-1-6d6bdc4bcd-jrwfv,istio-proxy,115,94
default,jaeger-5849c99586-tz92k,hotel-reserv-jaeger,191,124
default,jaeger-5849c99586-tz92k,istio-proxy,4,93
default,memcached-profile-us-central-1-65564769d-5n89t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-65564769d-5n89t,istio-proxy,4,93
default,memcached-profile-us-central-1-65564769d-ncnbz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-65564769d-ncnbz,istio-proxy,4,93
default,memcached-profile-us-east-1-7645bd4bf6-jv6nq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7645bd4bf6-jv6nq,istio-proxy,4,92
default,memcached-profile-us-east-1-7645bd4bf6-w7qhw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7645bd4bf6-w7qhw,istio-proxy,4,91
default,memcached-profile-us-south-1-5fb7d69d46-hppwz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fb7d69d46-hppwz,istio-proxy,3,91
default,memcached-profile-us-south-1-5fb7d69d46-tj7n4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5fb7d69d46-tj7n4,istio-proxy,4,94
default,memcached-profile-us-west-1-66d9f54bfb-qsnk4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9f54bfb-qsnk4,istio-proxy,4,91
default,memcached-profile-us-west-1-66d9f54bfb-vl9p4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66d9f54bfb-vl9p4,istio-proxy,5,92
default,memcached-rate-us-central-1-6ccf48688d-r2d9p,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6ccf48688d-r2d9p,istio-proxy,4,90
default,memcached-rate-us-central-1-6ccf48688d-vfzz5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6ccf48688d-vfzz5,istio-proxy,4,95
default,memcached-rate-us-east-1-75dcf5d7ff-jrj8f,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-75dcf5d7ff-jrj8f,istio-proxy,4,92
default,memcached-rate-us-east-1-75dcf5d7ff-lhggm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-75dcf5d7ff-lhggm,istio-proxy,4,93
default,memcached-rate-us-south-1-5756564985-dv7db,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5756564985-dv7db,istio-proxy,4,91
default,memcached-rate-us-south-1-5756564985-wxrzv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5756564985-wxrzv,istio-proxy,5,90
default,memcached-rate-us-west-1-774dcb675f-8gdg5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-774dcb675f-8gdg5,istio-proxy,5,92
default,memcached-rate-us-west-1-774dcb675f-q55s9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-774dcb675f-q55s9,istio-proxy,5,91
default,memcached-reserve-us-central-1-6f546f946f-28qjv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6f546f946f-28qjv,istio-proxy,4,94
default,memcached-reserve-us-central-1-6f546f946f-b57d7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6f546f946f-b57d7,istio-proxy,4,90
default,memcached-reserve-us-east-1-64474cfd77-6m92c,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-64474cfd77-6m92c,istio-proxy,4,92
default,memcached-reserve-us-east-1-64474cfd77-zjq7w,hotel-reserv-reservation-mmc,0,1
