Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-89bbd4fc9-twf85,consul,10,35
default,consul-89bbd4fc9-twf85,istio-proxy,3,93
default,frontend-us-central-1-5d966f7f48-gdrns,hotel-reserv-frontend,90,8
default,frontend-us-central-1-5d966f7f48-gdrns,istio-proxy,23,91
default,frontend-us-central-1-5d966f7f48-vtpmx,hotel-reserv-frontend,185,8
default,frontend-us-central-1-5d966f7f48-vtpmx,istio-proxy,141,93
default,frontend-us-east-1-7d44d584fb-m6pjx,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d44d584fb-m6pjx,istio-proxy,201,94
default,frontend-us-east-1-7d44d584fb-x2922,hotel-reserv-frontend,115,8
default,frontend-us-east-1-7d44d584fb-x2922,istio-proxy,361,92
default,frontend-us-south-1-7849978d79-rn6mp,hotel-reserv-frontend,26,7
default,frontend-us-south-1-7849978d79-rn6mp,istio-proxy,276,96
default,frontend-us-south-1-7849978d79-tsjqs,hotel-reserv-frontend,84,8
default,frontend-us-south-1-7849978d79-tsjqs,istio-proxy,434,96
default,frontend-us-west-1-d45d646df-bxpkg,hotel-reserv-frontend,431,9
default,frontend-us-west-1-d45d646df-bxpkg,istio-proxy,1217,98
default,frontend-us-west-1-d45d646df-mtg5q,hotel-reserv-frontend,601,9
default,frontend-us-west-1-d45d646df-mtg5q,istio-proxy,734,97
default,geo-us-central-1-858654d444-7mpqr,hotel-reserv-geo,16,7
default,geo-us-central-1-858654d444-7mpqr,istio-proxy,14,93
default,geo-us-central-1-858654d444-hzdd2,hotel-reserv-geo,8,7
default,geo-us-central-1-858654d444-hzdd2,istio-proxy,31,93
default,geo-us-east-1-f75cb7577-6z98f,hotel-reserv-geo,16,8
default,geo-us-east-1-f75cb7577-6z98f,istio-proxy,44,94
default,geo-us-east-1-f75cb7577-bpfsq,hotel-reserv-geo,13,7
default,geo-us-east-1-f75cb7577-bpfsq,istio-proxy,16,93
default,geo-us-south-1-86f578d55c-85fs8,hotel-reserv-geo,8,7
default,geo-us-south-1-86f578d55c-85fs8,istio-proxy,29,96
default,geo-us-south-1-86f578d55c-zmwd7,hotel-reserv-geo,11,7
default,geo-us-south-1-86f578d55c-zmwd7,istio-proxy,7,92
default,geo-us-west-1-b66bbcfc-mc5hb,hotel-reserv-geo,88,8
default,geo-us-west-1-b66bbcfc-mc5hb,istio-proxy,176,94
default,geo-us-west-1-b66bbcfc-wmgb8,hotel-reserv-geo,51,8
default,geo-us-west-1-b66bbcfc-wmgb8,istio-proxy,64,91
default,jaeger-75bc4d97d5-79nfz,hotel-reserv-jaeger,70,51
default,jaeger-75bc4d97d5-79nfz,istio-proxy,3,94
default,memcached-profile-us-central-1-6f4589bc7c-c2pqc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4589bc7c-c2pqc,istio-proxy,4,91
default,memcached-profile-us-central-1-6f4589bc7c-m2kkq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4589bc7c-m2kkq,istio-proxy,4,92
default,memcached-profile-us-east-1-bc9bbd8d9-nslxk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bc9bbd8d9-nslxk,istio-proxy,7,94
default,memcached-profile-us-east-1-bc9bbd8d9-vb6rk,hotel-reserv-profile-mmc,0,1
