Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-89bbd4fc9-twf85,consul,11,35
default,consul-89bbd4fc9-twf85,istio-proxy,6,93
default,frontend-us-central-1-5d966f7f48-gdrns,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5d966f7f48-gdrns,istio-proxy,7,90
default,frontend-us-central-1-5d966f7f48-vtpmx,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5d966f7f48-vtpmx,istio-proxy,6,92
default,frontend-us-east-1-7d44d584fb-m6pjx,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d44d584fb-m6pjx,istio-proxy,7,93
default,frontend-us-east-1-7d44d584fb-x2922,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7d44d584fb-x2922,istio-proxy,6,90
default,frontend-us-south-1-7849978d79-rn6mp,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7849978d79-rn6mp,istio-proxy,6,94
default,frontend-us-south-1-7849978d79-tsjqs,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7849978d79-tsjqs,istio-proxy,7,94
default,frontend-us-west-1-d45d646df-bxpkg,hotel-reserv-frontend,0,4
default,frontend-us-west-1-d45d646df-bxpkg,istio-proxy,7,91
default,frontend-us-west-1-d45d646df-mtg5q,hotel-reserv-frontend,0,4
default,frontend-us-west-1-d45d646df-mtg5q,istio-proxy,7,92
default,geo-us-central-1-858654d444-7mpqr,hotel-reserv-geo,0,6
default,geo-us-central-1-858654d444-7mpqr,istio-proxy,7,93
default,geo-us-central-1-858654d444-hzdd2,hotel-reserv-geo,0,8
default,geo-us-central-1-858654d444-hzdd2,istio-proxy,7,93
default,geo-us-east-1-f75cb7577-6z98f,hotel-reserv-geo,0,6
default,geo-us-east-1-f75cb7577-6z98f,istio-proxy,6,93
default,geo-us-east-1-f75cb7577-bpfsq,hotel-reserv-geo,0,6
default,geo-us-east-1-f75cb7577-bpfsq,istio-proxy,6,93
default,geo-us-south-1-86f578d55c-85fs8,hotel-reserv-geo,0,6
default,geo-us-south-1-86f578d55c-85fs8,istio-proxy,6,95
default,geo-us-south-1-86f578d55c-zmwd7,hotel-reserv-geo,0,7
default,geo-us-south-1-86f578d55c-zmwd7,istio-proxy,6,92
default,geo-us-west-1-b66bbcfc-mc5hb,hotel-reserv-geo,0,6
default,geo-us-west-1-b66bbcfc-mc5hb,istio-proxy,8,93
default,geo-us-west-1-b66bbcfc-wmgb8,hotel-reserv-geo,0,6
default,geo-us-west-1-b66bbcfc-wmgb8,istio-proxy,6,91
default,jaeger-75bc4d97d5-79nfz,hotel-reserv-jaeger,0,10
default,jaeger-75bc4d97d5-79nfz,istio-proxy,6,93
default,memcached-profile-us-central-1-6f4589bc7c-c2pqc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4589bc7c-c2pqc,istio-proxy,7,92
default,memcached-profile-us-central-1-6f4589bc7c-m2kkq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-6f4589bc7c-m2kkq,istio-proxy,6,92
default,memcached-profile-us-east-1-bc9bbd8d9-nslxk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bc9bbd8d9-nslxk,istio-proxy,5,94
default,memcached-profile-us-east-1-bc9bbd8d9-vb6rk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bc9bbd8d9-vb6rk,istio-proxy,8,93
default,memcached-profile-us-south-1-76f7c55769-2v9hd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-76f7c55769-2v9hd,istio-proxy,6,90
default,memcached-profile-us-south-1-76f7c55769-dngtc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-76f7c55769-dngtc,istio-proxy,8,90
default,memcached-profile-us-west-1-7fcfbc985-4zd6b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7fcfbc985-4zd6b,istio-proxy,7,91
default,memcached-profile-us-west-1-7fcfbc985-lnvbr,hotel-reserv-profile-mmc,0,1
