Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-77f68bb9ff-5kwrf,consul,10,36
default,consul-77f68bb9ff-5kwrf,istio-proxy,3,93
default,frontend-us-central-1-688b579ff6-lkqs4,hotel-reserv-frontend,262,8
default,frontend-us-central-1-688b579ff6-lkqs4,istio-proxy,642,96
default,frontend-us-central-1-688b579ff6-r5frs,hotel-reserv-frontend,267,9
default,frontend-us-central-1-688b579ff6-r5frs,istio-proxy,632,96
default,frontend-us-east-1-855c4b9f84-rwf58,hotel-reserv-frontend,189,11
default,frontend-us-east-1-855c4b9f84-rwf58,istio-proxy,463,100
default,frontend-us-east-1-855c4b9f84-tll2r,hotel-reserv-frontend,197,8
default,frontend-us-east-1-855c4b9f84-tll2r,istio-proxy,429,97
default,frontend-us-south-1-7597c7bd7b-8hbt5,hotel-reserv-frontend,246,8
default,frontend-us-south-1-7597c7bd7b-8hbt5,istio-proxy,611,94
default,frontend-us-south-1-7597c7bd7b-9l48w,hotel-reserv-frontend,252,8
default,frontend-us-south-1-7597c7bd7b-9l48w,istio-proxy,617,96
default,frontend-us-west-1-689d5787b5-96sxt,hotel-reserv-frontend,599,16
default,frontend-us-west-1-689d5787b5-96sxt,istio-proxy,1728,115
default,frontend-us-west-1-689d5787b5-pxvm7,hotel-reserv-frontend,637,22
default,frontend-us-west-1-689d5787b5-pxvm7,istio-proxy,1849,122
default,geo-us-central-1-7df86bd948-lgk6p,hotel-reserv-geo,50,8
default,geo-us-central-1-7df86bd948-lgk6p,istio-proxy,92,93
default,geo-us-central-1-7df86bd948-m55xm,hotel-reserv-geo,49,8
default,geo-us-central-1-7df86bd948-m55xm,istio-proxy,99,93
default,geo-us-east-1-5768456bc8-6llfr,hotel-reserv-geo,17,8
default,geo-us-east-1-5768456bc8-6llfr,istio-proxy,54,93
default,geo-us-east-1-5768456bc8-p8dqx,hotel-reserv-geo,25,8
default,geo-us-east-1-5768456bc8-p8dqx,istio-proxy,30,91
default,geo-us-south-1-55645b896d-nvwb4,hotel-reserv-geo,47,8
default,geo-us-south-1-55645b896d-nvwb4,istio-proxy,96,93
default,geo-us-south-1-55645b896d-tp84h,hotel-reserv-geo,49,8
default,geo-us-south-1-55645b896d-tp84h,istio-proxy,88,94
default,geo-us-west-1-6ccc74bc68-bgs9r,hotel-reserv-geo,71,8
default,geo-us-west-1-6ccc74bc68-bgs9r,istio-proxy,140,93
default,geo-us-west-1-6ccc74bc68-mbl9k,hotel-reserv-geo,75,8
default,geo-us-west-1-6ccc74bc68-mbl9k,istio-proxy,146,92
default,jaeger-94c57b6d-2pg4p,hotel-reserv-jaeger,275,320
default,jaeger-94c57b6d-2pg4p,istio-proxy,4,94
default,memcached-profile-us-central-1-769f78bcbf-rm7mz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-769f78bcbf-rm7mz,istio-proxy,4,91
default,memcached-profile-us-central-1-769f78bcbf-v5szk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-769f78bcbf-v5szk,istio-proxy,4,90
default,memcached-profile-us-east-1-bdf4865d5-7frn5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bdf4865d5-7frn5,istio-proxy,3,90
default,memcached-profile-us-east-1-bdf4865d5-gjq4v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bdf4865d5-gjq4v,istio-proxy,4,95
default,memcached-profile-us-south-1-59ddcb4ff4-dkjjt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59ddcb4ff4-dkjjt,istio-proxy,4,93
default,memcached-profile-us-south-1-59ddcb4ff4-zw6vk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59ddcb4ff4-zw6vk,istio-proxy,4,91
default,memcached-profile-us-west-1-77977479d4-9hrbz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77977479d4-9hrbz,istio-proxy,5,92
default,memcached-profile-us-west-1-77977479d4-tpqs2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77977479d4-tpqs2,istio-proxy,5,92
default,memcached-rate-us-central-1-6b7975d544-68wtf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b7975d544-68wtf,istio-proxy,4,91
default,memcached-rate-us-central-1-6b7975d544-6fl5j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b7975d544-6fl5j,istio-proxy,4,92
default,memcached-rate-us-east-1-c5594cc6-pz285,hotel-reserv-rate-mmc,0,1
