Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-77f68bb9ff-5kwrf,consul,12,37
default,consul-77f68bb9ff-5kwrf,istio-proxy,3,93
default,frontend-us-central-1-688b579ff6-lkqs4,hotel-reserv-frontend,180,8
default,frontend-us-central-1-688b579ff6-lkqs4,istio-proxy,206,94
default,frontend-us-central-1-688b579ff6-r5frs,hotel-reserv-frontend,140,8
default,frontend-us-central-1-688b579ff6-r5frs,istio-proxy,386,94
default,frontend-us-east-1-855c4b9f84-rwf58,hotel-reserv-frontend,196,8
default,frontend-us-east-1-855c4b9f84-rwf58,istio-proxy,492,94
default,frontend-us-east-1-855c4b9f84-tll2r,hotel-reserv-frontend,182,8
default,frontend-us-east-1-855c4b9f84-tll2r,istio-proxy,468,93
default,frontend-us-south-1-7597c7bd7b-8hbt5,hotel-reserv-frontend,149,8
default,frontend-us-south-1-7597c7bd7b-8hbt5,istio-proxy,646,94
default,frontend-us-south-1-7597c7bd7b-9l48w,hotel-reserv-frontend,59,8
default,frontend-us-south-1-7597c7bd7b-9l48w,istio-proxy,665,94
default,frontend-us-west-1-689d5787b5-96sxt,hotel-reserv-frontend,603,15
default,frontend-us-west-1-689d5787b5-96sxt,istio-proxy,1021,111
default,frontend-us-west-1-689d5787b5-pxvm7,hotel-reserv-frontend,522,21
default,frontend-us-west-1-689d5787b5-pxvm7,istio-proxy,1350,119
default,geo-us-central-1-7df86bd948-lgk6p,hotel-reserv-geo,33,8
default,geo-us-central-1-7df86bd948-lgk6p,istio-proxy,55,93
default,geo-us-central-1-7df86bd948-m55xm,hotel-reserv-geo,50,8
default,geo-us-central-1-7df86bd948-m55xm,istio-proxy,84,94
default,geo-us-east-1-5768456bc8-6llfr,hotel-reserv-geo,27,8
default,geo-us-east-1-5768456bc8-6llfr,istio-proxy,42,94
default,geo-us-east-1-5768456bc8-p8dqx,hotel-reserv-geo,15,7
default,geo-us-east-1-5768456bc8-p8dqx,istio-proxy,52,93
default,geo-us-south-1-55645b896d-nvwb4,hotel-reserv-geo,49,8
default,geo-us-south-1-55645b896d-nvwb4,istio-proxy,96,93
default,geo-us-south-1-55645b896d-tp84h,hotel-reserv-geo,9,7
default,geo-us-south-1-55645b896d-tp84h,istio-proxy,101,94
default,geo-us-west-1-6ccc74bc68-bgs9r,hotel-reserv-geo,70,8
default,geo-us-west-1-6ccc74bc68-bgs9r,istio-proxy,165,93
default,geo-us-west-1-6ccc74bc68-mbl9k,hotel-reserv-geo,77,8
default,geo-us-west-1-6ccc74bc68-mbl9k,istio-proxy,148,92
default,jaeger-94c57b6d-2pg4p,hotel-reserv-jaeger,119,68
default,jaeger-94c57b6d-2pg4p,istio-proxy,4,95
default,memcached-profile-us-central-1-769f78bcbf-rm7mz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-769f78bcbf-rm7mz,istio-proxy,4,91
default,memcached-profile-us-central-1-769f78bcbf-v5szk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-769f78bcbf-v5szk,istio-proxy,4,90
default,memcached-profile-us-east-1-bdf4865d5-7frn5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bdf4865d5-7frn5,istio-proxy,4,90
default,memcached-profile-us-east-1-bdf4865d5-gjq4v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-bdf4865d5-gjq4v,istio-proxy,4,95
default,memcached-profile-us-south-1-59ddcb4ff4-dkjjt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59ddcb4ff4-dkjjt,istio-proxy,4,93
default,memcached-profile-us-south-1-59ddcb4ff4-zw6vk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-59ddcb4ff4-zw6vk,istio-proxy,4,91
default,memcached-profile-us-west-1-77977479d4-9hrbz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77977479d4-9hrbz,istio-proxy,4,93
default,memcached-profile-us-west-1-77977479d4-tpqs2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-77977479d4-tpqs2,istio-proxy,4,92
default,memcached-rate-us-central-1-6b7975d544-68wtf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b7975d544-68wtf,istio-proxy,4,91
default,memcached-rate-us-central-1-6b7975d544-6fl5j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6b7975d544-6fl5j,istio-proxy,4,92
default,memcached-rate-us-east-1-c5594cc6-pz285,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-c5594cc6-pz285,istio-proxy,3,92
default,memcached-rate-us-east-1-c5594cc6-rsc6q,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-c5594cc6-rsc6q,istio-proxy,4,93
default,memcached-rate-us-south-1-54776df85b-j4xh8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-54776df85b-j4xh8,istio-proxy,4,91
default,memcached-rate-us-south-1-54776df85b-qkvrj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-54776df85b-qkvrj,istio-proxy,4,91
default,memcached-rate-us-west-1-6dc4454cf7-ppmhb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6dc4454cf7-ppmhb,istio-proxy,5,94
default,memcached-rate-us-west-1-6dc4454cf7-z8vmg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6dc4454cf7-z8vmg,istio-proxy,4,91
default,memcached-reserve-us-central-1-78fb45786c-9wmbx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-78fb45786c-9wmbx,istio-proxy,4,91
default,memcached-reserve-us-central-1-78fb45786c-dtv2w,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-78fb45786c-dtv2w,istio-proxy,3,92
default,memcached-reserve-us-east-1-779b4796bf-jn44h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-779b4796bf-jn44h,istio-proxy,4,92
default,memcached-reserve-us-east-1-779b4796bf-p6smq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-779b4796bf-p6smq,istio-proxy,4,92
default,memcached-reserve-us-south-1-7564567bf6-5z4vl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7564567bf6-5z4vl,istio-proxy,4,91
default,memcached-reserve-us-south-1-7564567bf6-zk425,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7564567bf6-zk425,istio-proxy,4,91
default,memcached-reserve-us-west-1-dfbf9fb56-5lq4c,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-dfbf9fb56-5lq4c,istio-proxy,4,90
default,memcached-reserve-us-west-1-dfbf9fb56-wdbn8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-dfbf9fb56-wdbn8,istio-proxy,4,93
default,mongodb-geo-us-central-1-5969dfd999-wbndx,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-5969dfd999-wbndx,istio-proxy,4,94
default,mongodb-geo-us-east-1-6d77ff7697-zpmxq,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-east-1-6d77ff7697-zpmxq,istio-proxy,4,91
default,mongodb-geo-us-south-1-567776f9d7-vdwf8,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-567776f9d7-vdwf8,istio-proxy,4,93
default,mongodb-geo-us-west-1-5db46fdd8-dxh95,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-5db46fdd8-dxh95,istio-proxy,4,93
default,mongodb-profile-us-central-1-6c9759c9b6-96j59,hotel-reserv-profile-mongo,78,163
default,mongodb-profile-us-central-1-6c9759c9b6-96j59,istio-proxy,44,91
default,mongodb-profile-us-east-1-6865686cfd-9nk84,hotel-reserv-profile-mongo,34,163
default,mongodb-profile-us-east-1-6865686cfd-9nk84,istio-proxy,39,93
default,mongodb-profile-us-south-1-9898f8695-7wmfv,hotel-reserv-profile-mongo,78,163
default,mongodb-profile-us-south-1-9898f8695-7wmfv,istio-proxy,14,93
default,mongodb-profile-us-west-1-6c59568b4f-67b9q,hotel-reserv-profile-mongo,177,167
