Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-864c8c57df-v7nnf,consul,10,33
default,consul-864c8c57df-v7nnf,istio-proxy,3,92
default,frontend-us-central-1-549d94bf59-8zz25,hotel-reserv-frontend,38,8
default,frontend-us-central-1-549d94bf59-8zz25,istio-proxy,4,92
default,frontend-us-central-1-549d94bf59-pb9fv,hotel-reserv-frontend,151,8
default,frontend-us-central-1-549d94bf59-pb9fv,istio-proxy,57,95
default,frontend-us-east-1-7fc9548697-bg54f,hotel-reserv-frontend,85,8
default,frontend-us-east-1-7fc9548697-bg54f,istio-proxy,350,94
default,frontend-us-east-1-7fc9548697-nnm88,hotel-reserv-frontend,0,5
default,frontend-us-east-1-7fc9548697-nnm88,istio-proxy,3,91
default,frontend-us-south-1-c74767895-f9lg8,hotel-reserv-frontend,138,8
default,frontend-us-south-1-c74767895-f9lg8,istio-proxy,247,96
default,frontend-us-south-1-c74767895-pwb2s,hotel-reserv-frontend,70,8
default,frontend-us-south-1-c74767895-pwb2s,istio-proxy,36,94
default,frontend-us-west-1-75cf9fd764-lnq5x,hotel-reserv-frontend,0,8
default,frontend-us-west-1-75cf9fd764-lnq5x,istio-proxy,734,104
default,frontend-us-west-1-75cf9fd764-vmzsl,hotel-reserv-frontend,14,11
default,frontend-us-west-1-75cf9fd764-vmzsl,istio-proxy,497,103
default,geo-us-central-1-5957d5f559-qzphq,hotel-reserv-geo,0,6
default,geo-us-central-1-5957d5f559-qzphq,istio-proxy,17,92
default,geo-us-central-1-5957d5f559-zwkmr,hotel-reserv-geo,4,7
default,geo-us-central-1-5957d5f559-zwkmr,istio-proxy,14,92
default,geo-us-east-1-68f5cc94dc-bcr9f,hotel-reserv-geo,0,6
default,geo-us-east-1-68f5cc94dc-bcr9f,istio-proxy,36,94
default,geo-us-east-1-68f5cc94dc-xvz5v,hotel-reserv-geo,2,7
default,geo-us-east-1-68f5cc94dc-xvz5v,istio-proxy,26,92
default,geo-us-south-1-5999457786-dczvj,hotel-reserv-geo,2,6
default,geo-us-south-1-5999457786-dczvj,istio-proxy,25,92
default,geo-us-south-1-5999457786-wxz6d,hotel-reserv-geo,0,6
default,geo-us-south-1-5999457786-wxz6d,istio-proxy,20,93
default,geo-us-west-1-7597c4dcb8-275s6,hotel-reserv-geo,38,8
default,geo-us-west-1-7597c4dcb8-275s6,istio-proxy,71,93
default,geo-us-west-1-7597c4dcb8-ghhj7,hotel-reserv-geo,41,8
default,geo-us-west-1-7597c4dcb8-ghhj7,istio-proxy,116,92
default,jaeger-54cdcfd89b-s92sw,hotel-reserv-jaeger,120,80
default,jaeger-54cdcfd89b-s92sw,istio-proxy,4,95
default,memcached-profile-us-central-1-646f5f57f4-b4w5g,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-646f5f57f4-b4w5g,istio-proxy,4,91
default,memcached-profile-us-central-1-646f5f57f4-sp8n2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-646f5f57f4-sp8n2,istio-proxy,4,91
default,memcached-profile-us-east-1-6746d945b-f4c62,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6746d945b-f4c62,istio-proxy,4,93
default,memcached-profile-us-east-1-6746d945b-wc2ch,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6746d945b-wc2ch,istio-proxy,4,92
default,memcached-profile-us-south-1-76ccbfd898-45x2k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-76ccbfd898-45x2k,istio-proxy,4,91
default,memcached-profile-us-south-1-76ccbfd898-5fmf8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-76ccbfd898-5fmf8,istio-proxy,4,92
default,memcached-profile-us-west-1-6bd5555464-r9gvt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6bd5555464-r9gvt,istio-proxy,4,91
default,memcached-profile-us-west-1-6bd5555464-vszhh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6bd5555464-vszhh,istio-proxy,4,92
default,memcached-rate-us-central-1-6d9964666c-d26hz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d9964666c-d26hz,istio-proxy,4,94
default,memcached-rate-us-central-1-6d9964666c-x57xw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d9964666c-x57xw,istio-proxy,4,93
default,memcached-rate-us-east-1-558cf56f57-fldmp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-558cf56f57-fldmp,istio-proxy,4,93
default,memcached-rate-us-east-1-558cf56f57-prx2d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-558cf56f57-prx2d,istio-proxy,4,90
default,memcached-rate-us-south-1-568f6ff4d7-nwfkq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-568f6ff4d7-nwfkq,istio-proxy,4,91
default,memcached-rate-us-south-1-568f6ff4d7-xqcn9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-568f6ff4d7-xqcn9,istio-proxy,4,92
default,memcached-rate-us-west-1-6f7d646cb5-6mgzk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6f7d646cb5-6mgzk,istio-proxy,4,93
default,memcached-rate-us-west-1-6f7d646cb5-dhqcq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6f7d646cb5-dhqcq,istio-proxy,4,92
default,memcached-reserve-us-central-1-6d6d99cd48-9wxbw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d6d99cd48-9wxbw,istio-proxy,4,91
default,memcached-reserve-us-central-1-6d6d99cd48-ptlj5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-6d6d99cd48-ptlj5,istio-proxy,4,92
default,memcached-reserve-us-east-1-77d44fbffb-bmngs,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-77d44fbffb-bmngs,istio-proxy,3,92
default,memcached-reserve-us-east-1-77d44fbffb-zg464,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-77d44fbffb-zg464,istio-proxy,4,91
default,memcached-reserve-us-south-1-78c8b7fc68-lkhfd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78c8b7fc68-lkhfd,istio-proxy,5,92
default,memcached-reserve-us-south-1-78c8b7fc68-sc4vm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78c8b7fc68-sc4vm,istio-proxy,4,91
default,memcached-reserve-us-west-1-9776bf85b-bwzbs,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-9776bf85b-bwzbs,istio-proxy,4,91
