counter,region,service,endpoint,rps
173,us-west-1,user,user@POST@/user.User/CheckUser,2
173,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,14
173,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,3
173,us-west-1,slateingress,slateingress@GET@/recommendations,11
173,us-west-1,slateingress,slateingress@POST@/reservation,4
173,us-west-1,slateingress,slateingress@POST@/user,27
174,us-south-1,geo,geo@POST@/geo.Geo/Nearby,5
174,us-south-1,rate,rate@POST@/rate.Rate/GetRates,8
174,us-south-1,frontend,frontend@GET@/hotels,13
174,us-south-1,frontend,frontend@POST@/user,37
174,us-south-1,frontend,frontend@GET@/recommendations,34
174,us-south-1,frontend,frontend@POST@/reservation,29
174,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,37
174,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,19
174,us-south-1,slateingress,slateingress@POST@/user,35
174,us-south-1,slateingress,slateingress@GET@/recommendations,27
174,us-south-1,slateingress,slateingress@POST@/reservation,24
174,us-south-1,slateingress,slateingress@GET@/hotels,13
174,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,20
174,us-south-1,user,user@POST@/user.User/CheckUser,60
174,us-west-1,user,user@POST@/user.User/CheckUser,785
174,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,344
174,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,318
174,us-west-1,rate,rate@POST@/rate.Rate/GetRates,365
174,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,684
174,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,454
174,us-west-1,slateingress,slateingress@GET@/recommendations,406
174,us-west-1,slateingress,slateingress@POST@/reservation,394
174,us-west-1,slateingress,slateingress@POST@/user,398
174,us-west-1,slateingress,slateingress@GET@/hotels,378
174,us-west-1,geo,geo@POST@/geo.Geo/Nearby,331
174,us-west-1,frontend,frontend@GET@/hotels,427
174,us-west-1,frontend,frontend@POST@/user,434
174,us-west-1,frontend,frontend@GET@/recommendations,454
174,us-west-1,frontend,frontend@POST@/reservation,442
174,us-west-1,search,search@POST@/search.Search/Nearby,454
174,us-east-1,frontend,frontend@POST@/user,52
174,us-east-1,frontend,frontend@GET@/recommendations,53
174,us-east-1,frontend,frontend@GET@/hotels,40
174,us-east-1,frontend,frontend@POST@/reservation,48
174,us-east-1,user,user@POST@/user.User/CheckUser,80
174,us-east-1,search,search@POST@/search.Search/Nearby,41
174,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,45
174,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,33
174,us-east-1,geo,geo@POST@/geo.Geo/Nearby,42
174,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,55
174,us-east-1,rate,rate@POST@/rate.Rate/GetRates,68
174,us-east-1,slateingress,slateingress@POST@/reservation,60
174,us-east-1,slateingress,slateingress@POST@/user,60
174,us-east-1,slateingress,slateingress@GET@/recommendations,59
174,us-east-1,slateingress,slateingress@GET@/hotels,57
174,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,77
174,us-central-1,slateingress,slateingress@POST@/user,235
174,us-central-1,slateingress,slateingress@POST@/reservation,138
174,us-central-1,slateingress,slateingress@GET@/hotels,109
174,us-central-1,slateingress,slateingress@GET@/recommendations,164
174,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,223
174,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,183
174,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,152
174,us-central-1,frontend,frontend@POST@/user,351
174,us-central-1,frontend,frontend@GET@/recommendations,309
174,us-central-1,frontend,frontend@GET@/hotels,244
174,us-central-1,frontend,frontend@POST@/reservation,289
174,us-central-1,user,user@POST@/user.User/CheckUser,590
174,us-central-1,search,search@POST@/search.Search/Nearby,95
174,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,98
174,us-central-1,geo,geo@POST@/geo.Geo/Nearby,60
174,us-central-1,rate,rate@POST@/rate.Rate/GetRates,101
175,us-south-1,geo,geo@POST@/geo.Geo/Nearby,52
175,us-south-1,rate,rate@POST@/rate.Rate/GetRates,59
175,us-south-1,frontend,frontend@GET@/hotels,61
175,us-south-1,frontend,frontend@POST@/user,62
175,us-south-1,frontend,frontend@GET@/recommendations,61
175,us-south-1,frontend,frontend@POST@/reservation,59
175,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,104
175,us-south-1,search,search@POST@/search.Search/Nearby,39
175,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,57
175,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,60
175,us-south-1,slateingress,slateingress@POST@/user,58
175,us-south-1,slateingress,slateingress@GET@/recommendations,61
175,us-south-1,slateingress,slateingress@POST@/reservation,59
175,us-south-1,slateingress,slateingress@GET@/hotels,54
175,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,59
175,us-south-1,user,user@POST@/user.User/CheckUser,110
175,us-west-1,user,user@POST@/user.User/CheckUser,910
175,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,535
175,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,506
175,us-west-1,rate,rate@POST@/rate.Rate/GetRates,464
175,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,948
175,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,423
175,us-west-1,slateingress,slateingress@GET@/recommendations,425
175,us-west-1,slateingress,slateingress@POST@/reservation,428
175,us-west-1,slateingress,slateingress@POST@/user,428
175,us-west-1,slateingress,slateingress@GET@/hotels,412
175,us-west-1,geo,geo@POST@/geo.Geo/Nearby,474
175,us-west-1,frontend,frontend@GET@/hotels,459
175,us-west-1,frontend,frontend@POST@/user,431
175,us-west-1,frontend,frontend@GET@/recommendations,426
175,us-west-1,frontend,frontend@POST@/reservation,439
175,us-west-1,search,search@POST@/search.Search/Nearby,460
175,us-east-1,frontend,frontend@POST@/user,58
175,us-east-1,frontend,frontend@GET@/recommendations,61
175,us-east-1,frontend,frontend@GET@/hotels,55
175,us-east-1,frontend,frontend@POST@/reservation,60
175,us-east-1,user,user@POST@/user.User/CheckUser,117
175,us-east-1,search,search@POST@/search.Search/Nearby,58
175,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,56
175,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,61
175,us-east-1,geo,geo@POST@/geo.Geo/Nearby,61
175,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,62
175,us-east-1,rate,rate@POST@/rate.Rate/GetRates,56
175,us-east-1,slateingress,slateingress@POST@/reservation,56
175,us-east-1,slateingress,slateingress@POST@/user,56
175,us-east-1,slateingress,slateingress@GET@/recommendations,57
175,us-east-1,slateingress,slateingress@GET@/hotels,59
175,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,119
175,us-central-1,slateingress,slateingress@POST@/user,419
175,us-central-1,slateingress,slateingress@POST@/reservation,415
175,us-central-1,slateingress,slateingress@GET@/hotels,404
175,us-central-1,slateingress,slateingress@GET@/recommendations,421
175,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,432
175,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,424
175,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,412
175,us-central-1,frontend,frontend@POST@/user,353
175,us-central-1,frontend,frontend@GET@/recommendations,368
175,us-central-1,frontend,frontend@GET@/hotels,339
175,us-central-1,frontend,frontend@POST@/reservation,359
175,us-central-1,user,user@POST@/user.User/CheckUser,922
175,us-central-1,search,search@POST@/search.Search/Nearby,385
175,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,642
175,us-central-1,geo,geo@POST@/geo.Geo/Nearby,357
175,us-central-1,rate,rate@POST@/rate.Rate/GetRates,359
176,us-south-1,geo,geo@POST@/geo.Geo/Nearby,57
176,us-south-1,rate,rate@POST@/rate.Rate/GetRates,55
176,us-south-1,frontend,frontend@GET@/hotels,53
176,us-south-1,frontend,frontend@POST@/user,56
176,us-south-1,frontend,frontend@GET@/recommendations,52
176,us-south-1,frontend,frontend@POST@/reservation,56
176,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,107
176,us-south-1,search,search@POST@/search.Search/Nearby,56
176,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,58
176,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,53
176,us-south-1,slateingress,slateingress@POST@/user,54
176,us-south-1,slateingress,slateingress@GET@/recommendations,55
176,us-south-1,slateingress,slateingress@POST@/reservation,56
176,us-south-1,slateingress,slateingress@GET@/hotels,58
176,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,58
176,us-south-1,user,user@POST@/user.User/CheckUser,106
176,us-west-1,user,user@POST@/user.User/CheckUser,816
176,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,394
176,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,420
176,us-west-1,rate,rate@POST@/rate.Rate/GetRates,404
176,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,830
176,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,423
176,us-west-1,slateingress,slateingress@GET@/recommendations,412
176,us-west-1,slateingress,slateingress@POST@/reservation,396
176,us-west-1,slateingress,slateingress@POST@/user,387
176,us-west-1,slateingress,slateingress@GET@/hotels,422
176,us-west-1,geo,geo@POST@/geo.Geo/Nearby,403
176,us-west-1,frontend,frontend@GET@/hotels,411
176,us-west-1,frontend,frontend@POST@/user,417
176,us-west-1,frontend,frontend@GET@/recommendations,419
176,us-west-1,frontend,frontend@POST@/reservation,405
176,us-west-1,search,search@POST@/search.Search/Nearby,408
176,us-east-1,frontend,frontend@POST@/user,57
176,us-east-1,frontend,frontend@GET@/recommendations,50
176,us-east-1,frontend,frontend@GET@/hotels,58
176,us-east-1,frontend,frontend@POST@/reservation,51
176,us-east-1,user,user@POST@/user.User/CheckUser,101
176,us-east-1,search,search@POST@/search.Search/Nearby,56
176,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,56
176,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,56
176,us-east-1,geo,geo@POST@/geo.Geo/Nearby,52
176,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,51
176,us-east-1,rate,rate@POST@/rate.Rate/GetRates,59
176,us-east-1,slateingress,slateingress@POST@/reservation,58
176,us-east-1,slateingress,slateingress@POST@/user,52
176,us-east-1,slateingress,slateingress@GET@/recommendations,51
176,us-east-1,slateingress,slateingress@GET@/hotels,57
176,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,108
176,us-central-1,slateingress,slateingress@POST@/user,412
176,us-central-1,slateingress,slateingress@POST@/reservation,432
176,us-central-1,slateingress,slateingress@GET@/hotels,433
176,us-central-1,slateingress,slateingress@GET@/recommendations,421
176,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,432
176,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,506
176,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,539
176,us-central-1,frontend,frontend@POST@/user,373
176,us-central-1,frontend,frontend@GET@/recommendations,399
176,us-central-1,frontend,frontend@GET@/hotels,437
176,us-central-1,frontend,frontend@POST@/reservation,419
176,us-central-1,user,user@POST@/user.User/CheckUser,854
176,us-central-1,search,search@POST@/search.Search/Nearby,462
176,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,944
176,us-central-1,geo,geo@POST@/geo.Geo/Nearby,455
176,us-central-1,rate,rate@POST@/rate.Rate/GetRates,455
177,us-south-1,geo,geo@POST@/geo.Geo/Nearby,56
177,us-south-1,rate,rate@POST@/rate.Rate/GetRates,55
177,us-south-1,frontend,frontend@GET@/hotels,55
177,us-south-1,frontend,frontend@POST@/user,54
177,us-south-1,frontend,frontend@GET@/recommendations,54
177,us-south-1,frontend,frontend@POST@/reservation,52
177,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,110
