Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-687565775b-zlvg8,consul,12,36
default,consul-687565775b-zlvg8,istio-proxy,3,94
default,frontend-us-central-1-6cbbdb74f6-9nkzz,hotel-reserv-frontend,284,15
default,frontend-us-central-1-6cbbdb74f6-9nkzz,istio-proxy,1719,115
default,frontend-us-central-1-6cbbdb74f6-x6njq,hotel-reserv-frontend,37,11
default,frontend-us-central-1-6cbbdb74f6-x6njq,istio-proxy,861,109
default,frontend-us-east-1-79577dbcfb-2p7tp,hotel-reserv-frontend,157,8
default,frontend-us-east-1-79577dbcfb-2p7tp,istio-proxy,422,95
default,frontend-us-east-1-79577dbcfb-w8frs,hotel-reserv-frontend,0,4
default,frontend-us-east-1-79577dbcfb-w8frs,istio-proxy,222,94
default,frontend-us-south-1-66dcfc8788-k5jpj,hotel-reserv-frontend,29,7
default,frontend-us-south-1-66dcfc8788-k5jpj,istio-proxy,133,94
default,frontend-us-south-1-66dcfc8788-psx6c,hotel-reserv-frontend,1,5
default,frontend-us-south-1-66dcfc8788-psx6c,istio-proxy,111,94
default,frontend-us-west-1-684b7c975b-jgqwz,hotel-reserv-frontend,507,15
default,frontend-us-west-1-684b7c975b-jgqwz,istio-proxy,1917,108
default,frontend-us-west-1-684b7c975b-w6zn7,hotel-reserv-frontend,317,14
default,frontend-us-west-1-684b7c975b-w6zn7,istio-proxy,13,90
default,geo-us-central-1-799f44bfff-x9zx9,hotel-reserv-geo,97,8
default,geo-us-central-1-799f44bfff-x9zx9,istio-proxy,97,92
default,geo-us-central-1-799f44bfff-xgtq8,hotel-reserv-geo,52,8
default,geo-us-central-1-799f44bfff-xgtq8,istio-proxy,30,95
default,geo-us-east-1-665d6b85f9-595l6,hotel-reserv-geo,0,6
default,geo-us-east-1-665d6b85f9-595l6,istio-proxy,52,91
default,geo-us-east-1-665d6b85f9-699mw,hotel-reserv-geo,21,7
default,geo-us-east-1-665d6b85f9-699mw,istio-proxy,54,94
default,geo-us-south-1-6ccfd55647-nqxhp,hotel-reserv-geo,2,6
default,geo-us-south-1-6ccfd55647-nqxhp,istio-proxy,7,92
default,geo-us-south-1-6ccfd55647-pl2zj,hotel-reserv-geo,10,7
default,geo-us-south-1-6ccfd55647-pl2zj,istio-proxy,9,93
default,geo-us-west-1-7bf74f8c5f-bsls2,hotel-reserv-geo,92,8
default,geo-us-west-1-7bf74f8c5f-bsls2,istio-proxy,165,92
default,geo-us-west-1-7bf74f8c5f-pvrtj,hotel-reserv-geo,57,8
default,geo-us-west-1-7bf74f8c5f-pvrtj,istio-proxy,161,92
default,jaeger-6f9cc7f7bc-9cnq5,hotel-reserv-jaeger,94,77
default,jaeger-6f9cc7f7bc-9cnq5,istio-proxy,4,92
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,istio-proxy,5,93
