Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-687565775b-zlvg8,consul,10,35
default,consul-687565775b-zlvg8,istio-proxy,3,93
default,frontend-us-central-1-6cbbdb74f6-9nkzz,hotel-reserv-frontend,695,15
default,frontend-us-central-1-6cbbdb74f6-9nkzz,istio-proxy,1914,118
default,frontend-us-central-1-6cbbdb74f6-x6njq,hotel-reserv-frontend,597,15
default,frontend-us-central-1-6cbbdb74f6-x6njq,istio-proxy,1742,116
default,frontend-us-east-1-79577dbcfb-2p7tp,hotel-reserv-frontend,157,8
default,frontend-us-east-1-79577dbcfb-2p7tp,istio-proxy,426,95
default,frontend-us-east-1-79577dbcfb-w8frs,hotel-reserv-frontend,165,8
default,frontend-us-east-1-79577dbcfb-w8frs,istio-proxy,464,95
default,frontend-us-south-1-66dcfc8788-k5jpj,hotel-reserv-frontend,100,8
default,frontend-us-south-1-66dcfc8788-k5jpj,istio-proxy,234,94
default,frontend-us-south-1-66dcfc8788-psx6c,hotel-reserv-frontend,105,8
default,frontend-us-south-1-66dcfc8788-psx6c,istio-proxy,258,94
default,frontend-us-west-1-684b7c975b-jgqwz,hotel-reserv-frontend,653,15
default,frontend-us-west-1-684b7c975b-jgqwz,istio-proxy,2063,113
default,frontend-us-west-1-684b7c975b-w6zn7,hotel-reserv-frontend,658,14
default,frontend-us-west-1-684b7c975b-w6zn7,istio-proxy,1820,111
default,geo-us-central-1-799f44bfff-x9zx9,hotel-reserv-geo,97,8
default,geo-us-central-1-799f44bfff-x9zx9,istio-proxy,232,92
default,geo-us-central-1-799f44bfff-xgtq8,hotel-reserv-geo,105,8
default,geo-us-central-1-799f44bfff-xgtq8,istio-proxy,245,95
default,geo-us-east-1-665d6b85f9-595l6,hotel-reserv-geo,24,7
default,geo-us-east-1-665d6b85f9-595l6,istio-proxy,46,91
default,geo-us-east-1-665d6b85f9-699mw,hotel-reserv-geo,22,8
default,geo-us-east-1-665d6b85f9-699mw,istio-proxy,54,94
default,geo-us-south-1-6ccfd55647-nqxhp,hotel-reserv-geo,14,7
default,geo-us-south-1-6ccfd55647-nqxhp,istio-proxy,28,92
default,geo-us-south-1-6ccfd55647-pl2zj,hotel-reserv-geo,10,7
default,geo-us-south-1-6ccfd55647-pl2zj,istio-proxy,27,93
default,geo-us-west-1-7bf74f8c5f-bsls2,hotel-reserv-geo,113,8
default,geo-us-west-1-7bf74f8c5f-bsls2,istio-proxy,238,92
default,geo-us-west-1-7bf74f8c5f-pvrtj,hotel-reserv-geo,113,8
default,geo-us-west-1-7bf74f8c5f-pvrtj,istio-proxy,236,92
default,jaeger-6f9cc7f7bc-9cnq5,hotel-reserv-jaeger,326,278
default,jaeger-6f9cc7f7bc-9cnq5,istio-proxy,4,92
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,istio-proxy,4,93
default,memcached-profile-us-central-1-5784dd8b75-mwbck,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5784dd8b75-mwbck,istio-proxy,4,91
default,memcached-profile-us-east-1-c4987bf47-v9ddq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c4987bf47-v9ddq,istio-proxy,6,92
default,memcached-profile-us-east-1-c4987bf47-zs2nb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c4987bf47-zs2nb,istio-proxy,6,91
default,memcached-profile-us-south-1-6dbc777747-f8mk5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dbc777747-f8mk5,istio-proxy,3,95
default,memcached-profile-us-south-1-6dbc777747-v692z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dbc777747-v692z,istio-proxy,4,91
default,memcached-profile-us-west-1-68d97c4855-8s5ch,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-68d97c4855-8s5ch,istio-proxy,5,92
default,memcached-profile-us-west-1-68d97c4855-wwnjm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-68d97c4855-wwnjm,istio-proxy,5,91
default,memcached-rate-us-central-1-5b7b588fcf-vz85d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5b7b588fcf-vz85d,istio-proxy,5,91
default,memcached-rate-us-central-1-5b7b588fcf-wl8bs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5b7b588fcf-wl8bs,istio-proxy,5,93
default,memcached-rate-us-east-1-776854d6fb-vwmsm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776854d6fb-vwmsm,istio-proxy,7,92
default,memcached-rate-us-east-1-776854d6fb-z8xxv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776854d6fb-z8xxv,istio-proxy,6,94
default,memcached-rate-us-south-1-896f4d9f6-8qjqh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-896f4d9f6-8qjqh,istio-proxy,3,92
default,memcached-rate-us-south-1-896f4d9f6-d5z78,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-896f4d9f6-d5z78,istio-proxy,4,94
default,memcached-rate-us-west-1-f58447c68-8k5rg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-f58447c68-8k5rg,istio-proxy,5,91
default,memcached-rate-us-west-1-f58447c68-9qjj6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-f58447c68-9qjj6,istio-proxy,4,92
default,memcached-reserve-us-central-1-65959cc5fd-kgx2n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-65959cc5fd-kgx2n,istio-proxy,4,92
default,memcached-reserve-us-central-1-65959cc5fd-t2gpb,hotel-reserv-reservation-mmc,0,1
