Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-687565775b-zlvg8,consul,11,34
default,consul-687565775b-zlvg8,istio-proxy,8,94
default,frontend-us-central-1-6cbbdb74f6-9nkzz,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6cbbdb74f6-9nkzz,istio-proxy,13,92
default,frontend-us-central-1-6cbbdb74f6-x6njq,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6cbbdb74f6-x6njq,istio-proxy,7,93
default,frontend-us-east-1-79577dbcfb-2p7tp,hotel-reserv-frontend,0,4
default,frontend-us-east-1-79577dbcfb-2p7tp,istio-proxy,11,93
default,frontend-us-east-1-79577dbcfb-w8frs,hotel-reserv-frontend,0,4
default,frontend-us-east-1-79577dbcfb-w8frs,istio-proxy,13,93
default,frontend-us-south-1-66dcfc8788-k5jpj,hotel-reserv-frontend,0,3
default,frontend-us-south-1-66dcfc8788-k5jpj,istio-proxy,6,93
default,frontend-us-south-1-66dcfc8788-psx6c,hotel-reserv-frontend,0,4
default,frontend-us-south-1-66dcfc8788-psx6c,istio-proxy,6,92
default,frontend-us-west-1-684b7c975b-jgqwz,hotel-reserv-frontend,0,4
default,frontend-us-west-1-684b7c975b-jgqwz,istio-proxy,7,90
default,frontend-us-west-1-684b7c975b-w6zn7,hotel-reserv-frontend,0,4
default,frontend-us-west-1-684b7c975b-w6zn7,istio-proxy,13,90
default,geo-us-central-1-799f44bfff-x9zx9,hotel-reserv-geo,0,7
default,geo-us-central-1-799f44bfff-x9zx9,istio-proxy,7,92
default,geo-us-central-1-799f44bfff-xgtq8,hotel-reserv-geo,0,7
default,geo-us-central-1-799f44bfff-xgtq8,istio-proxy,10,94
default,geo-us-east-1-665d6b85f9-595l6,hotel-reserv-geo,0,6
default,geo-us-east-1-665d6b85f9-595l6,istio-proxy,19,91
default,geo-us-east-1-665d6b85f9-699mw,hotel-reserv-geo,0,7
default,geo-us-east-1-665d6b85f9-699mw,istio-proxy,9,93
default,geo-us-south-1-6ccfd55647-nqxhp,hotel-reserv-geo,0,6
default,geo-us-south-1-6ccfd55647-nqxhp,istio-proxy,7,92
default,geo-us-south-1-6ccfd55647-pl2zj,hotel-reserv-geo,0,6
default,geo-us-south-1-6ccfd55647-pl2zj,istio-proxy,8,93
default,geo-us-west-1-7bf74f8c5f-bsls2,hotel-reserv-geo,0,6
default,geo-us-west-1-7bf74f8c5f-bsls2,istio-proxy,7,91
default,geo-us-west-1-7bf74f8c5f-pvrtj,hotel-reserv-geo,0,6
default,geo-us-west-1-7bf74f8c5f-pvrtj,istio-proxy,6,91
default,jaeger-6f9cc7f7bc-9cnq5,hotel-reserv-jaeger,0,10
default,jaeger-6f9cc7f7bc-9cnq5,istio-proxy,4,92
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5784dd8b75-fnqtv,istio-proxy,6,93
default,memcached-profile-us-central-1-5784dd8b75-mwbck,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5784dd8b75-mwbck,istio-proxy,7,91
default,memcached-profile-us-east-1-c4987bf47-v9ddq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c4987bf47-v9ddq,istio-proxy,10,92
default,memcached-profile-us-east-1-c4987bf47-zs2nb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c4987bf47-zs2nb,istio-proxy,11,91
default,memcached-profile-us-south-1-6dbc777747-f8mk5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dbc777747-f8mk5,istio-proxy,9,95
default,memcached-profile-us-south-1-6dbc777747-v692z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dbc777747-v692z,istio-proxy,9,91
default,memcached-profile-us-west-1-68d97c4855-8s5ch,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-68d97c4855-8s5ch,istio-proxy,6,92
default,memcached-profile-us-west-1-68d97c4855-wwnjm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-68d97c4855-wwnjm,istio-proxy,7,91
default,memcached-rate-us-central-1-5b7b588fcf-vz85d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5b7b588fcf-vz85d,istio-proxy,9,91
default,memcached-rate-us-central-1-5b7b588fcf-wl8bs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5b7b588fcf-wl8bs,istio-proxy,13,93
default,memcached-rate-us-east-1-776854d6fb-vwmsm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776854d6fb-vwmsm,istio-proxy,14,92
default,memcached-rate-us-east-1-776854d6fb-z8xxv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776854d6fb-z8xxv,istio-proxy,14,94
default,memcached-rate-us-south-1-896f4d9f6-8qjqh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-896f4d9f6-8qjqh,istio-proxy,8,92
default,memcached-rate-us-south-1-896f4d9f6-d5z78,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-896f4d9f6-d5z78,istio-proxy,7,94
default,memcached-rate-us-west-1-f58447c68-8k5rg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-f58447c68-8k5rg,istio-proxy,15,91
default,memcached-rate-us-west-1-f58447c68-9qjj6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-f58447c68-9qjj6,istio-proxy,6,92
default,memcached-reserve-us-central-1-65959cc5fd-kgx2n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-65959cc5fd-kgx2n,istio-proxy,6,92
default,memcached-reserve-us-central-1-65959cc5fd-t2gpb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-65959cc5fd-t2gpb,istio-proxy,7,94
default,memcached-reserve-us-east-1-657f7dfbbc-hj7hx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-657f7dfbbc-hj7hx,istio-proxy,16,92
default,memcached-reserve-us-east-1-657f7dfbbc-w495l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-657f7dfbbc-w495l,istio-proxy,12,91
default,memcached-reserve-us-south-1-89657f7c7-259r4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-89657f7c7-259r4,istio-proxy,8,94
default,memcached-reserve-us-south-1-89657f7c7-lttqk,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-89657f7c7-lttqk,istio-proxy,12,92
default,memcached-reserve-us-west-1-65cff8797f-4268z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65cff8797f-4268z,istio-proxy,7,91
default,memcached-reserve-us-west-1-65cff8797f-xvb2q,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-65cff8797f-xvb2q,istio-proxy,7,92
default,mongodb-geo-us-central-1-5758f9cb6d-6tcfz,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-5758f9cb6d-6tcfz,istio-proxy,6,93
default,mongodb-geo-us-east-1-6c65cb7885-pkwnt,hotel-reserv-geo-mongo,6,161
default,mongodb-geo-us-east-1-6c65cb7885-pkwnt,istio-proxy,13,92
default,mongodb-geo-us-south-1-5b79d8d7bc-qgsw5,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-5b79d8d7bc-qgsw5,istio-proxy,9,92
default,mongodb-geo-us-west-1-69c875bfd9-d6gx2,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-69c875bfd9-d6gx2,istio-proxy,9,92
default,mongodb-profile-us-central-1-688987f57c-7tnf4,hotel-reserv-profile-mongo,4,159
default,mongodb-profile-us-central-1-688987f57c-7tnf4,istio-proxy,10,92
default,mongodb-profile-us-east-1-675c5d7556-c57lt,hotel-reserv-profile-mongo,7,158
default,mongodb-profile-us-east-1-675c5d7556-c57lt,istio-proxy,15,91
default,mongodb-profile-us-south-1-597f5d75b8-rwc7r,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-south-1-597f5d75b8-rwc7r,istio-proxy,17,93
default,mongodb-profile-us-west-1-6c8c64db68-kqphn,hotel-reserv-profile-mongo,4,161
default,mongodb-profile-us-west-1-6c8c64db68-kqphn,istio-proxy,16,94
default,mongodb-rate-us-central-1-55d9768479-tmsp2,hotel-reserv-rate-mongo,19,157
default,mongodb-rate-us-central-1-55d9768479-tmsp2,istio-proxy,6,90
default,mongodb-rate-us-east-1-5dc76f44f4-mrr64,hotel-reserv-rate-mongo,6,157
default,mongodb-rate-us-east-1-5dc76f44f4-mrr64,istio-proxy,11,91
default,mongodb-rate-us-south-1-b5f68b57b-fwskr,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-south-1-b5f68b57b-fwskr,istio-proxy,14,91
default,mongodb-rate-us-west-1-89db57d9d-np2lh,hotel-reserv-rate-mongo,4,158
default,mongodb-rate-us-west-1-89db57d9d-np2lh,istio-proxy,6,94
default,mongodb-recommendation-us-central-1-d4d44cd76-ktfdp,hotel-reserv-recommendation-mongo,5,162
default,mongodb-recommendation-us-central-1-d4d44cd76-ktfdp,istio-proxy,15,92
default,mongodb-recommendation-us-east-1-664d6d7468-6z5df,hotel-reserv-recommendation-mongo,6,161
default,mongodb-recommendation-us-east-1-664d6d7468-6z5df,istio-proxy,11,91
default,mongodb-recommendation-us-south-1-77b7f46db8-vrkbs,hotel-reserv-recommendation-mongo,4,162
default,mongodb-recommendation-us-south-1-77b7f46db8-vrkbs,istio-proxy,14,92
default,mongodb-recommendation-us-west-1-79bbf4b5f-9stk7,hotel-reserv-recommendation-mongo,3,164
default,mongodb-recommendation-us-west-1-79bbf4b5f-9stk7,istio-proxy,6,91
default,mongodb-reservation-us-central-1-74659f697c-7vwmb,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-central-1-74659f697c-7vwmb,istio-proxy,10,93
default,mongodb-reservation-us-east-1-6c5c49968c-4xz6j,hotel-reserv-reservation-mongo,7,157
default,mongodb-reservation-us-east-1-6c5c49968c-4xz6j,istio-proxy,14,92
default,mongodb-reservation-us-south-1-864bf4777c-g5c58,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-south-1-864bf4777c-g5c58,istio-proxy,6,92
default,mongodb-reservation-us-west-1-549886bfc6-r4sk9,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-west-1-549886bfc6-r4sk9,istio-proxy,10,92
default,mongodb-user-us-central-1-6d776df798-z6nx5,hotel-reserv-user-mongo,9,168
default,mongodb-user-us-central-1-6d776df798-z6nx5,istio-proxy,8,92
default,mongodb-user-us-east-1-5d74758fcd-r88s5,hotel-reserv-user-mongo,7,171
default,mongodb-user-us-east-1-5d74758fcd-r88s5,istio-proxy,11,95
default,mongodb-user-us-south-1-67744f768b-w5jjw,hotel-reserv-user-mongo,3,176
default,mongodb-user-us-south-1-67744f768b-w5jjw,istio-proxy,7,95
default,mongodb-user-us-west-1-7874fcdfd-54bj9,hotel-reserv-user-mongo,4,196
default,mongodb-user-us-west-1-7874fcdfd-54bj9,istio-proxy,7,92
default,profile-us-central-1-7fcbdf5f56-vnfdd,hotel-reserv-profile,0,3
default,profile-us-central-1-7fcbdf5f56-vnfdd,istio-proxy,7,91
default,profile-us-central-1-7fcbdf5f56-wg724,hotel-reserv-profile,0,4
default,profile-us-central-1-7fcbdf5f56-wg724,istio-proxy,13,93
default,profile-us-east-1-d7fffc678-5nkp7,hotel-reserv-profile,0,5
default,profile-us-east-1-d7fffc678-5nkp7,istio-proxy,10,94
default,profile-us-east-1-d7fffc678-w48mt,hotel-reserv-profile,0,3
default,profile-us-east-1-d7fffc678-w48mt,istio-proxy,10,93
default,profile-us-south-1-64cd545948-7gll9,hotel-reserv-profile,0,3
default,profile-us-south-1-64cd545948-7gll9,istio-proxy,5,93
default,profile-us-south-1-64cd545948-qgvl8,hotel-reserv-profile,0,3
default,profile-us-south-1-64cd545948-qgvl8,istio-proxy,17,93
default,profile-us-west-1-697dd55747-scv5l,hotel-reserv-profile,2,4
default,profile-us-west-1-697dd55747-scv5l,istio-proxy,6,92
default,profile-us-west-1-697dd55747-svm2c,hotel-reserv-profile,0,3
default,profile-us-west-1-697dd55747-svm2c,istio-proxy,16,92
default,rate-us-central-1-5f5c67855f-9gq9q,hotel-reserv-rate,0,5
default,rate-us-central-1-5f5c67855f-9gq9q,istio-proxy,6,94
default,rate-us-central-1-5f5c67855f-fmp7g,hotel-reserv-rate,0,4
default,rate-us-central-1-5f5c67855f-fmp7g,istio-proxy,7,90
default,rate-us-east-1-6d9dd5df65-5h26x,hotel-reserv-rate,0,4
default,rate-us-east-1-6d9dd5df65-5h26x,istio-proxy,26,91
default,rate-us-east-1-6d9dd5df65-kvjsw,hotel-reserv-rate,0,4
default,rate-us-east-1-6d9dd5df65-kvjsw,istio-proxy,14,91
default,rate-us-south-1-59fc8dd775-c85sd,hotel-reserv-rate,0,4
default,rate-us-south-1-59fc8dd775-c85sd,istio-proxy,10,92
default,rate-us-south-1-59fc8dd775-fwfqt,hotel-reserv-rate,0,4
default,rate-us-south-1-59fc8dd775-fwfqt,istio-proxy,7,93
default,rate-us-west-1-86c59454b-9zbx7,hotel-reserv-rate,0,4
default,rate-us-west-1-86c59454b-9zbx7,istio-proxy,12,91
default,rate-us-west-1-86c59454b-k2zg7,hotel-reserv-rate,0,3
default,rate-us-west-1-86c59454b-k2zg7,istio-proxy,11,90
default,recommendation-us-central-1-55db74c6bd-fgzvj,hotel-reserv-recommendation,0,7
default,recommendation-us-central-1-55db74c6bd-fgzvj,istio-proxy,19,92
default,recommendation-us-central-1-55db74c6bd-kwclt,hotel-reserv-recommendation,0,7
default,recommendation-us-central-1-55db74c6bd-kwclt,istio-proxy,6,91
default,recommendation-us-east-1-6bcbff84c8-29lgc,hotel-reserv-recommendation,0,7
default,recommendation-us-east-1-6bcbff84c8-29lgc,istio-proxy,26,93
default,recommendation-us-east-1-6bcbff84c8-6fwx8,hotel-reserv-recommendation,0,7
default,recommendation-us-east-1-6bcbff84c8-6fwx8,istio-proxy,12,93
default,recommendation-us-south-1-dd7685bff-ktv6j,hotel-reserv-recommendation,6,7
default,recommendation-us-south-1-dd7685bff-ktv6j,istio-proxy,17,92
default,recommendation-us-south-1-dd7685bff-zzdkc,hotel-reserv-recommendation,0,7
default,recommendation-us-south-1-dd7685bff-zzdkc,istio-proxy,17,92
default,recommendation-us-west-1-7954f877c5-9fv8h,hotel-reserv-recommendation,0,11
default,recommendation-us-west-1-7954f877c5-9fv8h,istio-proxy,9,90
default,recommendation-us-west-1-7954f877c5-wds4v,hotel-reserv-recommendation,0,11
default,recommendation-us-west-1-7954f877c5-wds4v,istio-proxy,17,93
default,reservation-us-central-1-f5cdcb65b-8xfnp,hotel-reserv-reservation,0,5
default,reservation-us-central-1-f5cdcb65b-8xfnp,istio-proxy,7,92
default,reservation-us-central-1-f5cdcb65b-v5bmt,hotel-reserv-reservation,0,3
default,reservation-us-central-1-f5cdcb65b-v5bmt,istio-proxy,20,93
default,reservation-us-east-1-69c48964c6-xgg78,hotel-reserv-reservation,1,4
default,reservation-us-east-1-69c48964c6-xgg78,istio-proxy,14,93
default,reservation-us-east-1-69c48964c6-xpbbj,hotel-reserv-reservation,1,5
default,reservation-us-east-1-69c48964c6-xpbbj,istio-proxy,12,93
default,reservation-us-south-1-798d9c9db9-w8jrv,hotel-reserv-reservation,0,4
default,reservation-us-south-1-798d9c9db9-w8jrv,istio-proxy,14,93
default,reservation-us-south-1-798d9c9db9-wj8v2,hotel-reserv-reservation,0,4
default,reservation-us-south-1-798d9c9db9-wj8v2,istio-proxy,7,92
default,reservation-us-west-1-6d76549cc9-5rj2b,hotel-reserv-reservation,0,4
default,reservation-us-west-1-6d76549cc9-5rj2b,istio-proxy,8,91
default,reservation-us-west-1-6d76549cc9-rhbsd,hotel-reserv-reservation,0,5
default,reservation-us-west-1-6d76549cc9-rhbsd,istio-proxy,8,93
default,search-us-central-1-766b5ffd64-lgkpk,hotel-reserv-search,0,3
default,search-us-central-1-766b5ffd64-lgkpk,istio-proxy,7,92
default,search-us-central-1-766b5ffd64-x7jpf,hotel-reserv-search,0,2
default,search-us-central-1-766b5ffd64-x7jpf,istio-proxy,8,92
default,search-us-east-1-685d994545-mgkv8,hotel-reserv-search,0,2
default,search-us-east-1-685d994545-mgkv8,istio-proxy,14,94
default,search-us-east-1-685d994545-nk2r5,hotel-reserv-search,0,2
default,search-us-east-1-685d994545-nk2r5,istio-proxy,11,91
default,search-us-south-1-98b847f7f-dgtj2,hotel-reserv-search,0,3
default,search-us-south-1-98b847f7f-dgtj2,istio-proxy,13,91
default,search-us-south-1-98b847f7f-tz99q,hotel-reserv-search,0,2
default,search-us-south-1-98b847f7f-tz99q,istio-proxy,7,92
default,search-us-west-1-7b9d96fbd5-w7hk4,hotel-reserv-search,0,2
default,search-us-west-1-7b9d96fbd5-w7hk4,istio-proxy,6,91
default,search-us-west-1-7b9d96fbd5-zxhrd,hotel-reserv-search,0,2
default,search-us-west-1-7b9d96fbd5-zxhrd,istio-proxy,6,93
default,slate-controller-5b4cdfb69f-5bxmk,slate-controller,286,160
default,slate-controller-5b4cdfb69f-5bxmk,istio-proxy,109,107
default,slateingress-us-central-1-6c67786b4d-754dd,slateingress,0,6
default,slateingress-us-central-1-6c67786b4d-754dd,istio-proxy,8,89
default,slateingress-us-central-1-6c67786b4d-xpwvz,slateingress,0,5
default,slateingress-us-central-1-6c67786b4d-xpwvz,istio-proxy,5,89
default,slateingress-us-east-1-97fd47cc6-6rmgs,slateingress,0,5
default,slateingress-us-east-1-97fd47cc6-6rmgs,istio-proxy,13,88
default,slateingress-us-east-1-97fd47cc6-htlm2,slateingress,0,5
default,slateingress-us-east-1-97fd47cc6-htlm2,istio-proxy,8,89
default,slateingress-us-south-1-85887b4c6d-6w278,slateingress,0,5
default,slateingress-us-south-1-85887b4c6d-6w278,istio-proxy,6,88
default,slateingress-us-south-1-85887b4c6d-v2njl,slateingress,0,5
default,slateingress-us-south-1-85887b4c6d-v2njl,istio-proxy,8,88
default,slateingress-us-west-1-55dbcc868-857gv,slateingress,0,5
default,slateingress-us-west-1-55dbcc868-857gv,istio-proxy,6,86
default,slateingress-us-west-1-55dbcc868-tln2w,slateingress,0,5
default,slateingress-us-west-1-55dbcc868-tln2w,istio-proxy,7,89
default,user-us-central-1-c798fd748-47vx2,hotel-reserv-user,0,22
