Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7c569954c4-gjxhc,consul,11,36
default,consul-7c569954c4-gjxhc,istio-proxy,7,93
default,frontend-us-central-1-674f59dc8f-hssmj,hotel-reserv-frontend,0,4
default,frontend-us-central-1-674f59dc8f-hssmj,istio-proxy,178,104
default,frontend-us-central-1-674f59dc8f-k7snq,hotel-reserv-frontend,290,21
default,frontend-us-central-1-674f59dc8f-k7snq,istio-proxy,1236,124
default,frontend-us-east-1-78d856684c-nfl2g,hotel-reserv-frontend,322,15
default,frontend-us-east-1-78d856684c-nfl2g,istio-proxy,168,103
default,frontend-us-east-1-78d856684c-vhwzn,hotel-reserv-frontend,108,22
default,frontend-us-east-1-78d856684c-vhwzn,istio-proxy,560,164
default,frontend-us-south-1-79f68896fc-6sqgc,hotel-reserv-frontend,185,18
default,frontend-us-south-1-79f68896fc-6sqgc,istio-proxy,1892,119
default,frontend-us-south-1-79f68896fc-nw2ms,hotel-reserv-frontend,466,18
default,frontend-us-south-1-79f68896fc-nw2ms,istio-proxy,1727,120
default,frontend-us-west-1-56fbd85ccf-78h5x,hotel-reserv-frontend,471,15
default,frontend-us-west-1-56fbd85ccf-78h5x,istio-proxy,1430,110
default,frontend-us-west-1-56fbd85ccf-79qbs,hotel-reserv-frontend,498,14
default,frontend-us-west-1-56fbd85ccf-79qbs,istio-proxy,1661,111
default,geo-us-central-1-7f4ffcd7c4-9kcgn,hotel-reserv-geo,0,6
default,geo-us-central-1-7f4ffcd7c4-9kcgn,istio-proxy,31,93
default,geo-us-central-1-7f4ffcd7c4-nv7c8,hotel-reserv-geo,87,8
default,geo-us-central-1-7f4ffcd7c4-nv7c8,istio-proxy,62,93
default,geo-us-east-1-5c9f957d68-2vtlx,hotel-reserv-geo,46,7
default,geo-us-east-1-5c9f957d68-2vtlx,istio-proxy,66,93
default,geo-us-east-1-5c9f957d68-xrvhp,hotel-reserv-geo,40,8
default,geo-us-east-1-5c9f957d68-xrvhp,istio-proxy,31,94
default,geo-us-south-1-6fb745fb7d-7jdhn,hotel-reserv-geo,6,7
default,geo-us-south-1-6fb745fb7d-7jdhn,istio-proxy,86,95
default,geo-us-south-1-6fb745fb7d-7q4bj,hotel-reserv-geo,70,8
default,geo-us-south-1-6fb745fb7d-7q4bj,istio-proxy,16,93
default,geo-us-west-1-594c77c696-4kx9s,hotel-reserv-geo,54,8
default,geo-us-west-1-594c77c696-4kx9s,istio-proxy,108,95
default,geo-us-west-1-594c77c696-v4m6m,hotel-reserv-geo,17,8
default,geo-us-west-1-594c77c696-v4m6m,istio-proxy,224,95
default,jaeger-5b9b56fb6d-v7f2k,hotel-reserv-jaeger,344,160
default,jaeger-5b9b56fb6d-v7f2k,istio-proxy,6,94
default,memcached-profile-us-central-1-67f946964f-hktds,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-67f946964f-hktds,istio-proxy,4,92
default,memcached-profile-us-central-1-67f946964f-qgtnn,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-67f946964f-qgtnn,istio-proxy,4,92
default,memcached-profile-us-east-1-564c769b7c-gmq2x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-564c769b7c-gmq2x,istio-proxy,4,91
default,memcached-profile-us-east-1-564c769b7c-w8lnc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-564c769b7c-w8lnc,istio-proxy,6,92
default,memcached-profile-us-south-1-d5d64fdcc-4zrv4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-d5d64fdcc-4zrv4,istio-proxy,4,92
default,memcached-profile-us-south-1-d5d64fdcc-t9k5d,hotel-reserv-profile-mmc,0,1
