counter,region,service,endpoint,rps
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,43
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,98
1,us-west-1,frontend,frontend@GET@/recommendations,-1248
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
2,us-west-1,frontend,frontend@GET@/recommendations,0
3,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
3,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
3,us-west-1,frontend,frontend@GET@/recommendations,0
3,us-west-1,frontend,frontend@POST@/user,231
3,us-west-1,frontend,frontend@POST@/reservation,184
4,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
4,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
4,us-west-1,frontend,frontend@GET@/recommendations,0
4,us-west-1,frontend,frontend@POST@/user,248
4,us-west-1,frontend,frontend@POST@/reservation,282
5,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
5,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
5,us-west-1,frontend,frontend@GET@/recommendations,0
5,us-west-1,frontend,frontend@POST@/user,0
5,us-west-1,frontend,frontend@POST@/reservation,0
6,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
6,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
6,us-west-1,frontend,frontend@GET@/recommendations,0
6,us-west-1,frontend,frontend@POST@/user,0
6,us-west-1,frontend,frontend@POST@/reservation,0
7,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
7,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
7,us-west-1,frontend,frontend@GET@/recommendations,0
7,us-west-1,frontend,frontend@POST@/user,0
7,us-west-1,frontend,frontend@POST@/reservation,0
8,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
8,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
8,us-west-1,frontend,frontend@GET@/recommendations,0
8,us-west-1,frontend,frontend@POST@/user,0
8,us-west-1,frontend,frontend@POST@/reservation,0
9,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
9,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
9,us-west-1,frontend,frontend@GET@/recommendations,0
9,us-west-1,frontend,frontend@POST@/user,0
9,us-west-1,frontend,frontend@POST@/reservation,0
10,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
10,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
10,us-west-1,frontend,frontend@GET@/recommendations,0
10,us-west-1,frontend,frontend@POST@/user,0
10,us-west-1,frontend,frontend@POST@/reservation,0
11,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
11,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
11,us-west-1,frontend,frontend@GET@/recommendations,0
11,us-west-1,frontend,frontend@POST@/user,0
11,us-west-1,frontend,frontend@POST@/reservation,0
12,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
12,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
12,us-west-1,frontend,frontend@GET@/recommendations,0
12,us-west-1,frontend,frontend@POST@/user,0
12,us-west-1,frontend,frontend@POST@/reservation,0
13,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
13,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
13,us-west-1,frontend,frontend@GET@/recommendations,0
13,us-west-1,frontend,frontend@POST@/user,0
13,us-west-1,frontend,frontend@POST@/reservation,0
14,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
14,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
14,us-west-1,frontend,frontend@GET@/recommendations,0
14,us-west-1,frontend,frontend@POST@/user,0
14,us-west-1,frontend,frontend@POST@/reservation,0
15,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
15,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
15,us-west-1,frontend,frontend@GET@/recommendations,0
15,us-west-1,frontend,frontend@POST@/user,0
15,us-west-1,frontend,frontend@POST@/reservation,0
16,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
16,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,0
16,us-west-1,frontend,frontend@GET@/recommendations,0
16,us-west-1,frontend,frontend@POST@/user,0
16,us-west-1,frontend,frontend@POST@/reservation,0
17,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,0
