Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6c9c697dbf-vqmcg,consul,9,35
default,consul-6c9c697dbf-vqmcg,istio-proxy,3,93
default,frontend-us-central-1-6447d696d-727cx,hotel-reserv-frontend,93,8
default,frontend-us-central-1-6447d696d-727cx,istio-proxy,81,95
default,frontend-us-central-1-6447d696d-jr2cl,hotel-reserv-frontend,187,8
default,frontend-us-central-1-6447d696d-jr2cl,istio-proxy,193,95
default,frontend-us-east-1-698f5c85d8-2ccth,hotel-reserv-frontend,337,8
default,frontend-us-east-1-698f5c85d8-2ccth,istio-proxy,743,94
default,frontend-us-east-1-698f5c85d8-xf84z,hotel-reserv-frontend,218,8
default,frontend-us-east-1-698f5c85d8-xf84z,istio-proxy,149,92
default,frontend-us-south-1-cb8fb57dd-4plns,hotel-reserv-frontend,74,8
default,frontend-us-south-1-cb8fb57dd-4plns,istio-proxy,485,92
default,frontend-us-south-1-cb8fb57dd-8fjmj,hotel-reserv-frontend,163,8
default,frontend-us-south-1-cb8fb57dd-8fjmj,istio-proxy,288,93
default,frontend-us-west-1-7c7d955dfb-frl7t,hotel-reserv-frontend,683,34
default,frontend-us-west-1-7c7d955dfb-frl7t,istio-proxy,2426,154
default,frontend-us-west-1-7c7d955dfb-hglkx,hotel-reserv-frontend,395,35
default,frontend-us-west-1-7c7d955dfb-hglkx,istio-proxy,1346,152
default,geo-us-central-1-f5b7fd98d-g8p6s,hotel-reserv-geo,12,7
default,geo-us-central-1-f5b7fd98d-g8p6s,istio-proxy,44,90
default,geo-us-central-1-f5b7fd98d-k9m6c,hotel-reserv-geo,6,7
default,geo-us-central-1-f5b7fd98d-k9m6c,istio-proxy,52,94
default,geo-us-east-1-54f9965dcd-8d5c4,hotel-reserv-geo,45,7
default,geo-us-east-1-54f9965dcd-8d5c4,istio-proxy,31,96
default,geo-us-east-1-54f9965dcd-b2p9j,hotel-reserv-geo,34,7
default,geo-us-east-1-54f9965dcd-b2p9j,istio-proxy,89,92
default,geo-us-south-1-5974847b96-55wb7,hotel-reserv-geo,25,8
default,geo-us-south-1-5974847b96-55wb7,istio-proxy,34,91
default,geo-us-south-1-5974847b96-lhhql,hotel-reserv-geo,26,8
default,geo-us-south-1-5974847b96-lhhql,istio-proxy,46,94
default,geo-us-west-1-76c8b5d8c8-27mh8,hotel-reserv-geo,121,9
default,geo-us-west-1-76c8b5d8c8-27mh8,istio-proxy,277,92
default,geo-us-west-1-76c8b5d8c8-tnjft,hotel-reserv-geo,118,9
