Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6c9c697dbf-vqmcg,consul,10,34
default,consul-6c9c697dbf-vqmcg,istio-proxy,5,93
default,frontend-us-central-1-6447d696d-727cx,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6447d696d-727cx,istio-proxy,7,93
default,frontend-us-central-1-6447d696d-jr2cl,hotel-reserv-frontend,0,3
default,frontend-us-central-1-6447d696d-jr2cl,istio-proxy,5,93
default,frontend-us-east-1-698f5c85d8-2ccth,hotel-reserv-frontend,0,4
default,frontend-us-east-1-698f5c85d8-2ccth,istio-proxy,11,92
default,frontend-us-east-1-698f5c85d8-xf84z,hotel-reserv-frontend,0,4
default,frontend-us-east-1-698f5c85d8-xf84z,istio-proxy,5,91
default,frontend-us-south-1-cb8fb57dd-4plns,hotel-reserv-frontend,0,5
default,frontend-us-south-1-cb8fb57dd-4plns,istio-proxy,7,90
default,frontend-us-south-1-cb8fb57dd-8fjmj,hotel-reserv-frontend,0,4
default,frontend-us-south-1-cb8fb57dd-8fjmj,istio-proxy,8,92
default,frontend-us-west-1-7c7d955dfb-frl7t,hotel-reserv-frontend,0,18
default,frontend-us-west-1-7c7d955dfb-frl7t,istio-proxy,7,127
default,frontend-us-west-1-7c7d955dfb-hglkx,hotel-reserv-frontend,0,18
default,frontend-us-west-1-7c7d955dfb-hglkx,istio-proxy,10,120
default,geo-us-central-1-f5b7fd98d-g8p6s,hotel-reserv-geo,0,5
default,geo-us-central-1-f5b7fd98d-g8p6s,istio-proxy,7,90
default,geo-us-central-1-f5b7fd98d-k9m6c,hotel-reserv-geo,0,5
default,geo-us-central-1-f5b7fd98d-k9m6c,istio-proxy,5,93
default,geo-us-east-1-54f9965dcd-8d5c4,hotel-reserv-geo,0,5
default,geo-us-east-1-54f9965dcd-8d5c4,istio-proxy,14,95
default,geo-us-east-1-54f9965dcd-b2p9j,hotel-reserv-geo,1,5
default,geo-us-east-1-54f9965dcd-b2p9j,istio-proxy,20,92
default,geo-us-south-1-5974847b96-55wb7,hotel-reserv-geo,0,6
default,geo-us-south-1-5974847b96-55wb7,istio-proxy,5,91
default,geo-us-south-1-5974847b96-lhhql,hotel-reserv-geo,0,5
default,geo-us-south-1-5974847b96-lhhql,istio-proxy,7,94
default,geo-us-west-1-76c8b5d8c8-27mh8,hotel-reserv-geo,0,9
default,geo-us-west-1-76c8b5d8c8-27mh8,istio-proxy,6,92
default,geo-us-west-1-76c8b5d8c8-tnjft,hotel-reserv-geo,0,10
default,geo-us-west-1-76c8b5d8c8-tnjft,istio-proxy,6,93
default,jaeger-644fb7f58f-kxghd,hotel-reserv-jaeger,0,11
default,jaeger-644fb7f58f-kxghd,istio-proxy,7,91
default,memcached-profile-us-central-1-868b4585f8-bdwmc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-868b4585f8-bdwmc,istio-proxy,5,93
default,memcached-profile-us-central-1-868b4585f8-zjs4c,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-868b4585f8-zjs4c,istio-proxy,5,93
default,memcached-profile-us-east-1-5f6c967df6-cl4dv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5f6c967df6-cl4dv,istio-proxy,7,91
default,memcached-profile-us-east-1-5f6c967df6-xccl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5f6c967df6-xccl8,istio-proxy,10,92
default,memcached-profile-us-south-1-6dc88d5df4-bxpfd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dc88d5df4-bxpfd,istio-proxy,7,95
default,memcached-profile-us-south-1-6dc88d5df4-hctps,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6dc88d5df4-hctps,istio-proxy,6,92
default,memcached-profile-us-west-1-5dffc95bd5-8cwvp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5dffc95bd5-8cwvp,istio-proxy,7,92
default,memcached-profile-us-west-1-5dffc95bd5-xbdbq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5dffc95bd5-xbdbq,istio-proxy,6,93
default,memcached-rate-us-central-1-6df5897d45-98448,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6df5897d45-98448,istio-proxy,5,92
default,memcached-rate-us-central-1-6df5897d45-nf787,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6df5897d45-nf787,istio-proxy,5,91
default,memcached-rate-us-east-1-79fffb8859-drq8h,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79fffb8859-drq8h,istio-proxy,9,92
default,memcached-rate-us-east-1-79fffb8859-lnfml,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79fffb8859-lnfml,istio-proxy,13,95
default,memcached-rate-us-south-1-6d677dfb9-jc6mr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6d677dfb9-jc6mr,istio-proxy,7,91
default,memcached-rate-us-south-1-6d677dfb9-vsp2l,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6d677dfb9-vsp2l,istio-proxy,8,93
default,memcached-rate-us-west-1-75d5657659-ww2xr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-75d5657659-ww2xr,istio-proxy,6,91
default,memcached-rate-us-west-1-75d5657659-zx8q2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-75d5657659-zx8q2,istio-proxy,8,92
default,memcached-reserve-us-central-1-5b49c5f74d-67w6l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5b49c5f74d-67w6l,istio-proxy,9,91
default,memcached-reserve-us-central-1-5b49c5f74d-l48pt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-5b49c5f74d-l48pt,istio-proxy,6,91
default,memcached-reserve-us-east-1-78c8bb49d4-945q9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-78c8bb49d4-945q9,istio-proxy,7,91
default,memcached-reserve-us-east-1-78c8bb49d4-lr5sm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-78c8bb49d4-lr5sm,istio-proxy,19,92
default,memcached-reserve-us-south-1-78bcf4475b-cmpch,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78bcf4475b-cmpch,istio-proxy,6,92
default,memcached-reserve-us-south-1-78bcf4475b-xlbbx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-78bcf4475b-xlbbx,istio-proxy,7,92
default,memcached-reserve-us-west-1-6ddcc88968-rmrcm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6ddcc88968-rmrcm,istio-proxy,8,92
default,memcached-reserve-us-west-1-6ddcc88968-rxftm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6ddcc88968-rxftm,istio-proxy,9,90
default,mongodb-geo-us-central-1-b7cc9c5cd-fr5dl,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-central-1-b7cc9c5cd-fr5dl,istio-proxy,5,93
default,mongodb-geo-us-east-1-7cf9c987d6-f85vz,hotel-reserv-geo-mongo,6,157
default,mongodb-geo-us-east-1-7cf9c987d6-f85vz,istio-proxy,7,91
default,mongodb-geo-us-south-1-595d65b666-tq446,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-595d65b666-tq446,istio-proxy,7,92
default,mongodb-geo-us-west-1-8478765998-9cdg6,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-west-1-8478765998-9cdg6,istio-proxy,5,91
default,mongodb-profile-us-central-1-7b8f85d467-clftr,hotel-reserv-profile-mongo,4,164
default,mongodb-profile-us-central-1-7b8f85d467-clftr,istio-proxy,4,91
default,mongodb-profile-us-east-1-545b84b48f-r569l,hotel-reserv-profile-mongo,5,161
default,mongodb-profile-us-east-1-545b84b48f-r569l,istio-proxy,11,92
default,mongodb-profile-us-south-1-7c97544d67-p2c4z,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-south-1-7c97544d67-p2c4z,istio-proxy,5,92
default,mongodb-profile-us-west-1-b7688d58f-j67mm,hotel-reserv-profile-mongo,4,161
default,mongodb-profile-us-west-1-b7688d58f-j67mm,istio-proxy,5,92
default,mongodb-rate-us-central-1-7f9595c4fb-7lqmv,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-central-1-7f9595c4fb-7lqmv,istio-proxy,5,90
default,mongodb-rate-us-east-1-869c9b7d77-ml2q7,hotel-reserv-rate-mongo,6,158
default,mongodb-rate-us-east-1-869c9b7d77-ml2q7,istio-proxy,16,93
default,mongodb-rate-us-south-1-7d94d9f5bf-6pxqp,hotel-reserv-rate-mongo,26,160
default,mongodb-rate-us-south-1-7d94d9f5bf-6pxqp,istio-proxy,11,93
default,mongodb-rate-us-west-1-695dbc4745-ppdwp,hotel-reserv-rate-mongo,4,158
default,mongodb-rate-us-west-1-695dbc4745-ppdwp,istio-proxy,7,93
default,mongodb-recommendation-us-central-1-5c8b757fb4-98dlf,hotel-reserv-recommendation-mongo,3,157
default,mongodb-recommendation-us-central-1-5c8b757fb4-98dlf,istio-proxy,6,92
default,mongodb-recommendation-us-east-1-644dbbd9bc-kzvnr,hotel-reserv-recommendation-mongo,4,159
default,mongodb-recommendation-us-east-1-644dbbd9bc-kzvnr,istio-proxy,16,92
default,mongodb-recommendation-us-south-1-565d7b748f-gth6z,hotel-reserv-recommendation-mongo,21,159
default,mongodb-recommendation-us-south-1-565d7b748f-gth6z,istio-proxy,5,94
default,mongodb-recommendation-us-west-1-5fc4c58c-qfj76,hotel-reserv-recommendation-mongo,29,164
default,mongodb-recommendation-us-west-1-5fc4c58c-qfj76,istio-proxy,9,93
default,mongodb-reservation-us-central-1-5c97dd7869-kl2dv,hotel-reserv-reservation-mongo,17,157
default,mongodb-reservation-us-central-1-5c97dd7869-kl2dv,istio-proxy,13,93
default,mongodb-reservation-us-east-1-77844bc4bd-t8zbz,hotel-reserv-reservation-mongo,10,157
default,mongodb-reservation-us-east-1-77844bc4bd-t8zbz,istio-proxy,11,92
default,mongodb-reservation-us-south-1-559db9bf8d-cmzxl,hotel-reserv-reservation-mongo,19,158
default,mongodb-reservation-us-south-1-559db9bf8d-cmzxl,istio-proxy,6,93
default,mongodb-reservation-us-west-1-6876575b44-zm5d8,hotel-reserv-reservation-mongo,40,154
default,mongodb-reservation-us-west-1-6876575b44-zm5d8,istio-proxy,9,93
default,mongodb-user-us-central-1-5b499f6694-c8kbl,hotel-reserv-user-mongo,85,166
default,mongodb-user-us-central-1-5b499f6694-c8kbl,istio-proxy,5,92
default,mongodb-user-us-east-1-56c8b74f86-jlkf6,hotel-reserv-user-mongo,3,169
default,mongodb-user-us-east-1-56c8b74f86-jlkf6,istio-proxy,19,92
default,mongodb-user-us-south-1-cbbd7fc4b-g9cjh,hotel-reserv-user-mongo,3,168
default,mongodb-user-us-south-1-cbbd7fc4b-g9cjh,istio-proxy,10,94
default,mongodb-user-us-west-1-778c8d7fbb-bltdw,hotel-reserv-user-mongo,28,196
default,mongodb-user-us-west-1-778c8d7fbb-bltdw,istio-proxy,25,91
default,profile-us-central-1-6fc9d4d7c4-nfckx,hotel-reserv-profile,0,3
default,profile-us-central-1-6fc9d4d7c4-nfckx,istio-proxy,5,92
default,profile-us-central-1-6fc9d4d7c4-v6mxk,hotel-reserv-profile,0,3
default,profile-us-central-1-6fc9d4d7c4-v6mxk,istio-proxy,18,95
default,profile-us-east-1-598b866985-mfv2g,hotel-reserv-profile,0,4
default,profile-us-east-1-598b866985-mfv2g,istio-proxy,7,92
default,profile-us-east-1-598b866985-wqtr6,hotel-reserv-profile,0,4
default,profile-us-east-1-598b866985-wqtr6,istio-proxy,13,92
default,profile-us-south-1-5687df865-98dqm,hotel-reserv-profile,0,5
default,profile-us-south-1-5687df865-98dqm,istio-proxy,7,93
default,profile-us-south-1-5687df865-b6gxq,hotel-reserv-profile,0,3
default,profile-us-south-1-5687df865-b6gxq,istio-proxy,5,91
default,profile-us-west-1-6885dbbf97-j48xn,hotel-reserv-profile,0,5
default,profile-us-west-1-6885dbbf97-j48xn,istio-proxy,8,94
default,profile-us-west-1-6885dbbf97-l5qvc,hotel-reserv-profile,0,5
default,profile-us-west-1-6885dbbf97-l5qvc,istio-proxy,5,92
default,rate-us-central-1-596799684f-99q5c,hotel-reserv-rate,0,4
default,rate-us-central-1-596799684f-99q5c,istio-proxy,5,92
default,rate-us-central-1-596799684f-gpgbz,hotel-reserv-rate,0,4
default,rate-us-central-1-596799684f-gpgbz,istio-proxy,5,91
default,rate-us-east-1-6c86d644c-cnrzg,hotel-reserv-rate,0,4
default,rate-us-east-1-6c86d644c-cnrzg,istio-proxy,13,93
default,rate-us-east-1-6c86d644c-htb2d,hotel-reserv-rate,0,4
default,rate-us-east-1-6c86d644c-htb2d,istio-proxy,10,92
default,rate-us-south-1-54cf469548-fbh68,hotel-reserv-rate,0,3
default,rate-us-south-1-54cf469548-fbh68,istio-proxy,6,92
default,rate-us-south-1-54cf469548-rxcdh,hotel-reserv-rate,0,4
default,rate-us-south-1-54cf469548-rxcdh,istio-proxy,5,91
default,rate-us-west-1-78b598b468-lszlq,hotel-reserv-rate,0,3
default,rate-us-west-1-78b598b468-lszlq,istio-proxy,5,92
default,rate-us-west-1-78b598b468-n76q6,hotel-reserv-rate,0,4
default,rate-us-west-1-78b598b468-n76q6,istio-proxy,9,92
default,recommendation-us-central-1-7986845cc4-25v4n,hotel-reserv-recommendation,0,7
default,recommendation-us-central-1-7986845cc4-25v4n,istio-proxy,6,93
default,recommendation-us-central-1-7986845cc4-j2pp6,hotel-reserv-recommendation,0,7
default,recommendation-us-central-1-7986845cc4-j2pp6,istio-proxy,5,91
default,recommendation-us-east-1-6796d49744-n8tmd,hotel-reserv-recommendation,0,7
default,recommendation-us-east-1-6796d49744-n8tmd,istio-proxy,7,93
default,recommendation-us-east-1-6796d49744-vkl7l,hotel-reserv-recommendation,0,7
default,recommendation-us-east-1-6796d49744-vkl7l,istio-proxy,9,92
default,recommendation-us-south-1-59f78d598f-4lchd,hotel-reserv-recommendation,2,7
default,recommendation-us-south-1-59f78d598f-4lchd,istio-proxy,9,93
default,recommendation-us-south-1-59f78d598f-kr86b,hotel-reserv-recommendation,0,7
default,recommendation-us-south-1-59f78d598f-kr86b,istio-proxy,5,91
default,recommendation-us-west-1-7d9d89d88f-gntns,hotel-reserv-recommendation,6,12
default,recommendation-us-west-1-7d9d89d88f-gntns,istio-proxy,7,90
default,recommendation-us-west-1-7d9d89d88f-s4b22,hotel-reserv-recommendation,0,11
default,recommendation-us-west-1-7d9d89d88f-s4b22,istio-proxy,7,91
default,reservation-us-central-1-64ff5f99b6-m77rd,hotel-reserv-reservation,0,4
default,reservation-us-central-1-64ff5f99b6-m77rd,istio-proxy,5,95
default,reservation-us-central-1-64ff5f99b6-wv9v5,hotel-reserv-reservation,0,4
default,reservation-us-central-1-64ff5f99b6-wv9v5,istio-proxy,6,91
default,reservation-us-east-1-cd5bcb8c4-htdg5,hotel-reserv-reservation,0,4
default,reservation-us-east-1-cd5bcb8c4-htdg5,istio-proxy,7,91
default,reservation-us-east-1-cd5bcb8c4-w5v7s,hotel-reserv-reservation,1,5
default,reservation-us-east-1-cd5bcb8c4-w5v7s,istio-proxy,6,94
default,reservation-us-south-1-74b6d84df5-4ccbk,hotel-reserv-reservation,0,3
default,reservation-us-south-1-74b6d84df5-4ccbk,istio-proxy,11,91
default,reservation-us-south-1-74b6d84df5-n98wq,hotel-reserv-reservation,0,3
default,reservation-us-south-1-74b6d84df5-n98wq,istio-proxy,6,92
default,reservation-us-west-1-bf74749b9-cxw8w,hotel-reserv-reservation,0,4
default,reservation-us-west-1-bf74749b9-cxw8w,istio-proxy,6,90
default,reservation-us-west-1-bf74749b9-l6xx6,hotel-reserv-reservation,0,4
default,reservation-us-west-1-bf74749b9-l6xx6,istio-proxy,8,92
default,search-us-central-1-6888b977b6-vbmtg,hotel-reserv-search,0,2
default,search-us-central-1-6888b977b6-vbmtg,istio-proxy,5,91
default,search-us-central-1-6888b977b6-vx8cm,hotel-reserv-search,0,2
default,search-us-central-1-6888b977b6-vx8cm,istio-proxy,6,91
default,search-us-east-1-85c896c75d-gpsx6,hotel-reserv-search,0,2
default,search-us-east-1-85c896c75d-gpsx6,istio-proxy,8,92
default,search-us-east-1-85c896c75d-jm7nn,hotel-reserv-search,0,3
default,search-us-east-1-85c896c75d-jm7nn,istio-proxy,6,92
default,search-us-south-1-678c946fc7-lf8q6,hotel-reserv-search,0,2
default,search-us-south-1-678c946fc7-lf8q6,istio-proxy,8,92
default,search-us-south-1-678c946fc7-qtdqs,hotel-reserv-search,0,3
default,search-us-south-1-678c946fc7-qtdqs,istio-proxy,4,92
default,search-us-west-1-7c6c8494b7-xjhxr,hotel-reserv-search,0,2
default,search-us-west-1-7c6c8494b7-xjhxr,istio-proxy,5,92
default,search-us-west-1-7c6c8494b7-xwc66,hotel-reserv-search,0,2
default,search-us-west-1-7c6c8494b7-xwc66,istio-proxy,7,88
default,slate-controller-c8cf9b67c-wbh4f,slate-controller,217,131
default,slate-controller-c8cf9b67c-wbh4f,istio-proxy,97,90
default,slateingress-us-central-1-5645fb4475-mx565,slateingress,0,5
default,slateingress-us-central-1-5645fb4475-mx565,istio-proxy,10,86
default,slateingress-us-central-1-5645fb4475-xdfsh,slateingress,0,5
default,slateingress-us-central-1-5645fb4475-xdfsh,istio-proxy,10,87
default,slateingress-us-east-1-84f7f64cb6-45bwg,slateingress,0,5
default,slateingress-us-east-1-84f7f64cb6-45bwg,istio-proxy,14,90
default,slateingress-us-east-1-84f7f64cb6-sz8w2,slateingress,0,5
default,slateingress-us-east-1-84f7f64cb6-sz8w2,istio-proxy,17,89
default,slateingress-us-south-1-857bb5f75d-r7496,slateingress,0,5
default,slateingress-us-south-1-857bb5f75d-r7496,istio-proxy,5,89
default,slateingress-us-south-1-857bb5f75d-vmzqg,slateingress,0,5
default,slateingress-us-south-1-857bb5f75d-vmzqg,istio-proxy,4,91
default,slateingress-us-west-1-d4c4d9878-6hbvc,slateingress,0,5
default,slateingress-us-west-1-d4c4d9878-6hbvc,istio-proxy,8,86
default,slateingress-us-west-1-d4c4d9878-8dfqt,slateingress,0,5
