Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-757b668d96-2qhr6,consul,11,34
default,consul-757b668d96-2qhr6,istio-proxy,9,94
default,frontend-us-central-1-749774c475-85j6b,hotel-reserv-frontend,0,3
default,frontend-us-central-1-749774c475-85j6b,istio-proxy,9,93
default,frontend-us-central-1-749774c475-w6qxv,hotel-reserv-frontend,0,4
default,frontend-us-central-1-749774c475-w6qxv,istio-proxy,7,92
default,frontend-us-east-1-659fb8b9c7-7dvb2,hotel-reserv-frontend,0,5
default,frontend-us-east-1-659fb8b9c7-7dvb2,istio-proxy,8,95
default,frontend-us-east-1-659fb8b9c7-snlr6,hotel-reserv-frontend,0,9
default,frontend-us-east-1-659fb8b9c7-snlr6,istio-proxy,7,101
default,frontend-us-south-1-7b59f74f9-nb94c,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7b59f74f9-nb94c,istio-proxy,8,92
default,frontend-us-south-1-7b59f74f9-xwzg5,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7b59f74f9-xwzg5,istio-proxy,5,92
default,frontend-us-west-1-d67bcf99b-4gvsv,hotel-reserv-frontend,0,13
default,frontend-us-west-1-d67bcf99b-4gvsv,istio-proxy,8,110
default,frontend-us-west-1-d67bcf99b-cnw7c,hotel-reserv-frontend,0,10
default,frontend-us-west-1-d67bcf99b-cnw7c,istio-proxy,8,101
default,geo-us-central-1-76b56f57bc-ggcnf,hotel-reserv-geo,0,7
default,geo-us-central-1-76b56f57bc-ggcnf,istio-proxy,8,94
default,geo-us-central-1-76b56f57bc-x72qh,hotel-reserv-geo,0,6
default,geo-us-central-1-76b56f57bc-x72qh,istio-proxy,8,95
default,geo-us-east-1-9f55b75dc-blkfm,hotel-reserv-geo,0,7
default,geo-us-east-1-9f55b75dc-blkfm,istio-proxy,9,93
default,geo-us-east-1-9f55b75dc-w7jx9,hotel-reserv-geo,0,7
default,geo-us-east-1-9f55b75dc-w7jx9,istio-proxy,7,93
default,geo-us-south-1-789745b5b7-4hg9w,hotel-reserv-geo,0,7
default,geo-us-south-1-789745b5b7-4hg9w,istio-proxy,9,91
default,geo-us-south-1-789745b5b7-gp229,hotel-reserv-geo,0,7
default,geo-us-south-1-789745b5b7-gp229,istio-proxy,6,91
default,geo-us-west-1-7f98fd896c-j9hgq,hotel-reserv-geo,0,7
default,geo-us-west-1-7f98fd896c-j9hgq,istio-proxy,7,92
