Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65bc54bd-fbzn9,consul,10,34
default,consul-65bc54bd-fbzn9,istio-proxy,4,93
default,frontend-us-central-1-684659c955-8gdt9,hotel-reserv-frontend,195,8
default,frontend-us-central-1-684659c955-8gdt9,istio-proxy,477,93
default,frontend-us-central-1-684659c955-p2jst,hotel-reserv-frontend,151,8
default,frontend-us-central-1-684659c955-p2jst,istio-proxy,356,94
default,frontend-us-east-1-778d856949-dxrnr,hotel-reserv-frontend,115,8
default,frontend-us-east-1-778d856949-dxrnr,istio-proxy,244,94
default,frontend-us-east-1-778d856949-dzwk6,hotel-reserv-frontend,33,16
default,frontend-us-east-1-778d856949-dzwk6,istio-proxy,72,110
default,frontend-us-south-1-56f5bbd69b-5lsd8,hotel-reserv-frontend,144,8
default,frontend-us-south-1-56f5bbd69b-5lsd8,istio-proxy,227,96
default,frontend-us-south-1-56f5bbd69b-swtxw,hotel-reserv-frontend,99,8
default,frontend-us-south-1-56f5bbd69b-swtxw,istio-proxy,496,94
default,frontend-us-west-1-6c8567dd6d-259nv,hotel-reserv-frontend,439,33
default,frontend-us-west-1-6c8567dd6d-259nv,istio-proxy,1803,157
default,frontend-us-west-1-6c8567dd6d-mtkmx,hotel-reserv-frontend,549,33
default,frontend-us-west-1-6c8567dd6d-mtkmx,istio-proxy,1088,156
default,geo-us-central-1-69bf48c9d7-f6nbr,hotel-reserv-geo,20,8
default,geo-us-central-1-69bf48c9d7-f6nbr,istio-proxy,56,92
default,geo-us-central-1-69bf48c9d7-fbwgq,hotel-reserv-geo,17,8
default,geo-us-central-1-69bf48c9d7-fbwgq,istio-proxy,43,93
default,geo-us-east-1-64969d64c9-vskdf,hotel-reserv-geo,9,8
default,geo-us-east-1-64969d64c9-vskdf,istio-proxy,15,93
default,geo-us-east-1-64969d64c9-xvhhd,hotel-reserv-geo,5,7
default,geo-us-east-1-64969d64c9-xvhhd,istio-proxy,11,94
default,geo-us-south-1-587d6cc855-rgxck,hotel-reserv-geo,27,8
default,geo-us-south-1-587d6cc855-rgxck,istio-proxy,52,93
default,geo-us-south-1-587d6cc855-zrfcq,hotel-reserv-geo,28,8
default,geo-us-south-1-587d6cc855-zrfcq,istio-proxy,36,94
default,geo-us-west-1-65b6766cd9-rvnw5,hotel-reserv-geo,81,11
default,geo-us-west-1-65b6766cd9-rvnw5,istio-proxy,189,92
default,geo-us-west-1-65b6766cd9-xrpv2,hotel-reserv-geo,59,10
default,geo-us-west-1-65b6766cd9-xrpv2,istio-proxy,204,93
default,jaeger-68859f55df-2xbhg,hotel-reserv-jaeger,209,246
default,jaeger-68859f55df-2xbhg,istio-proxy,3,95
default,memcached-profile-us-central-1-574654db94-bqk9w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-574654db94-bqk9w,istio-proxy,4,92
default,memcached-profile-us-central-1-574654db94-kbwfc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-574654db94-kbwfc,istio-proxy,4,91
default,memcached-profile-us-east-1-fd64f58cb-4mdn4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-fd64f58cb-4mdn4,istio-proxy,3,93
default,memcached-profile-us-east-1-fd64f58cb-xngjz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-fd64f58cb-xngjz,istio-proxy,4,91
default,memcached-profile-us-south-1-6d78bdf845-59nlt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d78bdf845-59nlt,istio-proxy,3,93
default,memcached-profile-us-south-1-6d78bdf845-n4v8x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d78bdf845-n4v8x,istio-proxy,3,93
default,memcached-profile-us-west-1-748fcdf865-n725n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-748fcdf865-n725n,istio-proxy,5,93
default,memcached-profile-us-west-1-748fcdf865-pqxgz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-748fcdf865-pqxgz,istio-proxy,4,90
default,memcached-rate-us-central-1-86b96bb57-4jkns,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-86b96bb57-4jkns,istio-proxy,4,92
default,memcached-rate-us-central-1-86b96bb57-b44nf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-86b96bb57-b44nf,istio-proxy,4,93
default,memcached-rate-us-east-1-56bbc97659-drbwg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56bbc97659-drbwg,istio-proxy,4,93
default,memcached-rate-us-east-1-56bbc97659-rlfgj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56bbc97659-rlfgj,istio-proxy,4,94
default,memcached-rate-us-south-1-6fb5cbcb9c-msgvp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6fb5cbcb9c-msgvp,istio-proxy,4,95
default,memcached-rate-us-south-1-6fb5cbcb9c-whfp4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6fb5cbcb9c-whfp4,istio-proxy,4,93
default,memcached-rate-us-west-1-69875b8c66-jcr6c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69875b8c66-jcr6c,istio-proxy,4,92
default,memcached-rate-us-west-1-69875b8c66-wzvfb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69875b8c66-wzvfb,istio-proxy,4,92
default,memcached-reserve-us-central-1-69dbd647b4-5d2fr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69dbd647b4-5d2fr,istio-proxy,4,91
default,memcached-reserve-us-central-1-69dbd647b4-sv9cb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69dbd647b4-sv9cb,istio-proxy,3,92
default,memcached-reserve-us-east-1-5b4fccdb96-g7ztz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5b4fccdb96-g7ztz,istio-proxy,3,93
default,memcached-reserve-us-east-1-5b4fccdb96-tgln8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5b4fccdb96-tgln8,istio-proxy,3,93
