Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65bc54bd-fbzn9,consul,10,34
default,consul-65bc54bd-fbzn9,istio-proxy,4,94
default,frontend-us-central-1-684659c955-8gdt9,hotel-reserv-frontend,0,4
default,frontend-us-central-1-684659c955-8gdt9,istio-proxy,4,92
default,frontend-us-central-1-684659c955-p2jst,hotel-reserv-frontend,0,3
default,frontend-us-central-1-684659c955-p2jst,istio-proxy,4,92
default,frontend-us-east-1-778d856949-dxrnr,hotel-reserv-frontend,0,4
default,frontend-us-east-1-778d856949-dxrnr,istio-proxy,4,92
default,frontend-us-east-1-778d856949-dzwk6,hotel-reserv-frontend,0,4
default,frontend-us-east-1-778d856949-dzwk6,istio-proxy,4,94
default,frontend-us-south-1-56f5bbd69b-5lsd8,hotel-reserv-frontend,0,4
default,frontend-us-south-1-56f5bbd69b-5lsd8,istio-proxy,4,94
default,frontend-us-south-1-56f5bbd69b-swtxw,hotel-reserv-frontend,0,4
default,frontend-us-south-1-56f5bbd69b-swtxw,istio-proxy,4,91
default,frontend-us-west-1-6c8567dd6d-259nv,hotel-reserv-frontend,0,16
default,frontend-us-west-1-6c8567dd6d-259nv,istio-proxy,7,119
default,frontend-us-west-1-6c8567dd6d-mtkmx,hotel-reserv-frontend,0,12
default,frontend-us-west-1-6c8567dd6d-mtkmx,istio-proxy,4,113
default,geo-us-central-1-69bf48c9d7-f6nbr,hotel-reserv-geo,0,7
default,geo-us-central-1-69bf48c9d7-f6nbr,istio-proxy,4,91
default,geo-us-central-1-69bf48c9d7-fbwgq,hotel-reserv-geo,0,7
default,geo-us-central-1-69bf48c9d7-fbwgq,istio-proxy,4,93
default,geo-us-east-1-64969d64c9-vskdf,hotel-reserv-geo,0,6
default,geo-us-east-1-64969d64c9-vskdf,istio-proxy,5,92
default,geo-us-east-1-64969d64c9-xvhhd,hotel-reserv-geo,0,7
default,geo-us-east-1-64969d64c9-xvhhd,istio-proxy,5,93
default,geo-us-south-1-587d6cc855-rgxck,hotel-reserv-geo,0,7
default,geo-us-south-1-587d6cc855-rgxck,istio-proxy,4,92
default,geo-us-south-1-587d6cc855-zrfcq,hotel-reserv-geo,0,7
default,geo-us-south-1-587d6cc855-zrfcq,istio-proxy,4,93
default,geo-us-west-1-65b6766cd9-rvnw5,hotel-reserv-geo,0,6
default,geo-us-west-1-65b6766cd9-rvnw5,istio-proxy,4,92
default,geo-us-west-1-65b6766cd9-xrpv2,hotel-reserv-geo,0,6
default,geo-us-west-1-65b6766cd9-xrpv2,istio-proxy,4,93
default,jaeger-68859f55df-2xbhg,hotel-reserv-jaeger,0,12
default,jaeger-68859f55df-2xbhg,istio-proxy,3,95
default,memcached-profile-us-central-1-574654db94-bqk9w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-574654db94-bqk9w,istio-proxy,4,92
default,memcached-profile-us-central-1-574654db94-kbwfc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-574654db94-kbwfc,istio-proxy,4,90
default,memcached-profile-us-east-1-fd64f58cb-4mdn4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-fd64f58cb-4mdn4,istio-proxy,4,93
default,memcached-profile-us-east-1-fd64f58cb-xngjz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-fd64f58cb-xngjz,istio-proxy,4,91
default,memcached-profile-us-south-1-6d78bdf845-59nlt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d78bdf845-59nlt,istio-proxy,4,93
default,memcached-profile-us-south-1-6d78bdf845-n4v8x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d78bdf845-n4v8x,istio-proxy,4,93
default,memcached-profile-us-west-1-748fcdf865-n725n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-748fcdf865-n725n,istio-proxy,4,93
default,memcached-profile-us-west-1-748fcdf865-pqxgz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-748fcdf865-pqxgz,istio-proxy,4,90
default,memcached-rate-us-central-1-86b96bb57-4jkns,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-86b96bb57-4jkns,istio-proxy,4,92
default,memcached-rate-us-central-1-86b96bb57-b44nf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-86b96bb57-b44nf,istio-proxy,4,93
default,memcached-rate-us-east-1-56bbc97659-drbwg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56bbc97659-drbwg,istio-proxy,4,93
default,memcached-rate-us-east-1-56bbc97659-rlfgj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-56bbc97659-rlfgj,istio-proxy,4,94
default,memcached-rate-us-south-1-6fb5cbcb9c-msgvp,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6fb5cbcb9c-msgvp,istio-proxy,4,95
default,memcached-rate-us-south-1-6fb5cbcb9c-whfp4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6fb5cbcb9c-whfp4,istio-proxy,4,93
default,memcached-rate-us-west-1-69875b8c66-jcr6c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69875b8c66-jcr6c,istio-proxy,4,92
default,memcached-rate-us-west-1-69875b8c66-wzvfb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69875b8c66-wzvfb,istio-proxy,4,92
default,memcached-reserve-us-central-1-69dbd647b4-5d2fr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69dbd647b4-5d2fr,istio-proxy,4,91
default,memcached-reserve-us-central-1-69dbd647b4-sv9cb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69dbd647b4-sv9cb,istio-proxy,4,92
default,memcached-reserve-us-east-1-5b4fccdb96-g7ztz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5b4fccdb96-g7ztz,istio-proxy,4,93
default,memcached-reserve-us-east-1-5b4fccdb96-tgln8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5b4fccdb96-tgln8,istio-proxy,4,93
default,memcached-reserve-us-south-1-86d49bdfb4-4gpbv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86d49bdfb4-4gpbv,istio-proxy,4,93
default,memcached-reserve-us-south-1-86d49bdfb4-j97cl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86d49bdfb4-j97cl,istio-proxy,4,92
default,memcached-reserve-us-west-1-666b57c46f-qctgv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-666b57c46f-qctgv,istio-proxy,4,91
default,memcached-reserve-us-west-1-666b57c46f-s4vrg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-666b57c46f-s4vrg,istio-proxy,4,90
default,mongodb-geo-us-central-1-6744f5b64b-7pfd9,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-6744f5b64b-7pfd9,istio-proxy,4,93
default,mongodb-geo-us-east-1-7f7bb8b658-q9dzj,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-7f7bb8b658-q9dzj,istio-proxy,4,90
default,mongodb-geo-us-south-1-65f669d998-2q7gd,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-65f669d998-2q7gd,istio-proxy,4,92
default,mongodb-geo-us-west-1-64fd865875-dzs92,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-64fd865875-dzs92,istio-proxy,3,91
default,mongodb-profile-us-central-1-74b5f6b8f9-67vth,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-central-1-74b5f6b8f9-67vth,istio-proxy,4,92
default,mongodb-profile-us-east-1-767ccd7bbf-v5rm9,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-east-1-767ccd7bbf-v5rm9,istio-proxy,4,93
default,mongodb-profile-us-south-1-7c5c654fbc-9tx75,hotel-reserv-profile-mongo,4,158
default,mongodb-profile-us-south-1-7c5c654fbc-9tx75,istio-proxy,4,94
default,mongodb-profile-us-west-1-5b8bdb6bcd-cvbhn,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-west-1-5b8bdb6bcd-cvbhn,istio-proxy,4,92
default,mongodb-rate-us-central-1-685755d9d5-mt9rq,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-central-1-685755d9d5-mt9rq,istio-proxy,3,93
default,mongodb-rate-us-east-1-7df4bb869c-j2xtk,hotel-reserv-rate-mongo,3,161
default,mongodb-rate-us-east-1-7df4bb869c-j2xtk,istio-proxy,4,92
default,mongodb-rate-us-south-1-5f676988fc-sx9lm,hotel-reserv-rate-mongo,4,161
default,mongodb-rate-us-south-1-5f676988fc-sx9lm,istio-proxy,4,92
