Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-9df5664fd-qknrh,consul,10,35
default,consul-9df5664fd-qknrh,istio-proxy,3,89
default,frontend-us-central-1-d87b7d65c-5lsgc,hotel-reserv-frontend,0,4
default,frontend-us-central-1-d87b7d65c-5lsgc,istio-proxy,3,89
default,frontend-us-central-1-d87b7d65c-gdr2l,hotel-reserv-frontend,0,4
default,frontend-us-central-1-d87b7d65c-gdr2l,istio-proxy,4,88
default,frontend-us-east-1-7668f946f9-jlz74,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7668f946f9-jlz74,istio-proxy,3,87
default,frontend-us-east-1-7668f946f9-ppczj,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7668f946f9-ppczj,istio-proxy,3,89
default,frontend-us-south-1-78c59d8785-7gv9j,hotel-reserv-frontend,0,4
default,frontend-us-south-1-78c59d8785-7gv9j,istio-proxy,3,89
default,frontend-us-south-1-78c59d8785-gc7zn,hotel-reserv-frontend,0,4
default,frontend-us-south-1-78c59d8785-gc7zn,istio-proxy,4,87
default,frontend-us-west-1-68d85fccf4-c7h8m,hotel-reserv-frontend,0,20
default,frontend-us-west-1-68d85fccf4-c7h8m,istio-proxy,4,136
default,frontend-us-west-1-68d85fccf4-hc8z2,hotel-reserv-frontend,0,13
default,frontend-us-west-1-68d85fccf4-hc8z2,istio-proxy,4,119
default,geo-us-central-1-7c4d6c746f-69vfp,hotel-reserv-geo,0,5
default,geo-us-central-1-7c4d6c746f-69vfp,istio-proxy,3,89
default,geo-us-central-1-7c4d6c746f-txpcr,hotel-reserv-geo,0,5
default,geo-us-central-1-7c4d6c746f-txpcr,istio-proxy,4,87
default,geo-us-east-1-5cc58f998f-lb4mw,hotel-reserv-geo,0,5
default,geo-us-east-1-5cc58f998f-lb4mw,istio-proxy,4,87
default,geo-us-east-1-5cc58f998f-ppb9l,hotel-reserv-geo,0,5
default,geo-us-east-1-5cc58f998f-ppb9l,istio-proxy,4,89
default,geo-us-south-1-66fd6c85b9-6zv28,hotel-reserv-geo,0,5
default,geo-us-south-1-66fd6c85b9-6zv28,istio-proxy,3,89
default,geo-us-south-1-66fd6c85b9-8flsj,hotel-reserv-geo,0,5
