Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-d7d879649-nvmtt,consul,10,34
default,consul-d7d879649-nvmtt,istio-proxy,5,94
default,frontend-us-central-1-55cdb5bff8-bdg9v,hotel-reserv-frontend,102,32
default,frontend-us-central-1-55cdb5bff8-bdg9v,istio-proxy,446,180
default,frontend-us-central-1-55cdb5bff8-dwk7m,hotel-reserv-frontend,67,8
default,frontend-us-central-1-55cdb5bff8-dwk7m,istio-proxy,395,94
default,frontend-us-east-1-7b79b78f6b-5swpl,hotel-reserv-frontend,119,8
default,frontend-us-east-1-7b79b78f6b-5swpl,istio-proxy,296,94
default,frontend-us-east-1-7b79b78f6b-8c9hk,hotel-reserv-frontend,80,8
default,frontend-us-east-1-7b79b78f6b-8c9hk,istio-proxy,5,92
default,frontend-us-south-1-554c99cb78-k2q5d,hotel-reserv-frontend,257,8
default,frontend-us-south-1-554c99cb78-k2q5d,istio-proxy,149,94
default,frontend-us-south-1-554c99cb78-x8bd8,hotel-reserv-frontend,0,4
default,frontend-us-south-1-554c99cb78-x8bd8,istio-proxy,8,95
default,frontend-us-west-1-5b8dd97f-mngbg,hotel-reserv-frontend,545,94
default,frontend-us-west-1-5b8dd97f-mngbg,istio-proxy,962,165
default,frontend-us-west-1-5b8dd97f-wxxdz,hotel-reserv-frontend,255,83
default,frontend-us-west-1-5b8dd97f-wxxdz,istio-proxy,549,151
default,geo-us-central-1-84649786db-8hmzs,hotel-reserv-geo,49,7
default,geo-us-central-1-84649786db-8hmzs,istio-proxy,39,94
default,geo-us-central-1-84649786db-dfdlz,hotel-reserv-geo,36,8
default,geo-us-central-1-84649786db-dfdlz,istio-proxy,23,93
default,geo-us-east-1-7d45f874d-2rrcj,hotel-reserv-geo,20,8
default,geo-us-east-1-7d45f874d-2rrcj,istio-proxy,45,92
default,geo-us-east-1-7d45f874d-t4hwm,hotel-reserv-geo,3,6
default,geo-us-east-1-7d45f874d-t4hwm,istio-proxy,30,92
default,geo-us-south-1-76c5855846-c2n6v,hotel-reserv-geo,43,8
default,geo-us-south-1-76c5855846-c2n6v,istio-proxy,55,92
default,geo-us-south-1-76c5855846-kxk7d,hotel-reserv-geo,36,8
default,geo-us-south-1-76c5855846-kxk7d,istio-proxy,41,94
