Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-d7d879649-nvmtt,consul,13,35
default,consul-d7d879649-nvmtt,istio-proxy,4,94
default,frontend-us-central-1-55cdb5bff8-bdg9v,hotel-reserv-frontend,322,34
default,frontend-us-central-1-55cdb5bff8-bdg9v,istio-proxy,915,181
default,frontend-us-central-1-55cdb5bff8-dwk7m,hotel-reserv-frontend,345,8
default,frontend-us-central-1-55cdb5bff8-dwk7m,istio-proxy,873,95
default,frontend-us-east-1-7b79b78f6b-5swpl,hotel-reserv-frontend,272,8
default,frontend-us-east-1-7b79b78f6b-5swpl,istio-proxy,740,97
default,frontend-us-east-1-7b79b78f6b-8c9hk,hotel-reserv-frontend,248,8
default,frontend-us-east-1-7b79b78f6b-8c9hk,istio-proxy,599,95
default,frontend-us-south-1-554c99cb78-k2q5d,hotel-reserv-frontend,322,8
default,frontend-us-south-1-554c99cb78-k2q5d,istio-proxy,774,97
default,frontend-us-south-1-554c99cb78-x8bd8,hotel-reserv-frontend,273,8
default,frontend-us-south-1-554c99cb78-x8bd8,istio-proxy,726,97
default,frontend-us-west-1-5b8dd97f-mngbg,hotel-reserv-frontend,588,90
default,frontend-us-west-1-5b8dd97f-mngbg,istio-proxy,2791,256
default,frontend-us-west-1-5b8dd97f-wxxdz,hotel-reserv-frontend,634,95
default,frontend-us-west-1-5b8dd97f-wxxdz,istio-proxy,2854,257
default,geo-us-central-1-84649786db-8hmzs,hotel-reserv-geo,49,7
default,geo-us-central-1-84649786db-8hmzs,istio-proxy,151,94
default,geo-us-central-1-84649786db-dfdlz,hotel-reserv-geo,82,8
default,geo-us-central-1-84649786db-dfdlz,istio-proxy,151,93
default,geo-us-east-1-7d45f874d-2rrcj,hotel-reserv-geo,20,8
default,geo-us-east-1-7d45f874d-2rrcj,istio-proxy,119,92
default,geo-us-east-1-7d45f874d-t4hwm,hotel-reserv-geo,47,8
default,geo-us-east-1-7d45f874d-t4hwm,istio-proxy,112,92
default,geo-us-south-1-76c5855846-c2n6v,hotel-reserv-geo,43,8
default,geo-us-south-1-76c5855846-c2n6v,istio-proxy,153,92
default,geo-us-south-1-76c5855846-kxk7d,hotel-reserv-geo,74,8
default,geo-us-south-1-76c5855846-kxk7d,istio-proxy,133,94
default,geo-us-west-1-648d56875-l4vh6,hotel-reserv-geo,64,17
default,geo-us-west-1-648d56875-l4vh6,istio-proxy,186,93
default,geo-us-west-1-648d56875-ljlw2,hotel-reserv-geo,69,16
default,geo-us-west-1-648d56875-ljlw2,istio-proxy,158,93
default,jaeger-6bf55cb966-kd2ld,hotel-reserv-jaeger,369,252
default,jaeger-6bf55cb966-kd2ld,istio-proxy,3,94
default,memcached-profile-us-central-1-56b47fb555-jblpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56b47fb555-jblpx,istio-proxy,4,94
default,memcached-profile-us-central-1-56b47fb555-vq62j,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56b47fb555-vq62j,istio-proxy,4,90
default,memcached-profile-us-east-1-85bb458464-4fp4d,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-85bb458464-4fp4d,istio-proxy,4,92
