counter,region,service,endpoint,rps
175,us-south-1,user,user@POST@/user.User/CheckUser,17
175,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,7
175,us-south-1,frontend,frontend@POST@/user,18
175,us-south-1,frontend,frontend@GET@/recommendations,9
175,us-south-1,frontend,frontend@POST@/reservation,4
175,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,5
175,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,74
175,us-east-1,rate,rate@POST@/rate.Rate/GetRates,21
175,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,42
175,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,52
175,us-east-1,frontend,frontend@POST@/user,39
175,us-east-1,frontend,frontend@POST@/reservation,10
175,us-east-1,frontend,frontend@GET@/recommendations,30
175,us-east-1,user,user@POST@/user.User/CheckUser,61
175,us-east-1,geo,geo@POST@/geo.Geo/Nearby,47
175,us-east-1,search,search@POST@/search.Search/Nearby,45
175,us-east-1,slateingress,slateingress@POST@/user,90
175,us-east-1,slateingress,slateingress@GET@/recommendations,78
175,us-east-1,slateingress,slateingress@POST@/reservation,63
175,us-east-1,slateingress,slateingress@GET@/hotels,54
175,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,48
175,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,83
175,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,49
175,us-west-1,frontend,frontend@POST@/user,212
175,us-west-1,frontend,frontend@GET@/recommendations,167
175,us-west-1,frontend,frontend@POST@/reservation,90
175,us-west-1,frontend,frontend@GET@/hotels,55
175,us-west-1,rate,rate@POST@/rate.Rate/GetRates,98
175,us-west-1,geo,geo@POST@/geo.Geo/Nearby,65
175,us-west-1,search,search@POST@/search.Search/Nearby,115
175,us-west-1,user,user@POST@/user.User/CheckUser,399
175,us-west-1,slateingress,slateingress@POST@/user,457
175,us-west-1,slateingress,slateingress@GET@/hotels,230
175,us-west-1,slateingress,slateingress@GET@/recommendations,421
175,us-west-1,slateingress,slateingress@POST@/reservation,300
175,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,154
175,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,184
175,us-central-1,frontend,frontend@GET@/recommendations,38
175,us-central-1,frontend,frontend@POST@/reservation,31
175,us-central-1,frontend,frontend@GET@/hotels,20
175,us-central-1,frontend,frontend@POST@/user,38
175,us-central-1,user,user@POST@/user.User/CheckUser,38
175,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,8
175,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,3
175,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,15
175,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,8
175,us-central-1,geo,geo@POST@/geo.Geo/Nearby,22
175,us-central-1,search,search@POST@/search.Search/Nearby,16
175,us-central-1,slateingress,slateingress@POST@/user,25
175,us-central-1,slateingress,slateingress@GET@/recommendations,22
175,us-central-1,slateingress,slateingress@POST@/reservation,5
175,us-central-1,slateingress,slateingress@GET@/hotels,2
176,us-south-1,user,user@POST@/user.User/CheckUser,218
176,us-south-1,rate,rate@POST@/rate.Rate/GetRates,38
176,us-south-1,geo,geo@POST@/geo.Geo/Nearby,20
176,us-south-1,slateingress,slateingress@GET@/recommendations,83
176,us-south-1,slateingress,slateingress@POST@/reservation,74
176,us-south-1,slateingress,slateingress@POST@/user,102
176,us-south-1,slateingress,slateingress@GET@/hotels,78
176,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,93
176,us-south-1,search,search@POST@/search.Search/Nearby,15
176,us-south-1,frontend,frontend@POST@/user,104
