Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7c969bbcbf-b6djh,consul,11,37
default,consul-7c969bbcbf-b6djh,istio-proxy,4,88
default,frontend-us-central-1-c699658db-msj9t,hotel-reserv-frontend,0,4
default,frontend-us-central-1-c699658db-msj9t,istio-proxy,3,88
default,frontend-us-central-1-c699658db-whtqz,hotel-reserv-frontend,0,4
default,frontend-us-central-1-c699658db-whtqz,istio-proxy,4,88
default,frontend-us-east-1-64899454db-j6fjj,hotel-reserv-frontend,0,4
default,frontend-us-east-1-64899454db-j6fjj,istio-proxy,3,87
default,frontend-us-east-1-64899454db-zrtf9,hotel-reserv-frontend,0,4
default,frontend-us-east-1-64899454db-zrtf9,istio-proxy,3,88
default,frontend-us-south-1-84f98d65bb-hps6p,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f98d65bb-hps6p,istio-proxy,3,89
default,frontend-us-south-1-84f98d65bb-ntxpw,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f98d65bb-ntxpw,istio-proxy,3,86
default,frontend-us-west-1-689df86d74-njsgl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-689df86d74-njsgl,istio-proxy,3,86
default,frontend-us-west-1-689df86d74-qldwv,hotel-reserv-frontend,0,4
default,frontend-us-west-1-689df86d74-qldwv,istio-proxy,3,88
default,geo-us-central-1-58486776cc-6hbr8,hotel-reserv-geo,0,5
default,geo-us-central-1-58486776cc-6hbr8,istio-proxy,3,89
default,geo-us-central-1-58486776cc-knggz,hotel-reserv-geo,0,5
default,geo-us-central-1-58486776cc-knggz,istio-proxy,3,87
default,geo-us-east-1-b5f6d6f7-77k8v,hotel-reserv-geo,0,5
default,geo-us-east-1-b5f6d6f7-77k8v,istio-proxy,3,87
default,geo-us-east-1-b5f6d6f7-mz6x7,hotel-reserv-geo,0,5
default,geo-us-east-1-b5f6d6f7-mz6x7,istio-proxy,3,88
default,geo-us-south-1-589c48bf45-d6rfr,hotel-reserv-geo,0,5
default,geo-us-south-1-589c48bf45-d6rfr,istio-proxy,3,87
default,geo-us-south-1-589c48bf45-g8np4,hotel-reserv-geo,0,5
default,geo-us-south-1-589c48bf45-g8np4,istio-proxy,3,87
default,geo-us-west-1-954f67b9-hz5b4,hotel-reserv-geo,0,5
default,geo-us-west-1-954f67b9-hz5b4,istio-proxy,4,87
default,geo-us-west-1-954f67b9-pw4p4,hotel-reserv-geo,0,5
default,geo-us-west-1-954f67b9-pw4p4,istio-proxy,4,88
default,jaeger-76676bd857-vsh6g,hotel-reserv-jaeger,0,9
default,jaeger-76676bd857-vsh6g,istio-proxy,3,87
default,memcached-profile-us-central-1-5c598b666-n9qd6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5c598b666-n9qd6,istio-proxy,3,86
default,memcached-profile-us-central-1-5c598b666-tcnnp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5c598b666-tcnnp,istio-proxy,3,88
default,memcached-profile-us-east-1-5dd8d56844-lk6fb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd8d56844-lk6fb,istio-proxy,3,87
default,memcached-profile-us-east-1-5dd8d56844-ppddl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5dd8d56844-ppddl,istio-proxy,3,86
default,memcached-profile-us-south-1-68489b7f4-427ch,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-68489b7f4-427ch,istio-proxy,3,88
default,memcached-profile-us-south-1-68489b7f4-f2bgr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-68489b7f4-f2bgr,istio-proxy,3,88
default,memcached-profile-us-west-1-67977b9648-5k6jl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-67977b9648-5k6jl,istio-proxy,3,89
default,memcached-profile-us-west-1-67977b9648-wsr4d,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-67977b9648-wsr4d,istio-proxy,4,87
default,memcached-rate-us-central-1-56d58bc8c6-btxw7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-56d58bc8c6-btxw7,istio-proxy,3,88
default,memcached-rate-us-central-1-56d58bc8c6-hmjmt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-56d58bc8c6-hmjmt,istio-proxy,3,88
default,memcached-rate-us-east-1-74584f6444-29rvc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-74584f6444-29rvc,istio-proxy,4,88
default,memcached-rate-us-east-1-74584f6444-6pzt7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-74584f6444-6pzt7,istio-proxy,3,88
default,memcached-rate-us-south-1-57df5f46bd-9mbkx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-57df5f46bd-9mbkx,istio-proxy,3,86
default,memcached-rate-us-south-1-57df5f46bd-cthcv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-57df5f46bd-cthcv,istio-proxy,3,87
default,memcached-rate-us-west-1-56b9bdb9bd-blw7b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-56b9bdb9bd-blw7b,istio-proxy,3,88
default,memcached-rate-us-west-1-56b9bdb9bd-j866j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-56b9bdb9bd-j866j,istio-proxy,3,87
default,memcached-reserve-us-central-1-75844c5cfd-mvzhb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-75844c5cfd-mvzhb,istio-proxy,4,89
default,memcached-reserve-us-central-1-75844c5cfd-rpfd5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-75844c5cfd-rpfd5,istio-proxy,3,87
default,memcached-reserve-us-east-1-db494fcd6-rdmrh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-db494fcd6-rdmrh,istio-proxy,3,88
default,memcached-reserve-us-east-1-db494fcd6-v6d6z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-db494fcd6-v6d6z,istio-proxy,3,89
default,memcached-reserve-us-south-1-7dcbb89b6b-k7k44,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7dcbb89b6b-k7k44,istio-proxy,3,88
default,memcached-reserve-us-south-1-7dcbb89b6b-xzv4n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7dcbb89b6b-xzv4n,istio-proxy,3,88
default,memcached-reserve-us-west-1-c59c5d994-bllnq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-c59c5d994-bllnq,istio-proxy,3,88
default,memcached-reserve-us-west-1-c59c5d994-rls7b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-c59c5d994-rls7b,istio-proxy,4,89
default,mongodb-geo-us-central-1-598f97cd49-ll2th,hotel-reserv-geo-mongo,3,159
