Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-565d857dc5-msvq4,consul,10,34
default,consul-565d857dc5-msvq4,istio-proxy,4,91
default,frontend-us-central-1-5644b8fccb-bqfq8,hotel-reserv-frontend,178,8
default,frontend-us-central-1-5644b8fccb-bqfq8,istio-proxy,476,93
default,frontend-us-central-1-5644b8fccb-wr2nj,hotel-reserv-frontend,202,8
default,frontend-us-central-1-5644b8fccb-wr2nj,istio-proxy,481,92
default,frontend-us-east-1-7677bb8fd8-jz7zr,hotel-reserv-frontend,116,8
default,frontend-us-east-1-7677bb8fd8-jz7zr,istio-proxy,479,93
default,frontend-us-east-1-7677bb8fd8-nmbfm,hotel-reserv-frontend,192,8
default,frontend-us-east-1-7677bb8fd8-nmbfm,istio-proxy,446,95
default,frontend-us-south-1-5c6f977b7-phskc,hotel-reserv-frontend,198,9
default,frontend-us-south-1-5c6f977b7-phskc,istio-proxy,482,94
default,frontend-us-south-1-5c6f977b7-sbtwz,hotel-reserv-frontend,192,8
default,frontend-us-south-1-5c6f977b7-sbtwz,istio-proxy,463,95
default,frontend-us-west-1-69d66c9f7c-knrdj,hotel-reserv-frontend,662,48
default,frontend-us-west-1-69d66c9f7c-knrdj,istio-proxy,2557,169
default,frontend-us-west-1-69d66c9f7c-m7vx4,hotel-reserv-frontend,404,54
default,frontend-us-west-1-69d66c9f7c-m7vx4,istio-proxy,1655,167
default,geo-us-central-1-64fd7d467b-kcqqr,hotel-reserv-geo,27,8
default,geo-us-central-1-64fd7d467b-kcqqr,istio-proxy,52,92
default,geo-us-central-1-64fd7d467b-lsgz7,hotel-reserv-geo,28,8
default,geo-us-central-1-64fd7d467b-lsgz7,istio-proxy,32,96
default,geo-us-east-1-6bc49c5c86-2p7zt,hotel-reserv-geo,26,7
default,geo-us-east-1-6bc49c5c86-2p7zt,istio-proxy,52,90
default,geo-us-east-1-6bc49c5c86-f57r8,hotel-reserv-geo,27,8
default,geo-us-east-1-6bc49c5c86-f57r8,istio-proxy,53,91
default,geo-us-south-1-7494bc59b5-bphkr,hotel-reserv-geo,28,8
default,geo-us-south-1-7494bc59b5-bphkr,istio-proxy,55,93
default,geo-us-south-1-7494bc59b5-vpdpd,hotel-reserv-geo,27,7
default,geo-us-south-1-7494bc59b5-vpdpd,istio-proxy,53,93
default,geo-us-west-1-9c75dd645-f56jt,hotel-reserv-geo,145,16
default,geo-us-west-1-9c75dd645-f56jt,istio-proxy,315,98
default,geo-us-west-1-9c75dd645-p2rhd,hotel-reserv-geo,179,21
default,geo-us-west-1-9c75dd645-p2rhd,istio-proxy,392,97
default,jaeger-5f9f446665-hbs7n,hotel-reserv-jaeger,278,213
default,jaeger-5f9f446665-hbs7n,istio-proxy,3,94
default,memcached-profile-us-central-1-756c58db78-8gpsl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-756c58db78-8gpsl,istio-proxy,4,88
default,memcached-profile-us-central-1-756c58db78-vrfww,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-756c58db78-vrfww,istio-proxy,3,90
default,memcached-profile-us-east-1-544cc77bfc-jh6xl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-544cc77bfc-jh6xl,istio-proxy,4,91
default,memcached-profile-us-east-1-544cc77bfc-qffwf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-544cc77bfc-qffwf,istio-proxy,4,90
default,memcached-profile-us-south-1-845f66949-68pdl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-845f66949-68pdl,istio-proxy,4,93
default,memcached-profile-us-south-1-845f66949-xbx4s,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-845f66949-xbx4s,istio-proxy,4,91
default,memcached-profile-us-west-1-5ff565c877-wgftc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ff565c877-wgftc,istio-proxy,5,92
default,memcached-profile-us-west-1-5ff565c877-wpjdk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5ff565c877-wpjdk,istio-proxy,5,93
default,memcached-rate-us-central-1-6bf6fdb574-fjdst,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6bf6fdb574-fjdst,istio-proxy,4,92
default,memcached-rate-us-central-1-6bf6fdb574-zsspt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6bf6fdb574-zsspt,istio-proxy,4,91
default,memcached-rate-us-east-1-6c86cf5cdb-6llcb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6c86cf5cdb-6llcb,istio-proxy,3,93
default,memcached-rate-us-east-1-6c86cf5cdb-r2hxn,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6c86cf5cdb-r2hxn,istio-proxy,4,92
default,memcached-rate-us-south-1-6b9bb9fb78-b755d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b9bb9fb78-b755d,istio-proxy,4,93
default,memcached-rate-us-south-1-6b9bb9fb78-bcx7n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b9bb9fb78-bcx7n,istio-proxy,4,92
default,memcached-rate-us-west-1-7fc54ffbc7-bfjqz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7fc54ffbc7-bfjqz,istio-proxy,5,91
default,memcached-rate-us-west-1-7fc54ffbc7-mnwkf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7fc54ffbc7-mnwkf,istio-proxy,6,90
default,memcached-reserve-us-central-1-75979897f-9586k,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-75979897f-9586k,istio-proxy,4,93
default,memcached-reserve-us-central-1-75979897f-sv556,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-75979897f-sv556,istio-proxy,4,91
default,memcached-reserve-us-east-1-67df7577c7-vfgb2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67df7577c7-vfgb2,istio-proxy,3,93
default,memcached-reserve-us-east-1-67df7577c7-zm4n4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67df7577c7-zm4n4,istio-proxy,5,89
default,memcached-reserve-us-south-1-5f9d8459-tt845,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f9d8459-tt845,istio-proxy,4,90
default,memcached-reserve-us-south-1-5f9d8459-w62gr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5f9d8459-w62gr,istio-proxy,4,94
default,memcached-reserve-us-west-1-57ff5d6c8-6fmk8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-57ff5d6c8-6fmk8,istio-proxy,5,90
default,memcached-reserve-us-west-1-57ff5d6c8-rtd55,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-57ff5d6c8-rtd55,istio-proxy,6,91
default,mongodb-geo-us-central-1-6fdb477677-2956r,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-6fdb477677-2956r,istio-proxy,4,91
default,mongodb-geo-us-east-1-66b7c6f6bc-22pqw,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-66b7c6f6bc-22pqw,istio-proxy,4,90
default,mongodb-geo-us-south-1-64b4f5b989-wl2b8,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-64b4f5b989-wl2b8,istio-proxy,4,90
default,mongodb-geo-us-west-1-b6c98ff79-qg9lx,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-b6c98ff79-qg9lx,istio-proxy,5,93
default,mongodb-profile-us-central-1-6578757cc8-mxldw,hotel-reserv-profile-mongo,76,163
default,mongodb-profile-us-central-1-6578757cc8-mxldw,istio-proxy,40,92
default,mongodb-profile-us-east-1-79667f64fd-mctnc,hotel-reserv-profile-mongo,70,164
default,mongodb-profile-us-east-1-79667f64fd-mctnc,istio-proxy,36,94
default,mongodb-profile-us-south-1-699d47ffbb-2hv8j,hotel-reserv-profile-mongo,42,163
default,mongodb-profile-us-south-1-699d47ffbb-2hv8j,istio-proxy,22,91
default,mongodb-profile-us-west-1-64bc6d9b7d-w5hlf,hotel-reserv-profile-mongo,190,176
default,mongodb-profile-us-west-1-64bc6d9b7d-w5hlf,istio-proxy,102,94
default,mongodb-rate-us-central-1-77b9dd4569-fnl28,hotel-reserv-rate-mongo,125,162
default,mongodb-rate-us-central-1-77b9dd4569-fnl28,istio-proxy,20,90
default,mongodb-rate-us-east-1-6d7c449bfb-xv72j,hotel-reserv-rate-mongo,121,162
default,mongodb-rate-us-east-1-6d7c449bfb-xv72j,istio-proxy,23,93
default,mongodb-rate-us-south-1-58577cff9d-gmnmx,hotel-reserv-rate-mongo,116,162
default,mongodb-rate-us-south-1-58577cff9d-gmnmx,istio-proxy,23,90
default,mongodb-rate-us-west-1-7b6b5dc7dd-k9dfz,hotel-reserv-rate-mongo,1813,177
default,mongodb-rate-us-west-1-7b6b5dc7dd-k9dfz,istio-proxy,151,94
default,mongodb-recommendation-us-central-1-6896b5fc8f-txb96,hotel-reserv-recommendation-mongo,4,162
default,mongodb-recommendation-us-central-1-6896b5fc8f-txb96,istio-proxy,4,88
default,mongodb-recommendation-us-east-1-86dd997c7d-vf9lv,hotel-reserv-recommendation-mongo,4,164
default,mongodb-recommendation-us-east-1-86dd997c7d-vf9lv,istio-proxy,5,91
default,mongodb-recommendation-us-south-1-7fc6d9d57d-cnf9q,hotel-reserv-recommendation-mongo,4,161
default,mongodb-recommendation-us-south-1-7fc6d9d57d-cnf9q,istio-proxy,4,91
default,mongodb-recommendation-us-west-1-6b465b647d-vc5dr,hotel-reserv-recommendation-mongo,5,161
default,mongodb-recommendation-us-west-1-6b465b647d-vc5dr,istio-proxy,5,92
default,mongodb-reservation-us-central-1-598b6d5544-gl4p9,hotel-reserv-reservation-mongo,4,164
default,mongodb-reservation-us-central-1-598b6d5544-gl4p9,istio-proxy,4,90
default,mongodb-reservation-us-east-1-7bb9f49546-47gns,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-east-1-7bb9f49546-47gns,istio-proxy,4,92
default,mongodb-reservation-us-south-1-7df9d64d8b-486bt,hotel-reserv-reservation-mongo,4,159
default,mongodb-reservation-us-south-1-7df9d64d8b-486bt,istio-proxy,4,89
default,mongodb-reservation-us-west-1-7b56ccc6db-wrvkr,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-west-1-7b56ccc6db-wrvkr,istio-proxy,5,93
default,mongodb-user-us-central-1-55cc67d676-x7sv2,hotel-reserv-user-mongo,4,161
default,mongodb-user-us-central-1-55cc67d676-x7sv2,istio-proxy,4,90
default,mongodb-user-us-east-1-674ff6d5cb-4zrtk,hotel-reserv-user-mongo,4,180
default,mongodb-user-us-east-1-674ff6d5cb-4zrtk,istio-proxy,4,93
default,mongodb-user-us-south-1-cfc8d57c5-hlljq,hotel-reserv-user-mongo,4,161
default,mongodb-user-us-south-1-cfc8d57c5-hlljq,istio-proxy,4,91
default,mongodb-user-us-west-1-7c8977b677-n2pp9,hotel-reserv-user-mongo,5,194
default,mongodb-user-us-west-1-7c8977b677-n2pp9,istio-proxy,5,89
default,profile-us-central-1-5565599c99-pq89v,hotel-reserv-profile,117,9
default,profile-us-central-1-5565599c99-pq89v,istio-proxy,118,90
default,profile-us-central-1-5565599c99-q9jcp,hotel-reserv-profile,126,9
default,profile-us-central-1-5565599c99-q9jcp,istio-proxy,116,93
default,profile-us-east-1-66c668c5d7-6b5p2,hotel-reserv-profile,131,10
default,profile-us-east-1-66c668c5d7-6b5p2,istio-proxy,100,92
default,profile-us-east-1-66c668c5d7-rdb85,hotel-reserv-profile,122,9
default,profile-us-east-1-66c668c5d7-rdb85,istio-proxy,108,91
default,profile-us-south-1-857d585595-9nxrm,hotel-reserv-profile,115,9
default,profile-us-south-1-857d585595-9nxrm,istio-proxy,116,95
default,profile-us-south-1-857d585595-wknvq,hotel-reserv-profile,125,9
default,profile-us-south-1-857d585595-wknvq,istio-proxy,117,92
default,profile-us-west-1-86c95749f6-45pfq,hotel-reserv-profile,294,36
default,profile-us-west-1-86c95749f6-45pfq,istio-proxy,512,106
default,profile-us-west-1-86c95749f6-8tzlb,hotel-reserv-profile,196,36
default,profile-us-west-1-86c95749f6-8tzlb,istio-proxy,481,106
default,rate-us-central-1-6887c5fc4-7dxd8,hotel-reserv-rate,73,8
default,rate-us-central-1-6887c5fc4-7dxd8,istio-proxy,65,92
default,rate-us-central-1-6887c5fc4-h6zmr,hotel-reserv-rate,75,8
default,rate-us-central-1-6887c5fc4-h6zmr,istio-proxy,63,93
default,rate-us-east-1-59ccbb4458-ckc5b,hotel-reserv-rate,76,8
default,rate-us-east-1-59ccbb4458-ckc5b,istio-proxy,67,93
default,rate-us-east-1-59ccbb4458-nl57k,hotel-reserv-rate,71,8
default,rate-us-east-1-59ccbb4458-nl57k,istio-proxy,56,95
default,rate-us-south-1-697746b55d-7472p,hotel-reserv-rate,75,8
default,rate-us-south-1-697746b55d-7472p,istio-proxy,63,93
default,rate-us-south-1-697746b55d-77mgq,hotel-reserv-rate,78,8
default,rate-us-south-1-697746b55d-77mgq,istio-proxy,64,93
default,rate-us-west-1-9799f658c-5bd6d,hotel-reserv-rate,561,28
default,rate-us-west-1-9799f658c-5bd6d,istio-proxy,465,95
default,rate-us-west-1-9799f658c-n2drm,hotel-reserv-rate,564,23
default,rate-us-west-1-9799f658c-n2drm,istio-proxy,427,96
default,recommendation-us-central-1-7744c86f87-wldbt,hotel-reserv-recommendation,26,8
default,recommendation-us-central-1-7744c86f87-wldbt,istio-proxy,56,93
default,recommendation-us-central-1-7744c86f87-zm7dh,hotel-reserv-recommendation,26,8
default,recommendation-us-central-1-7744c86f87-zm7dh,istio-proxy,53,94
default,recommendation-us-east-1-9fdbdb67f-6xhl6,hotel-reserv-recommendation,27,8
default,recommendation-us-east-1-9fdbdb67f-6xhl6,istio-proxy,53,94
default,recommendation-us-east-1-9fdbdb67f-n2z8r,hotel-reserv-recommendation,28,9
default,recommendation-us-east-1-9fdbdb67f-n2z8r,istio-proxy,54,91
default,recommendation-us-south-1-6d85d5cfd6-d7gqp,hotel-reserv-recommendation,28,8
default,recommendation-us-south-1-6d85d5cfd6-d7gqp,istio-proxy,52,90
default,recommendation-us-south-1-6d85d5cfd6-pntsf,hotel-reserv-recommendation,26,8
default,recommendation-us-south-1-6d85d5cfd6-pntsf,istio-proxy,54,94
default,recommendation-us-west-1-5cfd777fb4-92sd4,hotel-reserv-recommendation,63,11
default,recommendation-us-west-1-5cfd777fb4-92sd4,istio-proxy,120,93
default,recommendation-us-west-1-5cfd777fb4-kfpj5,hotel-reserv-recommendation,58,10
default,recommendation-us-west-1-5cfd777fb4-kfpj5,istio-proxy,107,94
default,reservation-us-central-1-5c57fbc7bf-674h6,hotel-reserv-reservation,759,14
default,reservation-us-central-1-5c57fbc7bf-674h6,istio-proxy,102,96
default,reservation-us-central-1-5c57fbc7bf-94lqh,hotel-reserv-reservation,775,12
default,reservation-us-central-1-5c57fbc7bf-94lqh,istio-proxy,97,94
default,reservation-us-east-1-57fffd4875-lp9vv,hotel-reserv-reservation,750,11
default,reservation-us-east-1-57fffd4875-lp9vv,istio-proxy,101,94
default,reservation-us-east-1-57fffd4875-x5mqq,hotel-reserv-reservation,789,13
default,reservation-us-east-1-57fffd4875-x5mqq,istio-proxy,99,93
default,reservation-us-south-1-5d594c49bf-4zljl,hotel-reserv-reservation,799,15
default,reservation-us-south-1-5d594c49bf-4zljl,istio-proxy,98,94
default,reservation-us-south-1-5d594c49bf-hw645,hotel-reserv-reservation,759,10
default,reservation-us-south-1-5d594c49bf-hw645,istio-proxy,90,96
default,reservation-us-west-1-8674fd6566-qsjgf,hotel-reserv-reservation,5311,125
default,reservation-us-west-1-8674fd6566-qsjgf,istio-proxy,627,105
default,reservation-us-west-1-8674fd6566-xxtpr,hotel-reserv-reservation,5343,130
default,reservation-us-west-1-8674fd6566-xxtpr,istio-proxy,625,106
default,search-us-central-1-6d5495f84c-c65f4,hotel-reserv-search,70,7
default,search-us-central-1-6d5495f84c-c65f4,istio-proxy,143,91
default,search-us-central-1-6d5495f84c-lsfwc,hotel-reserv-search,80,8
default,search-us-central-1-6d5495f84c-lsfwc,istio-proxy,138,91
default,search-us-east-1-ddccb5db5-28q8r,hotel-reserv-search,75,7
default,search-us-east-1-ddccb5db5-28q8r,istio-proxy,145,92
default,search-us-east-1-ddccb5db5-qfdkd,hotel-reserv-search,77,8
